code,country,sample,imputed,logyl,logkl,alogky,school,loghl,loga,logl,mining,ecorg,socinf,yrsopen,gadp,engfrac,eurfrac,log_frankrom,latitude
BGR,Bulgaria,0,0,,,,,,,15.29309,,0,0.39728,0.089,0.706,0.0,0.0,3.438,42.073
CYP,Cyprus,1,0,9.66806,10.51992,0.42593,7.13,0.85213,8.39,12.67324,0.004,5,0.86133,1.0,0.723,0.0,0.0,3.996,35.081
CSK,Czechoslovakia,1,1,8.91957,10.09344,0.58694,7.87983,0.92786,7.40477,15.92458,0.04,0,0.42578,0.089,0.763,0.0,0.013,3.048,49.175
DNK,Denmark,1,0,10.10478,11.16358,0.5294,10.33,1.09844,8.47693,14.85564,0.006,4,0.88089,0.778,0.984,0.0,0.005,3.43,55.718
FIN,Finland,1,0,10.16696,11.39859,0.61581,9.49,1.04132,8.50983,14.74529,0.004,4,0.87889,0.778,0.98,0.0,0.0,3.075,60.212
FRA,France,1,0,10.27407,11.34957,0.53775,6.52,0.79052,8.9458,17.0517,0.005,4,0.87067,0.8,0.941,0.0,1.004,2.725,48.857
DDR,"Germany, East",0,0,,,,,,,16.06782,,0,,,,0.0,0.949,,51.332
DEU,"Germany, West",1,0,10.27478,11.40052,0.56287,8.54,0.97672,8.73519,17.16103,0.005,5,0.8815,0.8,0.963,0.0,0.949,2.916,48.161
GRC,Greece,1,0,9.7176,10.66435,0.47337,6.73,0.81173,8.43249,15.15672,0.017,4,0.756,0.8,0.712,0.0,0.0,3.296,38.058
HUN,Hungary,1,0,9.29366,10.4299,0.56812,10.75,1.127,7.59854,15.46679,0.038,1,0.44956,0.111,0.788,0.0,0.005,3.293,47.419
ISL,Iceland,1,1,10.16024,11.1071,0.47343,7.89,0.92889,8.75793,11.79618,-0.014,5,0.89574,0.805,0.986,0.0,0.0,3.499,63.892
IRL,Ireland,1,0,9.92557,10.92842,0.50143,8.01,0.94068,8.48346,14.11911,0.009,5,0.76672,0.644,0.889,0.742,0.742,3.522,54.611
ITA,Italy,1,0,10.29392,11.31834,0.51221,6.28,0.76628,9.01542,16.95596,0.002,3,0.80767,0.8,0.815,0.0,0.006,2.637,45.415
LUX,Luxembourg,1,1,10.46142,11.58323,0.56091,8.59589,0.98052,8.91999,11.98287,0.003,5,0.9,0.8,1.0,0.0,0.0,5.639,49.78
MLT,Malta,1,1,9.70619,10.40226,0.34803,6.9,0.8289,8.52926,11.73691,0.035,2,0.57855,0.535,0.622,0.0,0.0,4.586,35.887
NLD,Netherlands,1,0,10.2594,11.27808,0.50934,8.57,0.97876,8.7713,15.6202,0.027,4,0.894,0.8,0.988,0.0,0.0,3.579,51.874
NOR,Norway,1,0,10.20004,11.45985,0.62991,10.38,1.10184,8.46829,14.56454,0.079,4,0.87272,0.778,0.968,0.0,0.0,3.159,59.977
POL,Poland,1,0,9.04059,10.43261,0.69601,8.41,0.96788,7.3767,16.78328,0.043,1,0.40239,0.111,0.694,0.0,0.04,2.628,50.244
PRT,Portugal,1,1,9.46966,10.29,0.41017,3.83,0.51322,8.54628,15.34456,0.033,4,0.79456,0.778,0.811,0.0,1.0,2.933,38.816
ROM,Romania,1,1,8.29618,9.27013,0.48697,5.61832,0.69945,7.10976,16.25257,0.048,0,0.29117,0.067,0.516,0.0,0.02,2.934,44.526
ESP,Spain,1,0,10.09243,11.02903,0.4683,5.58,0.69558,8.92855,16.45381,0.006,5,0.79006,0.778,0.802,0.0,0.728,2.516,37.398
SWE,Sweden,1,0,10.23588,11.19516,0.47964,9.45,1.0386,8.71764,15.28438,0.003,4,0.88239,0.778,0.987,0.0,0.0,2.903,59.278
CHE,Switzerland,1,1,10.34061,11.58868,0.62403,9.09,1.01412,8.70245,15.00674,0.022,5,1.0,1.0,1.0,0.0,0.84,3.483,47.408
