yyyyq,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
20032,0.0802,0.1797,0.2644,155.3576
20033,0.0835,0.0556,0.0552,143.4128
20034,0.0915,0.1123,0.1513,119.4128
20041,0.0872,-0.0272,0.0295,131.5198
20042,0.086,0.0049,-0.0225,135.0635
20043,0.0861,0.0186,0.0285,134.7965
20044,0.0895,0.0573,0.1177,124.7077
20051,0.0748,-0.1453,-0.039,178.6069
20052,0.0761,0.0284,0.0078,172.8033
20053,0.0793,0.0549,0.0626,159.0216
20054,0.0833,0.0645,0.0777,144.185
20061,0.0846,0.0316,0.0896,139.8673
20062,0.0797,-0.0404,0.0022,157.3678
20063,0.0814,0.0359,0.0968,150.8428
20064,0.0818,0.0201,0.0626,149.4307
20071,0.0703,-0.1249,-0.0049,202.2787
20072,0.0704,0.0097,0.0471,201.9464
20073,0.0644,-0.0756,-0.034,240.9789
20074,0.0568,-0.1136,-0.0884,309.9218
20081,0.0446,-0.2178,-0.125,503.4633
20082,0.0397,-0.1274,-0.1332,634.0744
20083,0.0447,0.0967,0.023,501.5538
20084,0.026,-0.4368,-0.4061,1483.2013
20091,0.0265,-0.0516,-0.1721,1424.1933
20092,0.0401,0.4454,0.4994,620.5691
20093,0.052,0.2685,0.2816,369.8997
20094,0.0505,-0.037,-0.0541,392.4792
20101,0.0544,0.0674,0.0642,338.3008
20102,0.046,-0.159,-0.1681,472.6668
20103,0.048,0.0281,0.0999,433.4138
20104,0.0495,0.0178,0.0219,407.8335
20111,0.0507,0.0123,0.0703,389.4913
20112,0.048,-0.063,-0.0426,434.7743
20113,0.0354,-0.2754,-0.2786,798.6187
20114,0.0363,-0.0119,0.0205,758.6883
20121,0.0456,0.2203,0.2554,481.061
20122,0.0398,-0.1442,-0.1361,631.7171
20123,0.0433,0.0599,0.1086,534.2535
20124,0.049,0.1108,0.1367,417.2462
20131,0.047232556885232674,0.01682231506466723,0.0711293544918774,448.2466860180383
20132,0.049717547164912494,0.03834382965518407,0.05416122668963008,404.5578300568576
20133,0.0552094260389565,0.09972195221722374,0.043373602808057576,328.07530072071125
20134,0.06024639574854498,0.08716532425543094,0.07149714587466693,275.51031254656215
20141,0.05963504365602423,-0.030276140248105668,-0.008158176189291155,281.18808689367023
20142,0.058450779867276134,-0.019445219115615975,-0.022881229400392833,292.69774729333506
20143,0.06047819371009969,0.03396632866966644,0.06574983930427547,273.4024339906235
20144,0.061559678125857206,0.019074999048213866,0.02014055503723733,263.8805127048746
20151,0.0581198133435903,-0.053717206442352415,-0.024009181197065632,296.04080623046167
20152,0.06438696556617181,0.10678725531876046,0.060976667300085996,241.21487380157376
20153,0.05801237688689195,-0.09446466387219768,-0.08851643975949797,297.13833156056415
20154,0.06241955080784054,0.07481896110224348,0.040377583064279854,256.66031443078424
20161,0.05101086837874426,-0.17986672087604402,-0.15069444760794015,384.30370060437116
20162,0.0532210515946517,-0.06719336026583005,-0.0034103637811264687,353.0474645863263
20163,0.05806436983137189,0.08467894308875504,0.10658800298421411,296.6064329115472
20164,0.07060220620821815,0.21483082868555742,0.2756190859163581,200.61502461962544
20171,0.07420417959419087,0.060116218018842,0.029050293212397715,181.61146605893472
20172,0.07592870064601231,0.03463098254465955,0.031401240603611935,173.4554955797505
20173,0.07906143560144792,0.053670217320821,0.04784451181728655,159.98181072438146
20174,0.08257706115111604,0.05861833008386878,0.08154646888665806,146.64969184378765
20181,0.07907613198098871,-0.026449118846959118,-0.036544101887404645,159.92235068583358
20182,0.07317607884363869,-0.0604531541449358,-0.02056658737739825,186.75048225263205
20183,0.07547408170300235,0.04216321133913659,0.027383067294435737,175.551411097268
20184,0.06420062583900644,-0.1372217691300909,-0.14276368520715532,242.6171387464276
20191,0.0672560801794374,0.05198165088452125,0.07512416535634903,221.07360624414068
20192,0.06770058142982537,0.013357863347076882,0.049179032253005905,218.18013338992114
20193,0.06569194097187317,-0.02259519725022552,0.03242432178127741,231.72655867338165
20194,0.0735037873510763,0.12448473293101324,0.11457270469591219,185.08898158968844
20201,0.04273269362174888,-0.4076701522933585,-0.3395090822766147,547.6202028901549
20202,0.045528119585774865,0.04371504176402353,0.09128907858326296,482.4369612983678
20203,0.04378250945621077,-0.05525210414188779,-0.022464433103442483,521.673408399377
20204,0.05570268603559128,0.2524282482394422,0.30227933559978437,322.29066345279654
20211,0.06408006690326082,0.1468608024180042,0.1965985293597987,243.53090742107332
20212,0.0670882436997803,0.051235692236210904,0.06886307485196186,222.18112154280078
20213,0.06687134074320597,0.003391653277111504,0.026266011135686496,223.62478630727398
20214,0.06873097981046515,0.029714777908284414,0.03197333180178119,211.6873614401944
20221,0.0630990449718986,-0.06446201849914239,-0.03803774568243934,251.1622863594264
20222,0.054055104243078474,-0.14021486336936542,-0.14702835132334102,342.23670158139015
20223,0.05098220866895084,-0.06377675528830325,-0.02814969565028469,384.7358956228021
20224,0.05806437994607965,0.12681158638810416,0.1283808638776145,296.6063295749706
20231,0.056186418902311304,-0.03237629814433933,-0.01909182572786039,316.76507653624145
20232,0.05710509462849736,0.009428473595958949,0.054080518842737124,306.6551685363387
20233,0.055492831118911304,-0.03017137956199117,0.0030746311225218204,324.7328587354228
20234,0.06355521588508192,0.14256073982419823,0.1476125179486596,247.5697644455444
20241,0.06838069800612379,0.06865689456943483,0.1188411478568161,213.8616635832948
20242,0.06828884314027614,0.0062208291606507034,0.03306778684028777,214.43737830267102
20243,0.06924992622070317,0.02157232227890354,0.04326108054046851,208.52655570924622
20244,0.07759571867233558,0.12869314163983583,0.13468320978523018,166.0827320632079
20251,0.08454855816621862,0.10295810179994935,0.09951793947215637,139.8902957473306
20251,0.07447674079161518,-0.08503716197828723,-0.06771467682938914,180.28461795681864
