"date","price","dividend","ratio","iratio"
1973-01-31,116.03,2.27,0.440528634361233,100
1973-02-28,111.68,2.35,0.425531914893617,96.5957446808511
1973-03-30,111.52,2.36,0.423728813559322,96.1864406779661
1973-04-30,106.97,2.47,0.404858299595142,91.9028340080972
1973-05-31,104.95,2.5,0.4,90.8
1973-06-29,104.26,2.51,0.398406374501992,90.4382470119522
1973-07-31,108.22,2.48,0.403225806451613,91.5322580645161
1973-08-31,104.25,2.6,0.384615384615385,87.3076923076923
1973-09-28,108.43,2.55,0.392156862745098,89.0196078431373
1973-10-31,108.29,2.62,0.381679389312977,86.6412213740458
1973-11-30,95.96,2.96,0.337837837837838,76.6891891891892
1973-12-31,97.55,2.95,0.338983050847458,76.9491525423729
1974-01-31,96.57,3.02,0.33112582781457,75.1655629139073
1974-02-28,96.22,3.07,0.325732899022801,73.9413680781759
1974-03-29,93.98,3.14,0.318471337579618,72.2929936305732
1974-04-30,90.31,3.3,0.303030303030303,68.7878787878788
1974-05-31,87.28,3.38,0.29585798816568,67.1597633136095
1974-06-28,86,3.43,0.291545189504373,66.1807580174927
1974-07-31,79.31,3.94,0.253807106598985,57.6142131979695
1974-08-30,72.15,4.33,0.23094688221709,52.4249422632794
1974-09-30,63.54,5.02,0.199203187250996,45.2191235059761
1974-10-31,73.9,4.38,0.228310502283105,51.8264840182648
1974-11-29,69.97,4.68,0.213675213675214,48.5042735042735
1974-12-31,68.56,4.83,0.20703933747412,46.9979296066253
1975-01-31,76.98,4.28,0.233644859813084,53.0373831775701
1975-02-28,81.59,3.97,0.251889168765743,57.1788413098237
1975-03-31,83.36,3.9,0.256410256410256,58.2051282051282
1975-04-30,87.3,3.71,0.269541778975741,61.1859838274933
1975-05-30,91.15,3.55,0.28169014084507,63.943661971831
1975-06-30,95.19,3.46,0.289017341040462,65.606936416185
1975-07-31,88.75,3.75,0.266666666666667,60.5333333333333
1975-08-29,86.88,3.85,0.25974025974026,58.961038961039
1975-09-30,83.87,4.02,0.248756218905473,56.4676616915423
1975-10-31,89.04,3.74,0.267379679144385,60.6951871657754
1975-11-28,91.24,3.64,0.274725274725275,62.3626373626374
1975-12-31,90.19,3.72,0.268817204301075,61.0215053763441
1976-01-30,100.86,3.37,0.29673590504451,67.3590504451038
1976-02-27,99.71,3.44,0.290697674418605,65.9883720930233
1976-03-31,102.77,3.35,0.298507462686567,67.7611940298507
1976-04-30,101.64,3.47,0.288184438040346,65.4178674351585
1976-05-31,100.18,3.56,0.280898876404494,63.7640449438202
1976-06-30,104.28,3.43,0.291545189504373,66.1807580174927
1976-07-30,103.44,3.56,0.280898876404494,63.7640449438202
1976-08-31,102.91,3.57,0.280112044817927,63.5854341736695
1976-09-30,105.24,3.53,0.28328611898017,64.3059490084986
1976-10-29,102.9,3.62,0.276243093922652,62.707182320442
1976-11-30,102.1,3.69,0.2710027100271,61.5176151761518
1976-12-31,107.46,3.54,0.282485875706215,64.1242937853107
1977-01-31,102.03,3.84,0.260416666666667,59.1145833333333
1977-02-28,99.82,4.04,0.247524752475248,56.1881188118812
1977-03-31,98.42,4.14,0.241545893719807,54.8309178743961
1977-04-29,98.44,4.22,0.23696682464455,53.7914691943128
1977-05-31,96.12,4.37,0.22883295194508,51.9450800915332
1977-06-30,100.48,4.2,0.238095238095238,54.047619047619
1977-07-29,98.85,4.28,0.233644859813084,53.0373831775701
1977-08-31,96.77,4.41,0.226757369614512,51.4739229024943
1977-09-30,96.53,4.43,0.225733634311512,51.2415349887133
1977-10-31,92.34,4.66,0.214592274678112,48.7124463519313
1977-11-30,94.83,4.6,0.217391304347826,49.3478260869565
1977-12-30,95.1,4.65,0.21505376344086,48.8172043010753
1978-01-31,89.25,5.02,0.199203187250996,45.2191235059761
1978-02-28,87.04,5.31,0.188323917137476,42.7495291902072
1978-03-31,89.21,5.25,0.19047619047619,43.2380952380952
1978-04-28,96.83,4.85,0.206185567010309,46.8041237113402
1978-05-31,97.29,4.91,0.203665987780041,46.2321792260692
1978-06-30,95.53,4.99,0.200400801603206,45.4909819639279
1978-07-31,100.68,4.75,0.210526315789474,47.7894736842105
1978-08-31,103.29,4.67,0.214132762312634,48.6081370449679
1978-09-29,102.54,4.74,0.210970464135021,47.8902953586498
1978-10-31,93.15,5.22,0.191570881226054,43.4865900383142
1978-11-30,94.7,5.18,0.193050193050193,43.8223938223938
1978-12-29,96.11,5.18,0.193050193050193,43.8223938223938
1979-01-31,99.93,5.07,0.19723865877712,44.7731755424063
1979-02-28,96.28,5.45,0.18348623853211,41.651376146789
1979-03-30,101.59,5.23,0.191204588910134,43.4034416826004
1979-04-30,101.76,5.31,0.188323917137476,42.7495291902072
1979-05-31,99.08,5.49,0.182149362477231,41.3479052823315
1979-06-29,102.91,5.36,0.186567164179104,42.3507462686567
1979-07-31,103.81,5.41,0.184842883548983,41.9593345656192
1979-08-31,109.32,5.17,0.193423597678917,43.9071566731141
1979-09-28,109.32,5.25,0.19047619047619,43.2380952380952
1979-10-31,101.82,5.72,0.174825174825175,39.6853146853147
1979-11-30,106.16,5.59,0.178890876565295,40.608228980322
1979-12-31,107.94,5.58,0.17921146953405,40.6810035842294
1980-01-31,114.16,5.43,0.184162062615101,41.804788213628
1980-02-29,113.66,5.66,0.176678445229682,40.1060070671378
1980-03-31,102.09,6.17,0.162074554294976,36.7909238249595
1980-04-30,106.29,6.01,0.166389351081531,37.7703826955075
1980-05-30,111.24,5.72,0.174825174825175,39.6853146853147
1980-06-30,114.24,5.61,0.17825311942959,40.4634581105169
1980-07-31,121.67,5.21,0.191938579654511,43.5700575815739
1980-08-29,122.38,5.23,0.191204588910134,43.4034416826004
1980-09-30,125.46,5.19,0.192678227360308,43.73795761079
1980-10-31,127.47,5.21,0.191938579654511,43.5700575815739
1980-11-28,140.52,4.86,0.205761316872428,46.7078189300411
1980-12-31,135.76,4.97,0.201207243460765,45.6740442655936
1981-01-30,129.55,5.16,0.193798449612403,43.9922480620155
1981-02-27,131.27,5.15,0.194174757281553,44.0776699029126
1981-03-31,136,5.05,0.198019801980198,44.950495049505
1981-04-30,132.81,5.1,0.196078431372549,44.5098039215686
1981-05-29,132.59,5.11,0.195694716242661,44.4227005870841
