"date","logcpi","logip","ff","gs1","gs2","cm5yr","cm10yr","cm5f5","ebp","mortg_spread_m","cp3m_spread_m","ff_exp1yr"
1982-05-01,456.3306,388.457,14.45,13.34,13.78,13.754,13.6225,13.491,0.712093,3.06,1.215,
1982-06-01,457.4711,388.1209,14.15,14.07,14.47,14.426364,14.299545,14.17273,0.642981,2.400001,1.375,
1982-07-01,457.9852,387.8044,12.59,13.24,13.8,14.067143,13.94619,13.82524,0.613466,2.87,1.474999,
1982-08-01,458.1902,386.9698,10.12,11.43,12.32,12.998182,13.055,13.11182,-0.113349,3.21,1.355,
1982-09-01,458.1902,386.6297,10.31,10.85,11.78,12.248095,12.339048,12.43,0.476664,3.09,2.325,
1982-10-01,458.5987,385.766,9.71,9.32,10.19,10.7995,10.9065,11.0135,0.125427,3.7,1.375,
1982-11-01,458.4967,385.3745,9.2,9.16,9.8,10.381579,10.550526,10.71947,0.499413,3.28,0.5050001,
1982-12-01,458.1902,384.6451,8.95,8.91,9.66,10.222273,10.54,10.85773,0.697482,3.08,0.4550003,
1983-01-01,458.3947,386.542,8.68,8.62,9.33,10.025714,10.457143,10.88857,0.328926,2.79,0.1950001,
1983-02-01,458.4967,385.9379,8.51,8.92,9.64,10.257368,10.724737,11.19211,0.267022,2.32,0.1150007,
1983-03-01,458.5987,386.7701,8.77,9.04,9.66,10.083478,10.506522,10.92957,0.215837,2.29,0.0550002,8.361013
1983-04-01,459.3098,387.9783,8.8,8.98,9.57,10.0215,10.4,10.7785,0.119112,2.38,0.2049999,8.394558
1983-05-01,459.7138,388.6617,8.63,8.9,9.49,10.034286,10.38,10.72571,-0.081389,2.25,0.0250005,8.560946
1983-06-01,459.9152,389.2026,8.98,9.66,10.18,10.628182,10.848636,11.06909,0.087245,2.02,0.0950002,9.005487
1983-07-01,460.3168,390.7107,9.37,10.2,10.69,11.209,11.377,11.545,-0.075867,2.04,0.0550002,9.336581
1983-08-01,460.617,391.7938,9.56,10.53,11.07,11.626087,11.846087,12.06609,-0.177673,1.96,0.085,9.468156
1983-09-01,460.9162,393.3054,9.45,10.16,10.79,11.43,11.65381,11.87762,-0.047112,2.08,0.1249999,9.220732
1983-10-01,461.3138,394.1108,9.48,9.81,10.57,11.278,11.541,11.804,-0.06537,2,0.2349996,9.182439
1983-11-01,461.611,394.4186,9.34,9.94,10.66,11.408947,11.69,11.97105,0.047045,1.75,0.2250003,9.275873
1983-12-01,461.9073,394.9284,9.47,10.11,10.84,11.544762,11.829524,12.11429,0.129582,1.59,0.4149999,9.5175
1984-01-01,462.5953,396.9331,9.56,9.9,10.64,11.368571,11.674286,11.98,0.057239,1.7,0.1850004,9.42375
1984-02-01,463.0838,397.4271,9.59,10.04,10.79,11.538421,11.842105,12.14579,-0.050522,1.389999,0.1149997,9.645529
1984-03-01,463.3758,397.8902,9.91,10.59,11.31,12.021364,12.319091,12.61682,0.030465,1.070001,0.1949996,10.16482
1984-04-01,463.7637,398.5056,10.29,10.9,11.69,12.3715,12.6335,12.8955,0.147306,1.02,0.3750009,10.62408
1984-05-01,463.9572,398.9998,10.32,11.66,12.47,13.172727,13.408636,13.64455,-0.285679,0.5299997,0.7049999,11.1518
1984-06-01,464.1502,399.3539,11.06,12.08,12.91,13.476667,13.562857,13.64905,-0.006005,0.8599997,0.9949998,11.49875
1984-07-01,464.5352,399.684,11.23,12.03,12.88,13.274762,13.362381,13.45,-0.120269,1.31,0.9549999,11.76699
1984-08-01,464.823,399.7602,11.64,11.82,12.43,12.684783,12.716087,12.74739,0.221358,1.75,0.5950002,11.79399
1984-09-01,465.1099,399.6007,11.3,11.58,12.2,12.532105,12.522632,12.51316,-0.017891,1.83,0.5550002,11.74875
1984-10-01,465.4912,399.4657,9.99,10.9,11.6,12.060909,12.160455,12.26,-0.233755,1.97,0.2650003,10.83407
1984-11-01,465.6813,399.8443,9.43,9.82,10.65,11.325263,11.572632,11.82,-0.067831,2.070001,0.3050002,10.10791
1984-12-01,465.8711,399.9486,8.38,9.33,10.18,11.0695,11.4995,11.9295,0.001616,1.68,0.2649993,9.227777
1985-01-01,466.0605,399.7064,8.35,9.02,9.93,10.932381,11.384286,11.83619,-0.074955,1.7,0.1549997,8.938925
1985-02-01,466.6265,400.132,8.5,9.29,10.17,11.131111,11.508889,11.88667,-0.095078,1.41,0.1549997,9.008245
1985-03-01,467.0958,400.2525,8.58,9.86,10.71,11.520476,11.855238,12.19,0.138643,1.31,0.2649993,9.197251
1985-04-01,467.2829,400.0103,8.27,9.14,10.09,11.006667,11.434762,11.86286,-0.029021,1.77,0.3050002,8.731902
1985-05-01,467.4696,400.1366,7.97,8.46,9.39,10.335909,10.846818,11.35773,-0.194037,2.059999,0.2350001,8.304227
1985-06-01,467.7491,400.2067,7.53,7.8,8.69,9.599,10.156,10.713,0.212439,2.06,0.2850003,7.904533
1985-07-01,467.935,399.5114,7.88,7.86,8.77,9.7,10.306818,10.91364,0.134211,1.719999,0.3650002,7.971657
1985-08-01,468.1205,399.9523,7.9,8.05,8.94,9.8095455,10.331818,10.85409,0.146921,1.86,0.4650001,7.969779
1985-09-01,468.3057,400.375,7.92,8.07,8.98,9.81,10.373158,10.93632,0.250984,1.82,0.6150002,7.958222
1985-10-01,468.675,399.9734,7.99,8.01,8.86,9.6886364,10.236818,10.785,0.294745,1.900001,0.5250005,8.023813
