"date","gdp_growth","un"
1948-04-01,0.854439538841721,-0.142440573847106
1948-07-01,0.012100914487999,-0.0661647915899887
1948-10-01,-0.0850584641498133,-0.0232223426728717
1949-01-01,-2.07658589545754,0.786386772924245
1949-04-01,-1.49186812460935,1.96266255518136
1949-07-01,-0.14913989959049,2.77227167076848
1949-10-01,-1.89790372543457,3.0152141196956
1950-01-01,3.08314889996777,2.42482323528271
1950-04-01,1.91077174962273,1.56776568420983
1950-07-01,2.77658537904402,0.610708133126946
1950-10-01,1.90264055849565,0.186983915384063
1951-01-01,1.16743205013461,-0.57007363568882
1951-04-01,1.68733200345401,-0.993797853431703
1951-07-01,1.29633913626699,-0.950855404504587
1951-10-01,-0.447556477656398,-0.77457962224747
1952-01-01,0.0629117188091653,-1.09830383999035
1952-04-01,-1.14713966147826,-1.22202805773324
1952-07-01,-0.00935730533373606,-0.979085608816119
1952-10-01,1.14810007091219,-1.402809826559
1953-01-01,0.827704373707093,-1.55986737763189
1953-04-01,0.032880772747078,-1.71692492870477
1953-07-01,-1.37061042987701,-1.57398247978765
1953-10-01,-1.71566617920545,-0.631040030860535
1954-01-01,-2.30346902117087,0.911902418066581
1954-04-01,-1.30469302440939,1.4215115336537
1954-07-01,0.286009480114256,1.56445398258082
1954-10-01,0.550368376179787,0.907396431497932
1955-01-01,1.21225011118482,0.283672213755049
1955-04-01,0.183746577479348,-0.0733853373178341
1955-07-01,0.418070631088295,-0.397109555060718
1955-10-01,-0.0328684153162685,-0.287500439473601
1956-01-01,-1.10356482662115,-0.511224657216484
1956-04-01,-0.451629953309719,-0.368282208289367
1956-07-01,-0.833613336440166,-0.45867309270225
1956-10-01,0.19720424759586,-0.482397310445133
1957-01-01,-0.084857189260258,-0.706121528188017
1957-04-01,-0.963790046670844,-0.5631790792609
1957-07-01,-0.321354373921646,-0.453569963673783
1957-10-01,-2.46775877721777,0.222705818583334
1958-01-01,-2.95624236683492,1.56564826751045
1958-04-01,-0.369460251619503,2.60859071643757
1958-07-01,1.43093632764883,2.55153316535468
1958-10-01,1.4343135859153,1.5611422809518
1959-01-01,0.328094178976766,1.00408472986892
1959-04-01,0.981132690612661,0.247027178796034
1959-07-01,-1.36504000611173,0.389969627723152
1959-10-01,-0.0564273748126633,0.699578743310268
1960-01-01,0.795566410907477,0.209187858897386
1960-04-01,-1.19339519930608,0.285463641154502
1960-07-01,-0.809885819310586,0.561739423411619
1960-10-01,-1.76663500422136,1.27134853900874
1961-01-01,0.128639147910591,1.78095765459585
1961-04-01,0.331027341210309,1.95723343685297
1961-07-01,0.514212890041364,1.70017588578009
1961-10-01,1.31827433093696,1.1097850013672
1962-01-01,0.396269633536715,0.51939411695432
1962-04-01,0.129344872345837,0.395669899211436
1962-07-01,0.0195104250581655,0.405279014808553
1962-10-01,-1.07143160468541,0.34822146372567
1963-01-01,0.438606075545022,0.557830579322787
1963-04-01,0.469169266409296,0.500773028239904
1963-07-01,0.82638976367586,0.243715477167021
1963-10-01,-0.1897757544175,0.286657926094137
1964-01-01,1.30448928674638,0.162933708351254
1964-04-01,-0.0525017609360313,-0.127457176061629
1964-07-01,0.0965556817360534,-0.351181393804512
1964-10-01,-0.478577683210314,-0.408238944877395
1965-01-01,1.23785144037156,-0.498629829290278
1965-04-01,0.532059759393765,-0.755687380363161
1965-07-01,0.673767206104746,-1.07941159810605
1965-10-01,1.36886627705395,-1.36980248251893
1966-01-01,1.05379443525089,-1.62686003359181
1966-04-01,-0.645908103548766,-1.68391758467469
1966-07-01,0.113637098395757,-1.77430846907758
1966-10-01,-0.415668102440537,-1.86469935349046
1967-01-01,-0.342198307598408,-1.75509023790334
1967-04-01,-0.309877475469068,-1.77881445564623
1967-07-01,0.524996425423606,-1.83587200671911
1967-10-01,-0.343530852742592,-1.75959622446199
1968-01-01,0.248051792111113,-1.94998710887488
1968-04-01,0.781396373254804,-2.14037799327776
1968-07-01,-0.131450044281635,-2.19743554436064
1968-10-01,-1.00230254444038,-2.35449309543353
1969-01-01,0.490169321879862,-2.37821731317641
1969-04-01,-0.769364114535921,-2.36860819758929
1969-07-01,-0.353594962842553,-2.25899908199218
1969-10-01,-1.30528081287182,-2.28272329973506
1970-01-01,-1.52254314266496,-1.70644751747794
1970-04-01,-0.993057705081358,-1.13017173522083
1970-07-01,0.304351394224821,-0.753895952963708
1970-10-01,-1.8131296436811,-0.110953504046592
1971-01-01,1.74332944793778,-0.0346777217894744
1971-04-01,-0.913901493576798,-0.0917352728623574
1971-07-01,-0.394713165351891,0.0178738427247589
1971-10-01,-0.909846468210108,-0.105850375018124
1972-01-01,1.26238213537433,-0.296241259421007
1972-04-01,1.02003519518612,-0.38663214383389
1972-07-01,0.129215095112255,-0.543689694906774
1972-10-01,0.95314008976115,-0.767413912649657
1973-01-01,1.41421720293837,-1.22447146373254
1973-04-01,-0.650124194870695,-1.24819568147542
1973-07-01,-1.00438483957492,-1.40525323254831
1973-10-01,-0.0150952627415281,-1.46231078362119
1974-01-01,-1.18401045925756,-1.11936833470407
1974-04-01,-0.341543092655512,-1.07642588577696
1974-07-01,-1.93659972743577,-0.666816770189839
1974-10-01,-1.50783341617194,0.276125678737277
1975-01-01,-2.59959508200616,1.91906812766439
