"Name","F","Dates","Comments"
"GMCANQ","M","1959:01  2001:07","PERSONAL CONS EXPEND (CHAINED) - NEW CARS (BIL 96$,SAAR)"
"HSFR","M","1959:01  2001:07","HOUSING STARTS:NONFARM(1947-58);TOT.(1959-)(THOUS.,SA"
"HSNE","M","1959:01  2001:07","HOUSING STARTS:NORTHEAST (THOUS.U.)S.A."
"HSMW","M","1959:01  2001:07","HOUSING STARTS:MIDWEST(THOUS.U.)S.A."
"HSSOU","M","1959:01  2001:07","HOUSING STARTS:SOUTH (THOUS.U.)S.A."
"HSWST","M","1959:01  2001:07","HOUSING STARTS:WEST (THOUS.U.)S.A."
"HSBR","M","1959:01  2001:07","HOUSING AUTHORIZED: TOTAL NEW PRIV HOUSING (THOUS.,SAAR)"
"HMOB","M","1959:01  2001:07","MOBILE HOMES: MANUFACTURERS' SHIPMENTS (THOUS.OF UNITS,SAAR)"
"PMNV","M","1959:01  2001:07","NAPM INVENTORIES INDEX (PERCENT)"
"PMNO","M","1959:01  2001:07","NAPM NEW ORDERS INDEX (PERCENT)"
"PMDEL","M","1959:01  2001:07","NAPM VENDOR DELIVERIES INDEX (PERCENT)"
"MOCMQ","M","1959:01  2001:07","NEW ORDERS (NET) - CONSUMER GOODS & MATERIALS, 1992 $ (BCI)"
"MSONDQ","M","1959:01  2001:07","NEW ORDERS, NONDEFENSE CAPITAL GOODS, IN 1992 DOLLARS (BCI)"
"FSNCOM","M","1959:01  2001:07","NYSE COMMON STOCK PRICE INDEX: COMPOSITE (12/31/65=50)"
"FSPCOM","M","1959:01  2001:07","S&P'S COMMON STOCK PRICE INDEX: COMPOSITE (1941-43=10)"
"FSPIN","M","1959:01  2001:07","S&P'S COMMON STOCK PRICE INDEX: INDUSTRIALS (1941-43=10)"
"FSPCAP","M","1959:01  2001:07","S&P'S COMMON STOCK PRICE INDEX: CAPITAL GOODS (1941-43=10)"
"FSPUT","M","1959:01  2001:07","S&P'S COMMON STOCK PRICE INDEX: UTILITIES (1941-43=10)"
"FSDXP","M","1959:01  2001:07","S&P'S COMPOSITE COMMON STOCK: DIVIDEND YIELD (% PER ANNUM)"
"FSPXE","M","1959:01  2001:07","S&P'S COMPOSITE COMMON STOCK: PRICE-EARNINGS RATIO (%,NSA)"
"EXRSW","M","1959:01  2001:07","FOREIGN EXCHANGE RATE: SWITZERLAND (SWISS FRANC PER U.S.$)"
"EXRJAN","M","1959:01  2001:07","FOREIGN EXCHANGE RATE: JAPAN (YEN PER U.S.$)"
"EXRUK","M","1959:01  2001:07","FOREIGN EXCHANGE RATE: UNITED KINGDOM (CENTS PER POUND)"
"EXRCAN","M","1959:01  2001:07","FOREIGN EXCHANGE RATE: CANADA (CANADIAN $ PER U.S.$)"
"FYFF","M","1959:01  2001:07","INTEREST RATE: FEDERAL FUNDS (EFFECTIVE) (% PER ANNUM,NSA)"
"FYGM3","M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,3-MO.(% PER ANN,NSA)"
"FYGM6","M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,6-MO.(% PER ANN,NSA)"
"FYGT1","M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY CONST MATUR. ,1-YR.(% PER ANN,NSA)"
"FYGT5","M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY CONST MATUR., 5-YR.(% PER ANN,NSA)"
"FYGT10","M","1959:01  2001:07","INTEREST RATE: U.S.TREASURY CONST MATUR.,10-YR.(% PER ANN,NSA)"
"FYAAAC","M","1959:01  2001:07","BOND YIELD: MOODY'S AAA CORPORATE (% PER ANNUM)"
"FYBAAC","M","1959:01  2001:07","BOND YIELD: MOODY'S BAA CORPORATE (% PER ANNUM)"
"SFYGM3","M","1959:01  2001:07","Spread FYGM3 - FYFF"
"SFYGM6","M","1959:01  2001:07","Spread FYGM6 - FYFF"
"SFYGT1","M","1959:01  2001:07","Spread FYGT1 - FYFF"
"SFYGT5","M","1959:01  2001:07","Spread FYGT5 - FYFF"
"SFYGT10","M","1959:01  2001:07","Spread FYGT10 - FYFF"
"SFYAAAC","M","1959:01  2001:07","Spread FYAAAC - FYFF"
"SFYBAAC","M","1959:01  2001:07","Spread FYBAAC - FYFF"
"FM1","M","1959:01  2001:07","MONEY STOCK: M1 (BIL$,SA)"
"FM2","M","1959:01  2001:07","MONEY STOCK:M2 (BIL$, SA)"
"FM3","M","1959:01  2001:07","MONEY STOCK: M3 (BIL$,SA)"
"FM2DQ","M","1959:01  2001:07","MONEY SUPPLY - M2 IN 1992 DOLLARS (BCI)"
"FMFBA","M","1959:01  2001:07","MONETARY BASE, ADJ FOR RESERVE REQUIREMENT CHANGES(MIL$,SA)"
"FMRRA","M","1959:01  2001:07","DEPOSITORY INST RESERVES:TOTAL,ADJ FOR RES. REQ CHGS(MIL$,SA)"
"FMRNBA","M","1959:01  2001:07","DEPOSITORY INST RESERVES:NONBOR. ,ADJ RES REQ CHGS(MIL$,SA)"
"FCLNQ","M","1959:01  2001:07","OMMERCIAL & INDUST. LOANS OUSTANDING IN 1992 DOLLARS (BCI"
"FCLBMC","M","1959:01  2001:07","WKLY RP LG COM. BANKS: NET CHANGE COM & IND. LOANS(BIL$,SAAR)"
"CCINRV","M","1959:01  2001:07","CONSUMER CREDIT OUTSTANDING NONREVOLVING G19"
"PMCP","M","1959:01  2001:07","NAPM COMMODITY PRICES INDEX (PERCENT)"
"PWFSA","M","1959:01  2001:07","PRODUCER PRICE INDEX: FINISHED GOODS (82=100,SA)"
"PWFCSA","M","1959:01  2001:07","PRODUCER PRICE INDEX:FINISHED CONSUMER GOODS (82=100,SA)"
"PWIMSA","M","1959:01  2001:07","PRODUCER PRICE INDEX:INTERMED MAT.SUP & COMPONENTS(82=100,SA)"
"PWCMSA","M","1959:01  2001:07","PRODUCER PRICE INDEX:CRUDE MATERIALS (82=100,SA)"
"PSM99Q","M","1959:01  2001:07","INDEX OF SENSITIVE MATERIALS PRICES (1990=100)(BCI-99A)"
"PUNEW","M","1959:01  2001:07","CPI-U: ALL ITEMS (82-84=100,SA)"
"PU83","M","1959:01  2001:07","CPI-U: APPAREL & UPKEEP (82-84=100,SA)"
"PU84","M","1959:01  2001:07","CPI-U: TRANSPORTATION (82-84=100,SA)"
"PU85","M","1959:01  2001:07","CPI-U: MEDICAL CARE (82-84=100,SA)"
"PUC","M","1959:01  2001:07","CPI-U: COMMODITIES (82-84=100,SA)"
"PUCD","M","1959:01  2001:07","CPI-U: DURABLES (82-84=100,SA)"
"PUS","M","1959:01  2001:07","CPI-U: SERVICES (82-84=100,SA)"
"PUXF","M","1959:01  2001:07","CPI-U: ALL ITEMS LESS FOOD (82-84=100,SA)"
"PUXHS","M","1959:01  2001:07","CPI-U: ALL ITEMS LESS SHELTER (82-84=100,SA)"
"PUXM","M","1959:01  2001:07","CPI-U: ALL ITEMS LESS MIDICAL CARE (82-84=100,SA)"
"LEHCC","M","1959:01  2001:07","AVG HR EARNINGS OF CONSTR WKRS: CONSTRUCTION ($,SA)"
"LEHM","M","1959:01  2001:07","AVG HR EARNINGS OF PROD WKRS: MANUFACTURING ($,SA)"
"HHSNTN","M","1959:01  2001:07","U. OF MICH. INDEX OF CONSUMER EXPECTATIONS(BCD-83)"
