"country","year","debt_gdp","debt_cat","gdp_growth"
"Australia",1946,190.419080068143,"Above 90%",-3.55795148247978
"Australia",1947,177.321371355335,"Above 90%",2.45947456679709
"Australia",1948,148.929810515079,"Above 90%",6.43753409710857
"Australia",1949,125.828698553949,"Above 90%",6.61199384930806
"Australia",1950,109.809397999623,"Above 90%",6.92020124184758
"Australia",1951,87.0944792259533,"60-90%",4.27261154812808
"Australia",1952,86.0664381755866,"60-90%",0.904651599574291
"Australia",1953,79.8650221084478,"60-90%",3.11928028540407
"Australia",1954,76.8467028869713,"60-90%",6.21681382650683
"Australia",1955,74.980501949805,"60-90%",5.46208967060355
"Australia",1956,71.8182657678456,"60-90%",3.44160814276697
"Australia",1957,67.7237634682277,"60-90%",2.00301165719032
"Australia",1958,66.0497512437811,"60-90%",4.80293215571987
"Australia",1959,62.3884514435696,"60-90%",6.15657369066556
"Australia",1960,48.3363802559415,"30-60%",4.19121263769575
"Australia",1961,49.3781138268566,"30-60%",0.689465883515394
"Australia",1962,50.3307607497244,"30-60%",6.24884149466269
"Australia",1963,47.5875309452837,"30-60%",6.12556955789991
"Australia",1964,45.0115260488705,"30-60%",6.84149961803642
"Australia",1965,43.7390374331551,"30-60%",5.10734197378901
"Australia",1966,42.4812330298674,"30-60%",2.78306395363856
"Australia",1967,40.5344808881496,"30-60%",6.75167346665215
"Australia",1968,39.494266587128,"30-60%",5.87889061543532
"Australia",1969,36.8007764249162,"30-60%",6.0816970936826
"Australia",1970,34.9635906262412,"30-60%",6.35978702888527
"Australia",1971,32.289871721233,"30-60%",4.4488240704244
"Australia",1972,30.7217442700466,"30-60%",2.80580154976351
"Australia",1973,27.3614668002821,"0-30%",5.42113023315571
"Australia",1974,22.3663943990665,"0-30%",2.47919495804172
"Australia",1975,23.6368473561689,"0-30%",2.70746265275843
"Australia",1976,22.9823490858137,"0-30%",4.03105305816382
"Australia",1977,23.6389103162681,"0-30%",1.04675690859559
"Australia",1978,24.7328917511093,"0-30%",2.90108207056801
"Australia",1979,20.8721951141215,"0-30%",5.26597479916813
"Australia",1980,19.1240875912409,"0-30%",1.99840205311963
"Australia",1981,16.1768449812164,"0-30%",4.15575163781792
"Australia",1982,15.043615122865,"0-30%",-0.0097400067530673
"Australia",1983,17.5796955772545,"0-30%",-0.526011598231046
"Australia",1984,20.062923963846,"0-30%",6.41449981176707
"Australia",1985,21.4240170031881,"0-30%",5.71619626431963
"Australia",1986,21.4917077070434,"0-30%",2.11057959212098
"Australia",1987,19.9939123512373,"0-30%",4.39628095885791
"Australia",1988,16.2935934114077,"0-30%",4.03041273124836
"Australia",1989,12.4983297658004,"0-30%",4.57494906645084
"Australia",1990,10.3312013888377,"0-30%",1.60443952202081
"Australia",1991,9.30832139271476,"0-30%",-1.25011696760859
"Australia",1992,10.8657169152173,"0-30%",2.11228737481879
"Australia",1993,13.8149624320372,"0-30%",3.89721181178508
"Australia",1994,15.9184748817064,"0-30%",5.01353866982568
"Australia",1995,18.3834558684011,"0-30%",3.48883188817115
"Australia",1996,17.775323368892,"0-30%",4.28160704089695
"Australia",1997,17.4123245735034,"0-30%",3.99699685997652
"Australia",1998,14.5861376950489,"0-30%",5.05137931080328
"Australia",1999,13.2160492638041,"0-30%",4.40172373425132
"Australia",2000,11.1060178708496,"0-30%",3.42612964814983
"Australia",2001,9.23978259677442,"0-30%",2.08934021575549
"Australia",2002,8.22777792501693,"0-30%",4.24734849267636
"Australia",2003,7.0313350387233,"0-30%",2.96593976491422
"Australia",2004,6.27135095137178,"0-30%",3.84227864889726
"Australia",2005,5.89201334254395,"0-30%",2.75919465465262
"Australia",2006,5.39256636274764,"0-30%",2.84037203390766
"Australia",2007,4.90543010344605,"0-30%",4.04878029762532
"Australia",2008,4.67788706633923,"0-30%",2.35422396414895
"Australia",2009,8.41826984160015,"0-30%",0.732249739168633
"Austria",1946,,,16.8
"Austria",1947,,,10.2739726027397
"Austria",1948,35.2022832901837,"30-60%",27.3291925465839
"Austria",1949,26.4481413713405,"0-30%",18.9024390243902
"Austria",1950,22.1443982123594,"0-30%",12.4089618396898
"Austria",1951,15.2643312101911,"0-30%",6.83993463543693
"Austria",1952,13.5804012249234,"0-30%",0.0873998543335697
"Austria",1953,16.5658058965379,"0-30%",4.35162276233445
"Austria",1954,14.268099837593,"0-30%",10.2196652719665
"Austria",1955,11.8947319303812,"0-30%",11.0531144221948
"Austria",1956,10.9238191123416,"0-30%",6.87936191425722
"Austria",1957,8.30426907365725,"0-30%",6.12473347547975
"Austria",1958,11.5927580736709,"0-30%",3.65161484755638
"Austria",1959,13.5199043225696,"0-30%",2.84212056600117
"Austria",1960,13.5685102264583,"0-30%",8.23182942631642
"Austria",1961,12.3920535956318,"0-30%",5.30921439299941
"Austria",1962,11.9662696452802,"0-30%",2.42258878002397
