"year","amtr_all_br2011","amtr_all_ps2003","amtr_top_1","amtr_top_5","amtr_top_10","amtr_top_5_1","amtr_top_10_5","amtr_bottom_99","amtr_bottom_90","amiitr_all_br2011","amiitr_all_ps2003","amiitr_top_1","amiitr_top_5","amiitr_top_10","amiitr_top_5_1","amiitr_top_10_5","amiitr_bottom_99","amiitr_bottom_90","amptr_all_br2011","amptr_all_ps2003","amptr_top_1","amptr_top_5","amptr_top_10","amptr_top_5_1","amptr_top_10_5","amptr_bottom_99","amptr_bottom_90","shock_ii_liab_marg","shock_ii_liab_other","shock_pr_liab_marg","shock_pr_liab_other","shock_all","shock_top_1","shock_top_5","shock_top_10","shock_top_5_1","shock_top_10_5","shock_bottom_99","shock_bottom_90","shock_inc","linc_all","linc_top_1","linc_top_5","linc_top_10","linc_top_5_1","linc_top_10_5","linc_bottom_99","linc_bottom_90","ctrl_log_rgdp","ctrl_unrate","ctrl_inflation","ctrl_ffr","ctrl_log_gov","ctrl_log_rstprices","ctrl_dlog_rdebt","ctrl_log_avtax"
1946,0.232725594206612,0.214762406490035,0.452532464699599,0.331620103015131,0.299566133466241,0.221328185697055,0.220204677995025,0.183066826838659,0.169864098495418,0.226,0.207434881436544,0.452532464699599,0.331620103015131,0.299566133466241,0.221328185697055,0.220204677995025,0.174762517089361,0.15865710389005,0.00672559420661172,0.0073275250534912,0,0,0,0,0,0.00830430974929878,0.0112069946053686,,,,,,,,,,,,,134199,10.0512795502817,12.5161742166116,11.6469201032706,11.2930061401823,11.2218365536735,10.7402596367162,9.93622007509237,9.73168628124752,-8.38025001870426,0.039,0.08189443326677,0.0038,-11.8874580053225,5.16470714999352,-0.184853431654361,-1.77194939033928
1947,0.232070912154361,0.216810405261447,0.461693982583422,0.337639663728161,0.303438738043795,0.227574975353477,0.221438025250367,0.186687472299239,0.174109910020535,0.226,0.210285827925834,0.461693982583422,0.337639663728161,0.303438738043795,0.227574975353477,0.221438025250367,0.179360311924628,0.164369263824767,0.00607091215436116,0.00652457733561353,0,0,0,0,0,0.00732716037461014,0.00974064619576712,,,,,,,,,,,,,150262,10.0164016080949,12.4100807998632,11.5553883478237,11.2108306878553,11.1433976520976,10.6809024044814,9.91047976769594,9.72098600513066,-8.40501873546783,0.036,0.134175118054123,0.006,-12.2318773345118,4.91162014548567,-0.180151477792382,-1.82677188236259
1948,0.185146450055468,0.168449579712255,0.407043957085518,0.291413857343669,0.254412407160325,0.186541084001273,0.16694397126813,0.138144612809923,0.124715784197247,0.18,0.162757930735151,0.406904218929162,0.290330996186957,0.251908854721025,0.184602840683073,0.161082019529398,0.131747790158905,0.117402183427658,0.00514645005546851,0.00569164897710428,0.000139738156356618,0.00108286115671183,0.00250355243930055,0.0019382433181998,0.00586195173873266,0.006396822651018,0.00731360076958858,-2.4,-2.2,0,0,-3.38188374883778,-9.13550431221038,-7.06985309337255,-6.0723083209143,-5.23714577781802,-3.68057825080313,-2.67413548570055,-2.05573030750782,166779,10.0341363896441,12.4562699305427,11.590004374219,11.2496612356071,11.1676454814166,10.7297448069867,9.92461459035677,9.72821491187221,-8.3760638424823,0.038,0.0748533590516544,0.0105,-12.2057491655614,4.86065629866542,-0.112740873145692,-2.0040435576926
1949,0.183195313616231,0.180197755777455,0.405451633337648,0.291165372519713,0.259451452269749,0.191211932519057,0.187216780942036,0.152510095604245,0.139799725810099,0.175,0.17185233600499,0.405255329603233,0.289832824570548,0.256740477534722,0.188885638540122,0.181366168942326,0.143163006257798,0.128582257293586,0.00819531361623059,0.00834541977246506,0.000196303734415314,0.00133254794916503,0.0027109747350261,0.00232629397893499,0.00585061199970961,0.00934708934644735,0.0112174685165134,,,,,,,,,,,,,165006,10.0215721641893,12.4145590842772,11.5675157614024,11.2383555904232,11.1622766434978,10.7444065441144,9.91565032379043,9.71504700393609,-8.39312827577989,0.061,-0.00974972422653324,0.0112,-12.0212124795044,4.85073858684331,0.0100348056973161,-2.10665602781168
1950,0.202947018136402,0.19143951979382,0.425790752739578,0.309449385155717,0.275389528905707,0.203810934346254,0.194079156030332,0.161404405780419,0.148440446276329,0.196,0.184041087332514,0.425611643734492,0.308211829314157,0.273050888483197,0.201612304327972,0.189111919726878,0.153080724493317,0.138450395634621,0.00694701813640193,0.00739843246130518,0.000179109005085845,0.00123755584156066,0.00233864042251011,0.00219863001828271,0.00496723630345421,0.00832368128710227,0.00999005064170815,,,,,,,,,,,,,182539,10.0981280017668,12.5282449992522,11.6613793615825,11.3181139891078,11.2384664490232,10.7912751823267,9.98759137463116,9.78994083312308,-8.32425496971647,0.052,0.00974972422653327,0.010411904597846,-12.0209939586956,5.03007236032464,-0.0298499618636239,-2.08499547872325
1951,0.240778642086761,0.238936768174102,0.501110557607178,0.36718635553904,0.327086109563087,0.251267141967234,0.237519896700067,0.208119452760799,0.195872780296012,0.231,0.22907599547572,0.500883279623475,0.365718539076631,0.323922681056698,0.248725567045663,0.230569220869676,0.197126307349657,0.182740124398563,0.00977864208676087,0.00986077269838246,0.000227277983703427,0.00146781646240886,0.00316342850638922,0.00254157492157024,0.00695067583039113,0.0109931454111415,0.013132655897449,,,,,,,,,,,,,204931,10.1279594358667,12.4810977296807,11.6395906921418,11.3164292221861,11.2391682682412,10.8359898870543,10.026854722354,9.83552534972057,-8.25651198289945,0.033,0.076089339285792,0.0121321954007973,-11.7732423451198,5.14778731122799,-0.0878972973166712,-1.86424532199856
1952,0.260255135905229,0.262037283557791,0.539455914966688,0.398664613494249,0.354207838913055,0.285011167599208,0.259240965768756,0.232038161129774,0.218514993475442,0.251,0.252849858555935,0.539233425924589,0.397307173302081,0.351298289920791,0.282737540769238,0.25301586091547,0.221881297954101,0.206363199432548,0.00925513590522878,0.00918742500185549,0.000222489042099182,0.00135744019216792,0.00290954899226365,0.00227362682997028,0.00622510485328628,0.0101568631756732,0.012151794042894,,,,,,,,,,,,,218232,10.1593937501756,12.4375163921539,11.6340166984347,11.3248587081897,11.2653589689049,10.8749888238203,10.0667466877907,9.87806184304851,-8.22647932969689,0.03,0.0216190110765262,0.0146646699550299,-11.6147596717601,5.21858441687522,-0.00694092555691839,-1.77973483811511
1953,0.257647684526146,0.262741878719094,0.547801038258393,0.403616242225231,0.356254652811874,0.293828217030873,0.260339801637681,0.234269642512506,0.219977123581009,0.249,0.254273544137475,0.547581904189389,0.402277522733751,0.353564928521771,0.29163700077169,0.254914074907616,0.224977362522887,0.208866146252956,0.00864768452614552,0.00846833458161911,0.000219134069003472,0.00133871949148014,0.00268972429010248,0.00219121625918258,0.00542572673006566,0.00929227998961896,0.0111109773280523,,,,,,,,,,,,,231799,10.2029991269757,12.4091758552532,11.6384189298259,11.3465833883913,11.2954291412279,10.9327592273641,10.1178592758254,9.93177349407571,-8.18979051216132,0.029,0.00751578667320873,0.0165201254221069,-11.563100978316,5.22058203246416,0.0144901508099355,-1.8054988667836
1954,0.232879200765563,0.232517433898252,0.496189014977287,0.360368047997038,0.317938360218497,0.255572808567539,0.231296820231377,0.205192073149336,0.192098849386849,0.222,0.221619557381907,0.495910064731959,0.35872573236835,0.314926274036913,0.252878562556115,0.225487658786094,0.193193714017708,0.177469656706948,0.0108792007655631,0.0108978765163448,0.000278950245328765,0.00164231562868826,0.00301208618158355,0.00269424601142384,0.00580916144528316,0.0119983591316278,0.0146291926799019,0,-0.8,0,0,0,0,0,0,0,0,0,0,232475,10.1907834229292,12.4304697401388,11.6522111209051,11.3576430644557,11.3034713654646,10.938278713775,10.1022281550286,9.90871519296498,-8.20561046690499,0.056,0.00497922176584098,0.00995763818676762,-11.6505413792028,5.39830055747826,-0.00467707635813008,-1.87033213201971
1955,0.241284551236551,0.239449201938433,0.505256362655016,0.366891479086224,0.324106450317814,0.26274694099628,0.236108231279133,0.212579492520579,0.20002648064853,0.228,0.226050056036686,0.5049283547296,0.365090569578013,0.320511037806124,0.259837407312371,0.228821970054436,0.197859021496372,0.182061986162517,0.013284551236551,0.0133991459017469,0.000328007925416535,0.00180090950821053,0.00359541251169073,0.00290953368390871,0.00728626122469704,0.0147204710242073,0.0179644944860133,,,,,,,,,,,,,250047,10.2572470835104,12.4743275467308,11.7101591509268,11.4132483738267,11.3721656458683,10.9890505452102,10.1710067590456,9.98032176400742,-8.14694170825416,0.044,-0.00372734378562073,0.0176849993696069,-11.6755392300195,5.7123830322034,-0.0099071314818846,-1.85236009584353
