"cohort","par_pctile","abs_mob","par_frac0","cohort_mean"
1941,32,0.902,0.09,0.890999972820282
1941,33,0.902,0.09,0.890999972820282
1941,34,0.902,0.09,0.890999972820282
1941,35,0.902,0.09,0.890999972820282
1941,36,0.902,0.09,0.890999972820282
1941,37,0.903,0.09,0.890999972820282
1941,38,0.902,0.09,0.890999972820282
1941,39,0.904,0.09,0.890999972820282
1941,40,0.904,0.09,0.890999972820282
1941,41,0.904,0.09,0.890999972820282
1941,42,0.904,0.09,0.890999972820282
1941,43,0.905,0.09,0.890999972820282
1941,44,0.903,0.09,0.890999972820282
1941,45,0.904,0.09,0.890999972820282
1941,46,0.902,0.09,0.890999972820282
1941,47,0.899,0.09,0.890999972820282
1941,48,0.904,0.09,0.890999972820282
1941,49,0.902,0.09,0.890999972820282
1941,50,0.9,0.09,0.890999972820282
1941,51,0.901,0.09,0.890999972820282
1941,52,0.901,0.09,0.890999972820282
1941,53,0.9,0.09,0.890999972820282
1941,54,0.9,0.09,0.890999972820282
1941,55,0.903,0.09,0.890999972820282
1941,56,0.902,0.09,0.890999972820282
1941,57,0.903,0.09,0.890999972820282
1941,58,0.906,0.09,0.890999972820282
1941,59,0.909,0.09,0.890999972820282
1941,60,0.906,0.09,0.890999972820282
1941,61,0.906,0.09,0.890999972820282
1941,62,0.905,0.09,0.890999972820282
1941,63,0.905,0.09,0.890999972820282
1941,64,0.904,0.09,0.890999972820282
1941,65,0.905,0.09,0.890999972820282
1941,66,0.905,0.09,0.890999972820282
1941,67,0.903,0.09,0.890999972820282
1941,68,0.905,0.09,0.890999972820282
1941,69,0.903,0.09,0.890999972820282
1941,70,0.903,0.09,0.890999972820282
1941,71,0.9,0.09,0.890999972820282
1941,72,0.9,0.09,0.890999972820282
1941,73,0.898,0.09,0.890999972820282
1941,74,0.898,0.09,0.890999972820282
1941,75,0.898,0.09,0.890999972820282
1941,76,0.899,0.09,0.890999972820282
1941,77,0.896,0.09,0.890999972820282
1941,78,0.891,0.09,0.890999972820282
1941,79,0.889,0.09,0.890999972820282
1941,80,0.886,0.09,0.890999972820282
1941,81,0.881,0.09,0.890999972820282
1941,82,0.882,0.09,0.890999972820282
1941,83,0.877,0.09,0.890999972820282
1941,84,0.87,0.09,0.890999972820282
1941,85,0.863,0.09,0.890999972820282
1941,86,0.859,0.09,0.890999972820282
1941,87,0.857,0.09,0.890999972820282
1941,88,0.858,0.09,0.890999972820282
1941,89,0.858,0.09,0.890999972820282
1941,90,0.855,0.09,0.890999972820282
1941,91,0.845,0.09,0.890999972820282
1941,92,0.834,0.09,0.890999972820282
1941,93,0.824,0.09,0.890999972820282
1941,94,0.808,0.09,0.890999972820282
1941,95,0.787,0.09,0.890999972820282
1941,96,0.746,0.09,0.890999972820282
1941,97,0.714,0.09,0.890999972820282
1941,98,0.621,0.09,0.890999972820282
1941,99,0.481,0.09,0.890999972820282
1941,100,0.344,0.09,0.890999972820282
1942,1,0.923,0.085,0.896000027656555
1942,2,0.931,0.085,0.896000027656555
1942,3,0.931,0.085,0.896000027656555
1942,4,0.928,0.085,0.896000027656555
1942,5,0.925,0.085,0.896000027656555
1942,6,0.924,0.085,0.896000027656555
1942,7,0.924,0.085,0.896000027656555
1942,8,0.925,0.085,0.896000027656555
1942,9,0.923,0.085,0.896000027656555
1942,10,0.923,0.085,0.896000027656555
1942,11,0.924,0.085,0.896000027656555
1942,12,0.924,0.085,0.896000027656555
1942,13,0.925,0.085,0.896000027656555
1942,14,0.923,0.085,0.896000027656555
1942,15,0.923,0.085,0.896000027656555
1942,16,0.92,0.085,0.896000027656555
1942,17,0.922,0.085,0.896000027656555
1942,18,0.922,0.085,0.896000027656555
1942,19,0.921,0.085,0.896000027656555
1942,20,0.922,0.085,0.896000027656555
1942,21,0.922,0.085,0.896000027656555
1942,22,0.921,0.085,0.896000027656555
1942,23,0.923,0.085,0.896000027656555
1942,24,0.922,0.085,0.896000027656555
1942,25,0.921,0.085,0.896000027656555
1942,26,0.921,0.085,0.896000027656555
1942,27,0.92,0.085,0.896000027656555
1942,28,0.918,0.085,0.896000027656555
1942,29,0.917,0.085,0.896000027656555
1942,30,0.917,0.085,0.896000027656555
1942,31,0.918,0.085,0.896000027656555
1942,32,0.917,0.085,0.896000027656555
1942,33,0.916,0.085,0.896000027656555
