"byr","race","interval","year","type","vmn1","vsd1","vnu1","vnms1","vfin1","ctr1","ltax","xltax"
1944,1,49,1978,"TAXAB",11591.27,7285.76,162,4,0.166999995708466,15,0.358000010251999,0.28999999165535
1944,1,50,1978,"TAXAB",10846.31,7296.19,172,4,0.180000007152557,15,0.331000000238419,0.266999989748001
1944,1,51,1978,"TAXAB",10218.02,7155.56,165,9,0.200000002980232,15,0.261000007390976,0.217999994754791
1944,1,52,1978,"TAXAB",10538.39,7302.57,172,5,0.17399999499321,15,0.319999992847443,0.261999994516373
1944,1,53,1978,"TAXAB",11174.05,7352.27,164,4,0.140000000596046,15,0.354000002145767,0.256000012159348
1944,1,54,1978,"TAXAB",11074.97,7522.04,181,4,0.181999996304512,15,0.331000000238419,0.254000008106232
1944,1,55,1978,"TAXAB",10761.49,7639.31,190,7,0.221000000834465,15,0.316000014543533,0.246999993920326
1944,1,56,1978,"TAXAB",10313.9,7920.4,185,1.5,0.226999998092651,15,0.314000010490417,0.226999998092651
1944,1,57,1978,"TAXAB",10536.24,7241.88,163,6,0.226999998092651,15,0.300999999046326,0.257999986410141
1944,1,58,1978,"TAXAB",11455.2,7396.21,174,5,0.160999998450279,15,0.33899998664856,0.270000010728836
1944,1,59,1978,"TAXAB",11705.87,7533.81,189,3,0.148000001907349,15,0.33899998664856,0.25900000333786
1944,1,60,1978,"TAXAB",11586.98,9056.2,170,0,0.175999999046326,15,0.312000006437302,0.211999997496605
1944,1,61,1978,"TAXAB",11295.39,7791.1,207,7,0.202999994158745,15,0.35699999332428,0.280000001192093
1944,1,62,1978,"TAXAB",10925.25,7243.12,199,3,0.171000003814697,15,0.342000007629395,0.28099998831749
1944,1,63,1978,"TAXAB",10830.88,7765.52,224,6,0.209999993443489,15,0.303999990224838,0.237000003457069
1944,1,64,1978,"TAXAB",11048.26,7522.29,172,1.5,0.19200000166893,15,0.331000000238419,0.256000012159348
1944,1,65,1978,"TAXAB",10501.33,7509.43,193,4,0.223000004887581,15,0.331999987363815,0.284999996423721
1944,1,66,1978,"TAXAB",11264.26,9416.67,199,5,0.175999999046326,15,0.312000006437302,0.24600000679493
1944,1,67,1978,"TAXAB",10885.32,7258.42,194,4,0.180000007152557,15,0.308999985456467,0.246999993920326
1944,1,68,1978,"TAXAB",11431.91,7161.8,177,4,0.180999994277954,15,0.349999994039536,0.293999999761581
1944,1,69,1978,"TAXAB",9219.22,7616.72,177,6,0.259999990463257,15,0.254000008106232,0.209000006318092
1944,1,70,1978,"TAXAB",10318.75,7462.85,179,6,0.223000004887581,15,0.317999988794327,0.26800000667572
1944,1,71,1978,"TAXAB",11045.65,7555.28,200,1.5,0.174999997019768,15,0.354999989271164,0.25
1944,1,72,1978,"TAXAB",10412.36,7429.51,194,3,0.180000007152557,15,0.293999999761581,0.237000003457069
1944,1,73,1978,"TAXAB",10027.06,7582.62,221,6,0.231000006198883,15,0.257999986410141,0.208000004291534
1944,1,1,1979,"TAXAB",12362.06,8707.63,178,4,0.190999999642372,17,0.190999999642372,0.145999997854233
1944,1,2,1979,"TAXAB",13912.76,9159.48,182,5,0.148000001907349,17,0.252999991178513,0.197999998927116
1944,1,3,1979,"TAXAB",13299.92,9419.51,208,1.5,0.216000005602837,17,0.207000002264977,0.158999994397163
1944,1,4,1979,"TAXAB",12978.15,8831.08,206,1.5,0.194000005722046,17,0.194000005722046,0.170000001788139
1944,1,5,1979,"TAXAB",14139.56,9070.31,207,0,0.144999995827675,17,0.256000012159348,0.208000004291534
1944,1,6,1979,"TAXAB",13216.55,8446.57,177,5,0.141000002622604,17,0.186000004410744,0.141000002622604
1944,1,7,1979,"TAXAB",13053.81,9490.82,192,1.5,0.172000005841255,17,0.233999997377396,0.181999996304512
1944,1,8,1979,"TAXAB",12777.76,9578.66,143,5,0.238000005483627,17,0.209999993443489,0.174999997019768
1944,1,9,1979,"TAXAB",13225.7,9349.12,198,4,0.187000006437302,17,0.19200000166893,0.130999997258186
1944,1,10,1979,"TAXAB",12717.41,9327.98,222,7,0.197999998927116,17,0.197999998927116,0.143999993801117
1944,1,11,1979,"TAXAB",12560.22,9147.02,175,5,0.206000000238419,17,0.210999995470047,0.18299999833107
1944,1,12,1979,"TAXAB",12187.68,9135.14,161,7,0.216999992728233,17,0.180000007152557,0.136999994516373
1944,1,13,1979,"TAXAB",13511.58,11949.32,185,8,0.204999998211861,17,0.222000002861023,0.178000003099442
1944,1,14,1979,"TAXAB",13417.83,8800.24,185,5,0.135000005364418,17,0.23199999332428,0.178000003099442
1944,1,15,1979,"TAXAB",12711.25,8788.08,162,4,0.203999996185303,17,0.197999998927116,0.166999995708466
1944,1,16,1979,"TAXAB",12255.35,9016.3,136,5,0.212999999523163,17,0.199000000953674,0.153999999165535
1944,1,17,1979,"TAXAB",13678.02,8870.27,191,4,0.178000003099442,17,0.224999994039536,0.167999997735023
1944,1,18,1979,"TAXAB",13352.93,9660.31,192,3,0.172000005841255,17,0.229000002145767,0.202999994158745
1944,1,19,1979,"TAXAB",11811.79,8666.88,197,1.5,0.202999994158745,17,0.178000003099442,0.157000005245209
1944,1,20,1979,"TAXAB",12598.04,9265.41,179,0,0.184000000357628,17,0.239999994635582,0.207000002264977
1944,1,21,1979,"TAXAB",12641.43,9230.6,216,5,0.222000002861023,17,0.254999995231628,0.199000000953674
