"year","pretax_bottom50","pretax_middle40","pretax_top10","pretax_top1","pretax_top01","posttax_bottom50","posttax_middle40","posttax_top10","posttax_top1"
1913,,,0.42309919443693,0.188352184805153,,,,0.413212682751026,0.175494984162171
1914,,,0.429537005443655,0.193273159908346,,,,0.41743839456625,0.177818305070746
1915,,,0.42188210460514,0.187025694067202,,,,0.409367836062977,0.170395278611788
1916,,,0.443883752998124,0.206358630454017,,,,0.434424131618369,0.192941530613135
1917,,,0.449019879207835,0.20136263442646,,,,0.441609679519782,0.17603693387778
1918,,,0.43637946326819,0.189518935599857,,,,0.412769172788699,0.145900132897574
1919,,,0.454346843091792,0.210074590572696,,,,0.433446912496334,0.185967169229778
1920,,,0.434385799788862,0.184026022391747,,,,0.416968923754753,0.16613925786002
1921,,,0.465280688486763,0.180990410318873,,,,0.448381857730898,0.161035484413155
1922,,,0.455365806158461,0.176266132637475,,,,0.438006675696323,0.156681119813405
1923,,,0.431027826557515,0.16885257938925,,,,0.410565506005193,0.150864895303945
1924,,,0.452629307342061,0.176055493109948,,,,0.431969364354893,0.159310356661596
1925,,,0.470836414022053,0.199475708606641,,,,0.448380621298005,0.180657142182408
1926,,,0.474412122022071,0.212145577408255,,,,0.45171476769931,0.193659161210371
1927,,,0.467595910379055,0.203284271540472,,,,0.445033334192797,0.184343952278503
1928,,,0.479572177472146,0.213891527412893,,,,0.457181731261731,0.19266721419858
1929,,,0.466798260518074,0.211630623611827,,,,0.441038773754824,0.187652614463948
1930,,,0.453424884369757,0.180877777166764,,,,0.424142888384746,0.155169343577507
1931,,,0.449959748366644,0.15032631780091,,,,0.407967289004016,0.118380645353975
1932,,,0.46654304694441,0.139127397422834,,,,0.41954768001644,0.103758932906466
1933,,,0.468722781750074,0.1515659380321,,,,0.423524396523932,0.115380989380581
1934,,,0.480265339936945,0.171517007399529,,,,0.449966551039208,0.142437521241274
1935,,,0.470620324869393,0.173612827322807,,,,0.440929336058212,0.142952195433872
1936,,,0.477393227499056,0.192437205455396,,,,0.443262522535811,0.15770399238784
1937,,,0.465185135539829,0.190419478999127,,,,0.439888868137468,0.161468747646923
1938,,,0.46462106224885,0.171933400607219,,,,0.437103515472692,0.140225590106476
1939,,,0.478679829410688,0.184811362200249,,,,0.455543514392919,0.157853504634197
1940,,,0.477346135999763,0.193054420674196,,,,0.456598689434409,0.16820531913523
1941,,,0.457881273745301,0.194866500701735,,,,0.43906186242365,0.167170649890596
1942,,,0.410669181706008,0.184938263688315,,,,0.395372714219509,0.143758166204254
1943,,,0.380571507430698,0.171830520909298,,,,0.359567983562239,0.124989449050468
1944,,,0.36195640710888,0.148363792237155,,,,0.360100601653185,0.10566371470809
1945,,,0.35820143764479,0.14279793159629,,,,0.33823018968933,0.0950365694114376
1946,,,0.372050890068397,0.141565517568132,,,,0.341836132749556,0.105653075499468
