"date","igrea"
1986-03-01,-55.359048
1986-04-01,-61.523793
1986-05-01,-66.362009
1986-06-01,-69.324214
1986-07-01,-80.951145
1986-08-01,-78.288837
1986-09-01,-54.250312
1986-10-01,-48.80396
1986-11-01,-51.125115
1986-12-01,-60.11716
1987-01-01,-46.522163
1987-02-01,-41.79557
1987-03-01,-35.088418
1987-04-01,-25.193309
1987-05-01,-19.446763
1987-06-01,-30.73634
1987-07-01,-33.682092
1987-08-01,-18.800499
1987-09-01,-22.34964
1987-10-01,-17.349789
1987-11-01,-12.33946
1987-12-01,-5.151453
1988-01-01,2.8625339
1988-02-01,14.109333
1988-03-01,19.201659
1988-04-01,11.658671
1988-05-01,5.2079084
1988-06-01,-5.1051492
1988-07-01,-11.464908
1988-08-01,-9.3991243
1988-09-01,-4.8524822
1988-10-01,-1.9444774
1988-11-01,7.8308642
1988-12-01,11.300686
1989-01-01,17.76623
1989-02-01,12.201897
1989-03-01,17.521615
1989-04-01,16.952824
1989-05-01,21.507686
1989-06-01,3.0941928
1989-07-01,1.0149469
1989-08-01,2.3946894
1989-09-01,3.8694421
1989-10-01,10.575259
1989-11-01,18.115671
1989-12-01,14.527549
1990-01-01,16.456449
1990-02-01,13.019915
1990-03-01,12.466012
1990-04-01,2.6277123
1990-05-01,-6.278035
1990-06-01,-15.108514
1990-07-01,-25.092113
1990-08-01,-16.078707
1990-09-01,-18.677803
1990-10-01,-14.664085
1990-11-01,-9.7030495
1990-12-01,-0.42899827
1991-01-01,0.19572948
1991-02-01,9.9492096
1991-03-01,17.886873
1991-04-01,10.432156
1991-05-01,14.264996
1991-06-01,16.446667
1991-07-01,7.9710724
1991-08-01,2.8074365
1991-09-01,5.9135847
1991-10-01,10.253589
1991-11-01,10.849111
1991-12-01,5.4065556
1992-01-01,2.5296956
1992-02-01,-10.82729
1992-03-01,-18.156945
1992-04-01,-21.975089
1992-05-01,-14.309995
1992-06-01,-22.316763
1992-07-01,-31.745901
1992-08-01,-31.700423
1992-09-01,-33.069031
1992-10-01,-32.477283
1992-11-01,-19.712946
1992-12-01,-7.9102812
1993-01-01,-12.534515
1993-02-01,-10.373119
1993-03-01,-2.2567219
1993-04-01,1.7725544
1993-05-01,7.8513168
1993-06-01,4.5115483
1993-07-01,-6.9736169
1993-08-01,-6.2924139
1993-09-01,-4.1255502
1993-10-01,-7.6736376
1993-11-01,-13.254556
1993-12-01,-18.432256
1994-01-01,-18.918186
1994-02-01,-24.996884
1994-03-01,-25.625457
1994-04-01,-13.402277
1994-05-01,-0.50332656
1994-06-01,-9.8355356
1994-07-01,-5.8574461
1994-08-01,-0.61416099
1994-09-01,3.0612001
1994-10-01,19.398131
1994-11-01,22.238751
1994-12-01,29.002678
1995-01-01,30.098574
1995-02-01,28.650491
1995-03-01,38.467178
1995-04-01,41.02034
1995-05-01,40.588536
1995-06-01,29.122201
1995-07-01,27.345147
1995-08-01,33.178949
1995-09-01,29.358162
1995-10-01,13.448372
1995-11-01,9.8032309
1995-12-01,7.8845358
1996-01-01,2.8614541
1996-02-01,-4.7471664
1996-03-01,-8.5229191
1996-04-01,-3.7402163
1996-05-01,-6.5548453
1996-06-01,-17.235376
1996-07-01,-30.166543
1996-08-01,-33.032857
1996-09-01,-38.479653
1996-10-01,-29.188483
1996-11-01,-4.7193009
