"cz","cz_name","state","children_in_1980_82_cohorts","am_80_82_cohort","rm_80_82_cohort","p_child_in_q5_parent_in_q1_80_85_cohort","am_college_attendance","rm_college_attendance","am_teenage_birth","rm_teenage_birth","am_females","rm_females","am_males","rm_males","am_males_individual_income","rm_males_individual_income","am_cost_of_living_adjusted","rm_cost_of_living_adjusted","am_2011_2012_parent_income","rm_2011_2012_parent_income","am_single_parents","rm_single_parents","am_married_parents","rm_married_parents","am_83_85_cohort","rm_83_85_cohort","am_80_85_cohort","rm_80_85_cohort","am_white_80_zips","rm_white_80_zips","am_poverty_line","rm_poverty_line","am_college_quality","rm_college_quality"
29008,"Center","KS",291,52.78925,0.38901,0.149425283074379,70.9395,0.54282,,,,,,,,,54.41725,0.38525,51.55075,0.26107,,,,,59.24425,0.20229,55.8175,0.29882,52.78925,0.38901,80.0535,0.35598,49.37688,0.181995
29101,"Concordia","KS",833,52.80275,0.29451,0.152823925018311,55.68075,0.68723,13.63025,-0.15143,53.591,0.28088,52.0325,0.30754,55.92925,0.26417,54.70725,0.29829,50.94575,0.26459,,,54.778,0.24924,52.98075,0.33047,52.9045,0.31106,52.80275,0.29451,83.5625,0.22166,42.73719,0.192695
29102,"Superior","NE",553,59.49575,0.20291,0.186335399746895,68.08675,0.37739,11.4625,-0.07402,61.79825,0.15861,57.04375,0.25111,57.8175,0.2389,61.73575,0.20271,56.74675,0.21599,,,61.21525,0.15277,58.92225,0.28217,59.2375,0.24022,59.49575,0.20291,89.25525,0.15305,49.4595,0.121485
29103,"Beloit","KS",522,55.49575,0.27063,0.150375932455063,57.9005,0.64254,,,,,52.51525,0.32201,55.377,0.30648,57.896,0.25508,54.6485,0.24586,,,57.2605,0.21026,55.11825,0.30861,55.32525,0.28997,55.49575,0.27063,89.933,0.08672,44.56487,0.18088
29104,"Salina","KS",2538,43.85675,0.34259,0.082998663187027,38.46575,0.73747,25.752,-0.3184,44.97825,0.33353,42.78975,0.35067,47.8565,0.30086,44.7935,0.34314,43.60725,0.31917,42.822,0.36436,44.98575,0.31739,44.832,0.3446,44.3615,0.34318,43.85675,0.34259,76.148,0.29604,39.82944,0.19686
29201,"Hiawatha","KS",1029,56.5955,0.28498,0.171821311116219,58.69375,0.53667,15.35975,-0.24169,59.20325,0.25589,53.97175,0.31115,56.9255,0.2731,58.468,0.27788,53.27725,0.31609,,,59.77025,0.21057,54.03025,0.34361,55.25675,0.31607,58.2815,0.26394,86.91125,0.22713,47.569,0.169395
29202,"Marysville","KS",846,57.6045,0.20698,0.14522822201252,60.104,0.45164,10.54225,-0.06271,57.903,0.2396,57.253,0.18312,58.55475,0.19475,59.84325,0.19969,55.562,0.21636,,,58.52975,0.19491,57.08625,0.27053,57.4045,0.2359,57.6045,0.20698,89.07825,0.10449,47.78631,0.124395
29203,"Manhattan","KS",5252,43.97425,0.34989,0.0885311886668205,43.77075,0.70103,21.1475,-0.26786,44.7925,0.36082,43.2255,0.33602,48.20775,0.29335,45.075,0.34364,43.86325,0.28617,41.24525,0.33641,45.808,0.31196,46.04925,0.30317,45.036,0.32556,46.95425,0.30549,76.43975,0.29115,40.30862,0.196645
29204,"Topeka","KS",12135,42.2255,0.3393,0.0704687982797623,35.39975,0.74659,23.55375,-0.27213,43.5825,0.3405,40.8925,0.3385,45.15075,0.31143,43.41975,0.33587,43.2075,0.2971,40.26525,0.31629,44.2945,0.30222,44.319,0.306,43.31775,0.32127,44.11325,0.30797,73.553,0.29996,37.07232,0.187015
29301,"Wichita","KS",21826,41.41225,0.33093,0.0722466930747032,41.00525,0.64693,28.7345,-0.31514,42.56125,0.33617,40.242,0.32644,44.5645,0.29742,42.786,0.3302,42.989,0.28996,39.6115,0.2995,43.216,0.30132,42.705,0.31692,42.119,0.3226,45.6065,0.27598,72.8045,0.29842,38.74381,0.16154
29302,"Newton","KS",3406,48.08675,0.28631,0.103496506810188,41.11625,0.64969,21.35425,-0.22891,48.357,0.30792,47.83575,0.26471,51.24025,0.25281,49.806,0.28056,48.56,0.24768,46.338,0.28292,49.103,0.266,48.42375,0.31063,48.289,0.29772,48.08675,0.28631,81.35575,0.21219,39.59063,0.152335
29303,"Winfield","KS",2202,45.108,0.30756,0.109862670302391,48.47875,0.63487,26.59575,-0.28221,44.752,0.32064,45.46575,0.29443,48.8945,0.29166,46.77475,0.30395,44.54675,0.27823,45.32025,0.25237,44.81225,0.31837,47.89725,0.27365,46.5395,0.28814,45.108,0.30756,76.311,0.327,39.71132,0.153525
29401,"Ottawa","KS",2237,44.88925,0.33713,0.0926395952701569,43.2985,0.62966,23.1995,-0.2545,44.58225,0.32929,45.1725,0.34642,49.69925,0.29137,46.629,0.32724,44.51475,0.30239,43.81825,0.28753,45.28625,0.33213,47.35775,0.32059,46.21025,0.32605,44.88925,0.33713,76.739,0.30108,39.09063,0.169765
