"vouch0","sex_name","match_i","match_ic","match_i7","age","phone","checkid","math","read","match_ic7","readcens1","readcens10","mathcens1","mathcens10"
0,0,1,1,1,11,1,1,39,58,1,58,58,39,39
0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,0,11,1,1,43,43,0,43,43,43,43
0,0,1,1,1,11,1,1,39,47,1,47,47,39,39
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,43,38,1,38,40,43,43
0,0,1,1,1,11,1,1,35,48,1,48,48,35,35.0000038146973
0,0,1,0,1,11,1,1,43,43,0,43,43,43,43
0,0,1,1,1,11,1,1,50,32,1,32,40,50,50
0,0,1,1,1,11,1,1,34,50,1,50,50,34,35.0000038146973
0,0,1,1,1,11,1,1,45,46,1,46,46,45,45
0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,45,48,1,48,48,45,45
0,0,1,1,1,11,1,1,45,50,1,50,50,45,45
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,42,41,1,41,41,42,42
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,40,56,1,56,56,40,40
0,0,1,1,1,11,1,1,39,46,1,46,46,39,39
0,0,1,1,1,11,1,1,45,48,1,48,48,45,45
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,39,46,1,46,46,39,39
0,0,1,1,1,11,1,1,45,54,1,54,54,45,45
0,0,1,1,0,11,1,1,50,41,0,41,41,50,50
0,0,1,1,1,11,0,1,42.4567909240723,47.2098770141602,1,47.2098770141602,47.2098770141602,42.4567909240723,42.4567909240723
0,0,1,1,1,11,1,1,39,50,1,50,50,39,39
0,0,1,1,1,11,1,1,43,43,1,43,43,43,43
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,47,51,1,51,51,47,47
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,50,48,1,48,48,50,50
0,0,1,1,1,11,1,1,37,41,1,41,41,37,37
0,0,1,1,1,11,1,1,42,51,1,51,51,42,42
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,50,51,1,51,51,50,50
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,39,50,1,50,50,39,39
0,0,1,1,1,11,1,1,47,46,1,46,46,47,47
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,35,44,1,44,44,35,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,47,47,1,47,47,47,47
0,0,0,0,0,11,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,35,48,1,48,48,35,35.0000038146973
0,0,0,0,0,11,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,48,38,1,38,40,48,48
0,0,1,1,0,11,1,1,45,44,0,44,44,45,45
0,0,0,0,0,11,1,0,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,11,1,1,40,48,1,48,48,40,40
0,0,1,1,1,11,1,1,40,56,1,56,56,40,40
0,0,1,1,1,11,1,1,42,48,1,48,48,42,42
0,1,1,1,1,11,1,1,39,46,1,46,46,39,39
0,1,1,1,1,11,1,1,42,48,1,48,48,42,42
0,1,1,1,1,11,1,1,0,0,1,32,40,32,35.0000038146973
0,1,1,1,1,11,1,1,52,58,1,58,58,52,52
