"id","dbogota","djamundi","d1993","d1995","d1997","vouch0","sex","age","mom_sch","mom_age","dad_sch","dad_age","stratams","rept6","totscyrs","finish6","finish7","finish8","usngsch","hoursum","working","married","haschild","test_tak","response","svy"
211,1,0,0,1,0,0,1,17,6,34,6,40,0,1,4,1,1,0,0,0,0,0,0,0,1,0
212,1,0,0,1,0,0,1,15,,,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
213,1,0,0,1,0,0,1,15,5,38,8,35,1,0,4,1,1,1,0,0,0,0,0,0,1,0
214,1,0,0,1,0,1,1,14,6,39,5,41,0,1,4,1,1,0,0,0,0,0,0,0,1,0
216,1,0,0,1,0,0,0,13,8,40,11,40,0,0,4,1,1,1,1,0,0,0,0,0,1,0
218,1,0,0,1,0,0,0,14,2,31,,,0,0,1,1,0,0,0,0,0,0,0,1,1,1
220,1,0,0,1,0,1,0,14,9,32,5,39,0,0,4,1,1,1,1,0,0,0,0,0,1,0
223,1,0,0,1,0,1,0,15,5,37,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0
224,1,0,0,1,0,1,0,18,11,58,11,69,0,0,4,1,1,1,1,0,0,0,0,0,1,0
226,1,0,0,1,0,0,1,16,0,56,5,60,0,0,3,1,1,1,0,0,1,0,0,1,1,0
228,1,0,0,1,0,0,1,16,5,50,8,50,0,1,6,1,1,1,0,40,1,0,0,1,1,0
229,1,0,0,1,0,1,0,14,6,46,5,46,0,0,2,1,1,0,0,0,0,0,0,0,1,0
230,1,0,0,1,0,1,1,14,,51,,57,0,1,4,1,1,0,0,0,0,0,0,0,1,0
231,1,0,0,1,0,1,1,16,5,33,,,0,0,4,1,1,1,1,0,0,0,0,0,1,0
234,1,0,0,1,0,1,0,14,7,33,5,48,0,0,4,1,1,1,1,0,0,0,0,0,1,0
236,1,0,0,1,0,1,1,13,,42,,51,0,0,4,1,1,1,1,0,0,0,0,0,1,0
237,1,0,0,1,0,1,0,16,5,32,,33,0,0,4,1,1,1,0,0,0,0,0,1,1,0
238,1,0,0,1,0,0,0,13,,47,,48,0,0,4,1,1,1,0,0,0,0,0,0,1,0
