"date","price","dividend","earnings","cpi","gs10","real_price","real_dividend","real_tr_price","real_earnings","real_tr_earnings","cape","tr_cape","ecy","bond_return","real_bond_return","stock_real_return_10y","bond_real_return_10y","excess_return_10y"
1871-01-01,4.44,0.26,0.4,12.46406116,5.32,109.05001849333,6.38581189375358,109.05001849333,9.82432599039012,9.82432599039012,,,,1.00417693570978,1,0.130609445964257,0.0925036763520992,0.0381057696121576
1871-02-01,4.5,0.26,0.4,12.84464132,5.32333333333333,107.248907593474,6.19660354984517,107.765291222628,9.53323623053104,9.57913699756693,,,,1.00417975234114,0.974423686137471,0.130858481713951,0.0946346343445095,0.0362238473694418
1871-03-01,4.61,0.26,0.4,13.0349719,5.32666666666667,108.266269066526,6.10612363498843,109.298844726899,9.39403636152066,9.48363077890664,,,,1.00418256896423,0.964208985788574,0.130950872929352,0.0961859956344644,0.0347648772948872
1871-04-01,4.74,0.26,0.4,12.55922645,5.33,115.536124440212,6.33742454735339,117.171190990929,9.74988391900522,9.88786421864382,,,,1.00418538557904,1.00491900838009,0.122056037619699,0.0909719062390226,0.0310841313806762
1871-05-01,4.86,0.26,0.4,12.27381157,5.33333333333333,121.215780567829,6.48479484519249,123.479272880482,9.9766074541423,10.1629031177351,,,,1.00418820218557,1.03259114675392,0.122638098902247,0.0894884371904101,0.0331496617118372
1871-06-01,4.82,0.26,0.4,12.08348099,5.33666666666667,122.111711949654,6.586938818861,124.951095741042,10.1337520290169,10.3693855386757,,,,1.00419101878384,1.05324862377365,0.123092799941121,0.0877249110195437,0.0353678889215769
1871-07-01,4.73,0.26,0.4,12.08348099,5.34,119.831617743125,6.586938818861,123.179659044851,10.1337520290169,10.4168844858225,,,,1.00419383537384,1.05766280853994,0.120021815665607,0.0865808561499855,0.033440959515622
1871-08-01,4.79,0.26,0.4,11.8932314,5.34333333333333,123.292877745572,6.69230651646112,127.310898967454,10.295856179171,10.6313903104346,,,,1.00419665195557,1.07908828704199,0.111933010280066,0.0826686109451895,0.0292643993348769
1871-09-01,4.84,0.26,0.4,12.17864628,5.34666666666667,121.66024580525,6.53546774986883,126.187431932396,10.054565769029,10.4287133828426,,,,1.00419946852904,1.05822154534782,0.110028205440536,0.0810479047842332,0.0289803006563032
1871-10-01,4.59,0.26,0.4,12.36889587,5.35,113.60150815143,6.43494381685663,118.385014772243,9.89991356439481,10.31677688647,,,,1.00420228509425,1.04632034564527,0.114765257679102,0.0816526521247267,0.0331126055543749
1871-11-01,4.64,0.26,0.4,12.36889587,5.35333333333333,114.83899734698,6.43494381685663,120.233437297736,9.89991356439481,10.3649514911841,,,,1.00420510165119,1.05071728203758,0.115269919346064,0.0825932502290196,0.0326766691170441
1871-12-01,4.74,0.26,0.4,12.65439174,5.35666666666667,114.667253852535,6.28976497925297,120.602394669178,9.67656150654302,10.1774172716606,,,,1.00420791819988,1.03133072799969,0.112135173955724,0.0849991777472159,0.0271359962085085
1872-01-01,4.86,0.2633,0.4025,12.65439174,5.36,117.570222304498,6.36959661168194,124.213893593932,9.73704001595892,10.287261763695,,,,1.00305999988575,1.03567048334013,0.107684464010011,0.0849309891814114,0.0227534748286
1872-02-01,4.88,0.2667,0.405,12.65439174,5.37833333333333,118.054050379825,6.45184738448756,125.293097638583,9.79751852537481,10.3983001113988,,,,1.00307644830038,1.03883963490083,0.10375207603566,0.0839098290029967,0.0198422470326629
1872-03-01,5.04,0.27,0.4075,12.84464132,5.39666666666667,120.118776504691,6.43493445560845,128.053559225162,9.71198440985349,10.35353678259,,,,1.0030928953451,1.02660136613487,0.101665922925352,0.0855145884981554,0.0161513344271966
1872-04-01,5.18,0.2733,0.41,13.13013719,5.415,120.771049613077,6.37195518518417,129.31499277659,9.55909852149839,10.2353565711201,,,,1.00310934102175,1.00738553318489,0.100078667932763,0.086885497930643,0.0131931700021199
