"date","macro_h1","macro_h3","macro_h12","financial_h1","financial_h3","financial_h12","real_h1","real_h3","real_h12"
1960-07-01,0.61116580126236,0.738999940885104,0.858082732778947,0.881514939620045,0.923161294074021,0.976725132620663,0.665870108647987,0.762822138202815,0.851206958784062
1960-08-01,0.617998228552587,0.743498100363333,0.859963551676744,0.895980385798592,0.933280536747887,0.979297103739849,0.680176313672874,0.771690150246191,0.854632438620822
1960-09-01,0.62404498511176,0.749183355460846,0.864727506866082,0.911964672885874,0.946058934016138,0.98339977292753,0.688719172465638,0.777534977235457,0.85929723090131
1960-10-01,0.635533061201535,0.760032991366821,0.870603189104037,0.889628344270023,0.929840204225623,0.978861110702492,0.710560523483582,0.79445918479352,0.867205144197039
1960-11-01,0.664085024679412,0.782317305939935,0.87966926603244,0.882986973607284,0.925275933562169,0.97776175834414,0.758078273508791,0.82865020544522,0.878161858932043
1960-12-01,0.68093429542023,0.798226944210852,0.889359575544888,0.879659722396743,0.922575165495373,0.976665332600483,0.779413263306412,0.845968125827135,0.885537930796638
1961-01-01,0.670388663606835,0.795917043714053,0.893177431228377,0.887781651710346,0.928382902908949,0.977795914121979,0.75294966955045,0.830259270106352,0.881930422272656
1961-02-01,0.665511170421616,0.794533162928137,0.895736307509322,0.872362944364602,0.915758088685472,0.973126923081221,0.736308753954415,0.818546083182192,0.877839964175724
1961-03-01,0.666041721320097,0.793759634120386,0.894333106018697,0.854787020871152,0.901770012772428,0.968407611059799,0.749626708843207,0.826317750657326,0.879423850991991
1961-04-01,0.668659283080176,0.791083867574269,0.889134760805881,0.835786520899473,0.88700516932862,0.964007674098025,0.761996416060858,0.831092282981258,0.878111912784042
1961-05-01,0.65145392179323,0.778242014355969,0.884257296394876,0.828692556087508,0.881492126196269,0.96247929598839,0.739320075244506,0.817823326638691,0.874885316268687
1961-06-01,0.638132224517284,0.768888098928834,0.881396294084435,0.826679502008338,0.880037409880603,0.962292152234896,0.717113948282819,0.803657710155774,0.871061328866652
1961-07-01,0.62539911964286,0.759501848692467,0.877798673972664,0.809335740613747,0.866842789075247,0.958628300381437,0.704115828476179,0.796353334215958,0.869382841221688
1961-08-01,0.621660577664439,0.756305109240501,0.876090946279459,0.808294318056256,0.865841971566785,0.958322407091365,0.703856646278654,0.798755680944694,0.871924707486196
1961-09-01,0.622904960629186,0.754752907655492,0.872094035772563,0.816570488340239,0.872292170938888,0.960274917370414,0.718718495296783,0.809493961858328,0.875546890583603
1961-10-01,0.620499693178143,0.750570184413385,0.866529449179733,0.819108111706558,0.874555446529689,0.961467298857474,0.721633014439289,0.810499144167189,0.87504752156483
1961-11-01,0.610983198144508,0.742153813343602,0.860386503109208,0.831441820255469,0.883982020602767,0.964243296067013,0.704146916684475,0.797245621405464,0.870475020061806
1961-12-01,0.601467567428369,0.735054971449431,0.856891046143545,0.840658587991296,0.891722410877017,0.967074777270779,0.684334135472816,0.783645179009188,0.867050370231371
1962-01-01,0.606764369634477,0.740048759216941,0.856979285944797,0.859696971034631,0.907469392243927,0.972806383898726,0.692635217587847,0.790973461234623,0.869085228225952
1962-02-01,0.605290185151913,0.740332460846563,0.855487559495297,0.885151884220158,0.92790815880337,0.979576399528329,0.688685805335845,0.791670964503901,0.869000510220823
1962-03-01,0.591958676722087,0.728977801811338,0.850644336947404,0.935757434893993,0.967233610056249,0.991806929864609,0.665516104772368,0.772764500945998,0.861865367060117
1962-04-01,0.591952614674098,0.727055102770952,0.847292320877727,1.00963533748667,1.02371040360168,1.00907655094304,0.660821056884038,0.766942222016671,0.858976228216766
1962-05-01,0.589643322038842,0.724534841691639,0.8456462465882,1.06354374925369,1.06427076948794,1.02114909398496,0.648780962755796,0.756469275002498,0.855091235340388
1962-06-01,0.583761209792307,0.719028282273353,0.842896274913685,1.06479792297523,1.06624923427057,1.02270204126178,0.632448438926948,0.74225758886834,0.849560168461292
1962-07-01,0.573886614369021,0.708375041400609,0.837708891383855,1.03451915914837,1.04385279454335,1.01617244647311,0.623076900983758,0.730930151703421,0.844432206866772
1962-08-01,0.562873349847099,0.698204110926434,0.831666311598975,1.01062885788666,1.02530264476358,1.00959779454573,0.612142309426582,0.719542323600026,0.839086212385556
1962-09-01,0.558213354696151,0.693416407724491,0.82617596982187,1.01418792573682,1.02723343509072,1.00901604173479,0.606990838777382,0.714081173285184,0.835668631730396
1962-10-01,0.556328743760671,0.689364331659162,0.821263383537741,1.00076289157094,1.01677698419991,1.00536629878524,0.605978627290827,0.711556782576004,0.833752148938369
1962-11-01,0.557192876399484,0.686270734100748,0.815794078595071,1.0128218460319,1.02473009627262,1.00638215233581,0.614578235039462,0.716182973692395,0.832555952785685
1962-12-01,0.554929354800739,0.681082568124284,0.810788440548344,0.94669123878239,0.973904259024903,0.990169766324845,0.623720805480225,0.720646054894916,0.83178531833178
1963-01-01,0.553553896039086,0.676399741754292,0.806489049125421,0.903533832760417,0.939650445725956,0.97827684303445,0.629903300696612,0.723170609235292,0.830978771459593
1963-02-01,0.544287385090024,0.667156071426732,0.801674536656153,0.841895823976607,0.891474767041886,0.962839128111876,0.621170766917405,0.718342245777877,0.829433993032274
1963-03-01,0.535070562047394,0.660072142213388,0.799339418104278,0.795278248820719,0.854046563655367,0.950025647751903,0.612971614749792,0.713909779712572,0.829211357541532
1963-04-01,0.54048493308298,0.663947074772474,0.800690863812483,0.764605013242902,0.828537333660183,0.940205134444484,0.625630510763763,0.723353058333788,0.832119832502123
1963-05-01,0.537262047021252,0.6613530339799,0.800130367205849,0.738609551511063,0.806572876358207,0.931309584945141,0.620700565104614,0.718705705417516,0.830067073658131
1963-06-01,0.535391341086729,0.65983739385277,0.800101283492477,0.718646889234626,0.789775403755055,0.924649059223772,0.612827361963563,0.71347996768261,0.829316308669362
1963-07-01,0.533238782369475,0.658344991755433,0.800340501431741,0.700906685300322,0.774977304132548,0.919089363451669,0.607235556132666,0.7107523642884,0.829390300070829
1963-08-01,0.534519836878849,0.66076041395007,0.802116503291273,0.694821494359328,0.769319098878396,0.916145256352509,0.606658086756856,0.710984227065264,0.829592505880637
1963-09-01,0.533915545826786,0.661196500787869,0.80185152873066,0.677373937671156,0.754361132777213,0.909939925624189,0.608614998252052,0.713956312723554,0.832458190623096
1963-10-01,0.531366789848194,0.659321715390524,0.800507455295756,0.659611664105586,0.73908070981499,0.903596267913311,0.609003699666346,0.71670672539146,0.836068060828302
1963-11-01,0.538237365062955,0.66489638541949,0.801541297988594,0.647386255312823,0.728209792061266,0.898407080143137,0.621686572830556,0.729005341001179,0.841504473915641
1963-12-01,0.548374113552177,0.670286763799347,0.801636570487648,0.630939036427695,0.714230759328544,0.892710483000742,0.642041389357117,0.74237251251519,0.84393274893433
1964-01-01,0.555594548947662,0.674015036960862,0.802131076868069,0.621583820550691,0.705884912876638,0.888767817790415,0.660753493854412,0.75541074731364,0.848552578475052
1964-02-01,0.550299331084979,0.669237614968025,0.799978932587337,0.613944167471697,0.699092454676346,0.885686574058291,0.662418298130234,0.75716403032953,0.849888597900328
1964-03-01,0.540352703551369,0.660694042028972,0.797309110287605,0.610409965419651,0.695685721395017,0.883864318105634,0.654790696765398,0.750932176836848,0.849579686616111
1964-04-01,0.545403531737763,0.662820062450994,0.797658704288208,0.604275317935798,0.690553398012813,0.881866909460284,0.670520797539197,0.759210634648872,0.852153909768213
1964-05-01,0.531294780448288,0.65445228854652,0.797127995534435,0.597297993224975,0.684866481812308,0.87984450292731,0.646376817292424,0.745773730532831,0.851525186657675
1964-06-01,0.529943098140351,0.656480487293998,0.801141869817915,0.595782546110284,0.683671140228809,0.879439411459236,0.641631717341938,0.745595167752174,0.855043238705753
1964-07-01,0.537411749209029,0.666405861778144,0.808507854323282,0.601874146237452,0.688927952508897,0.881552899340764,0.652531939769436,0.759255892319439,0.86334968562098
1964-08-01,0.554088954198651,0.682166878917846,0.815984519419832,0.609119767012369,0.695040749612751,0.883794423667141,0.678803266519997,0.781732516910477,0.871802582041277
1964-09-01,0.584450849683721,0.709292105358975,0.827002775661966,0.616778669866213,0.701504922940661,0.886399706576145,0.723341147525012,0.818207746859438,0.884942080253813
