"grade","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_numrd","c_type","flgrm","mrkgrm","ngrm","flmth","mrkmth","nmth","towncode","townname","popcode","tip_a","classid","classize","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
5,21341,120,69,51,20,1,2,1,"1",3,3,17.1700000762939,76,99,18.2700004577637,66,104,11395,"Œ€‰Ž˜‹",11,0,1,40,120,35,67.370002746582,25.7000007629395,35,75.9100036621094,17.1000003814697,1,0,0,0,0,3,66.375,18.2759609222412,104,76.4408111572266,17.1555557250977,99,0,,,0,11395,0
5,21341,120,69,51,20,1,2,1,"1",3,3,17.1700000762939,76,99,18.2700004577637,66,104,11395,"Œ€‰Ž˜‹",11,0,2,40,120,32,64.0899963378906,18.7999992370605,31,72.9000015258789,22.6000003814697,1,0,0,0,0,3,66.375,18.2759609222412,104,76.4408111572266,17.1555557250977,99,0,,,0,11395,0
5,21341,120,69,51,20,1,2,1,"1",3,3,17.1700000762939,76,99,18.2700004577637,66,104,11395,"Œ€‰Ž˜‹",11,0,3,40,120,37,67.4100036621094,10.8000001907349,33,80.3300018310547,12.1000003814697,1,0,0,0,0,3,66.375,18.2759609222412,104,76.4408111572266,17.1555557250977,99,0,,,0,11395,0
5,21350,74,39,35,15,1,2,1,"4",3,2,35.7099990844727,66,42,30.9099998474121,65,55,8748,"—Ž’„ Œƒ‚Ž",11,32,2,30,58,29,68.8300018310547,24.1000003814697,23,67.9100036621094,39.0999984741211,1,0,0,1,0,2,68.8300018310547,24.1000003814697,29,67.9100036621094,39.0999984741211,23,0,,,32,8748,32
5,21350,74,39,35,15,1,2,1,"4",3,2,35.7099990844727,66,42,30.9099998474121,65,55,8748,"—Ž’„ Œƒ‚Ž",11,32,1,28,58,26,60.7280769348145,38.5057678222656,19,63.6878929138184,31.606315612793,,1,0,1,0,2,68.8300018310547,24.1000003814697,29,67.9100036621094,39.0999984741211,23,1,19,26,32,8748,32
5,21351,43,25,18,16,1,2,1,"0",2,2,2.55999994277954,88,39,2.55999994277954,74,39,47027,"š…Ž˜",11,0,1,21,43,21,71.6699981689453,4.80000019073486,21,86.2900009155273,4.80000019073486,1,0,0,0,0,2,74.2315368652344,2.58461546897888,39,87.8223114013672,2.58461546897888,39,0,,,0,47027,0
5,21351,43,25,18,16,1,2,1,"0",2,2,2.55999994277954,88,39,2.55999994277954,74,39,47027,"š…Ž˜",11,0,2,22,43,18,77.2200012207031,0,18,89.6100006103516,0,1,0,0,0,0,2,74.2315368652344,2.58461546897888,39,87.8223114013672,2.58461546897888,39,0,,,0,47027,0
5,21356,58,29,29,13,2,2,1,"2",2,2,32.6500015258789,70,49,35.4199981689453,65,48,80002,"š”–",12,28,1,29,58,24,69.25,25,27,70.8499984741211,29.6000003814697,1,0,0,0,0,2,64.8550033569336,35.4000015258789,48,69.5479583740234,32.6530609130859,49,0,,,28,80002,28
5,21356,58,29,29,13,2,2,1,"2",2,2,32.6500015258789,70,49,35.4199981689453,65,48,80002,"š”–",12,28,2,29,58,24,60.4599990844727,45.7999992370605,22,67.9499969482422,36.4000015258789,1,0,0,0,0,2,64.8550033569336,35.4000015258789,48,69.5479583740234,32.6530609130859,49,0,,,28,80002,28
5,21357,19,10,9,5,2,2,1,"0",1,1,15.789999961853,77,19,5.26000022888184,69,19,40063,"š™—",12,0,1,19,19,19,69.0500030517578,5.30000019073486,19,77.4199981689453,15.8000001907349,1,0,0,0,0,1,69.0500030517578,5.30000019073486,19,77.4199981689453,15.8000001907349,19,0,,,0,40063,0
