"grade","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_numrd","c_type","flgrm","mrkgrm","ngrm","flmth","mrkmth","nmth","towncode","townname","popcode","tip_a","classid","classize","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
5,21379,70,42,28,12,1,1,1,"",2,2,31.75,74,63,25,69,64,10611,"š‰Œ’ š˜–",11,12,1,35,70,35,68.8300018310547,25.7000007629395,34,77.7399978637695,23.5,1,0,0,0,0,2,69.2514038085938,24.9750003814697,64,74.0804748535156,31.7396831512451,63,0,,,12,10611,12
5,21379,70,42,28,12,1,1,1,"",2,2,31.75,74,63,25,69,64,10611,"š‰Œ’ š˜–",11,12,2,35,70,29,69.7600021362305,24.1000003814697,29,69.7900009155273,41.4000015258789,1,0,0,0,0,2,69.2514038085938,24.9750003814697,64,74.0804748535156,31.7396831512451,63,0,,,12,10611,12
5,31001,72,37,35,14,1,2,1,"5",3,2,35.4199981689453,64,48,21.5699996948242,65,51,10207,"€‰—’ ˜…€",11,31,1,30,58,25,63.0400009155273,36,23,60.3899993896484,43.5,1,0,0,0,0,2,63.0563621520996,25.4727268218994,55,61.4217300415039,40.3769226074219,52,0,,,31,10207,31
5,31001,72,37,35,14,1,2,1,"5",3,2,35.4199981689453,64,48,21.5699996948242,65,51,10207,"€‰—’ ˜…€",11,31,2,28,58,30,63.0699996948242,16.7000007629395,29,62.2400016784668,37.9000015258789,1,0,0,0,0,2,63.0563621520996,25.4727268218994,55,61.4217300415039,40.3769226074219,52,0,,,31,10207,31
5,31002,60,23,37,13,2,2,1,"8",3,2,22.7299995422363,73,44,15.9099998474121,70,44,10207,"€‰—’ ˜…€",12,41,1,23,52,23,73.2600021362305,17.3999996185303,23,79.6500015258789,8.69999980926514,1,0,0,0,0,2,70.4297714233398,15.9204549789429,44,72.6340942382812,22.7318172454834,44,0,,,41,10207,41
5,31002,60,23,37,13,2,2,1,"8",3,2,22.7299995422363,73,44,15.9099998474121,70,44,10207,"€‰—’ ˜…€",12,41,2,29,52,21,67.3300018310547,14.3000001907349,21,64.9499969482422,38.0999984741211,1,0,0,0,0,2,70.4297714233398,15.9204549789429,44,72.6340942382812,22.7318172454834,44,0,,,41,10207,41
5,31007,62,36,26,13,1,1,1,"2",3,2,4.76000022888184,81,42,23.2600002288818,75,43,98004,"„‰Ž‰",11,7,1,22,44,20,79.9499969482422,5,20,83.1500015258789,5,1,0,0,0,0,2,74.5797653198242,23.2395343780518,43,80.9028549194336,4.7380952835083,42,0,,,7,98004,7
5,31007,62,36,26,13,1,1,1,"2",3,2,4.76000022888184,81,42,23.2600002288818,75,43,98004,"„‰Ž‰",11,7,2,22,44,23,69.9100036621094,39.0999984741211,22,78.8600006103516,4.5,1,0,0,0,0,2,74.5797653198242,23.2395343780518,43,80.9028549194336,4.7380952835083,42,0,,,7,98004,7
5,31008,18,7,11,6,2,1,1,"4",1,1,38.4599990844727,63,13,23.0799999237061,62,13,98004,"„‰Ž‰",12,42,1,18,18,13,61.8499984741211,23.1000003814697,13,62.689998626709,38.5,1,0,0,0,0,1,61.8499984741211,23.1000003814697,13,62.689998626709,38.5,13,0,,,42,98004,42
5,31012,19,11,8,6,1,1,1,"1",1,1,29.4099998474121,74,17,38.8899993896484,55,18,505,"„ƒ’ š’‚",11,4,1,19,19,18,55,38.8899993896484,17,74,29.4099998474121,,1,0,1,0,1,,,,,,,1,,,4,505,4
5,31017,95,49,46,19,1,1,1,"2",3,3,20.6900005340576,74,87,25.8400001525879,66,89,93005,"—’‰ …˜‹†",11,12,1,33,95,31,65.9700012207031,22.6000003814697,29,71,27.6000003814697,1,0,0,0,0,3,65.7659530639648,25.8741569519043,89,73.7117233276367,20.6965522766113,87,0,,,12,93005,12
5,31017,95,49,46,19,1,1,1,"2",3,3,20.6900005340576,74,87,25.8400001525879,66,89,93005,"—’‰ …˜‹†",11,12,2,30,95,26,65.6900024414062,23.1000003814697,26,76.9599990844727,7.69999980926514,1,0,0,0,0,3,65.7659530639648,25.8741569519043,89,73.7117233276367,20.6965522766113,87,0,,,12,93005,12
5,31017,95,49,46,19,1,1,1,"2",3,3,20.6900005340576,74,87,25.8400001525879,66,89,93005,"—’‰ …˜‹†",11,12,3,32,95,32,65.629997253418,31.2999992370605,32,73.5299987792969,25,1,0,0,0,0,3,65.7659530639648,25.8741569519043,89,73.7117233276367,20.6965522766113,87,0,,,12,93005,12
5,31019,20,7,13,7,2,1,1,"6",1,1,25,70,20,20,69,20,93005,"—’‰ …˜‹†",12,32,1,20,20,20,69.1999969482422,20,20,70.4499969482422,25,1,0,0,0,0,1,69.1999969482422,20,20,70.4499969482422,25,20,0,,,32,93005,32
5,31021,74,36,38,18,1,1,1,"6",3,2,24.4899997711182,66,49,48.9799995422363,50,49,65003,"„˜ƒ‡",11,32,1,31,62,25,45.2000007629395,52,25,63.1199989318848,28,1,0,0,0,0,2,49.5738792419434,48.963264465332,49,66.2057113647461,24.4734687805176,49,0,,,32,65003,32
5,31021,74,36,38,18,1,1,1,"6",3,2,24.4899997711182,66,49,48.9799995422363,50,49,65003,"„˜ƒ‡",11,32,2,31,62,24,54.1300010681152,45.7999992370605,24,69.4199981689453,20.7999992370605,1,0,0,0,0,2,49.5738792419434,48.963264465332,49,66.2057113647461,24.4734687805176,49,0,,,32,65003,32
5,31022,134,69,65,28,1,1,1,"1",4,3,11.710000038147,77,111,29.7299995422363,62,111,65003,"„˜ƒ‡",11,7,1,40,121,38,60.9700012207031,39.5,38,73.5800018310547,18.3999996185303,1,0,0,0,0,3,62.2687377929688,29.7405414581299,111,77.0387420654297,11.7252254486084,111,0,,,7,65003,7
5,31022,134,69,65,28,1,1,1,"1",4,3,11.710000038147,77,111,29.7299995422363,62,111,65003,"„˜ƒ‡",11,7,2,41,121,39,65.0500030517578,28.2000007629395,39,79.4400024414062,10.3000001907349,1,0,0,0,0,3,62.2687377929688,29.7405414581299,111,77.0387420654297,11.7252254486084,111,0,,,7,65003,7
5,31022,134,69,65,28,1,1,1,"1",4,3,11.710000038147,77,111,29.7299995422363,62,111,65003,"„˜ƒ‡",11,7,3,40,121,34,60.5299987792969,20.6000003814697,34,78.1500015258789,5.90000009536743,1,0,0,0,0,3,62.2687377929688,29.7405414581299,111,77.0387420654297,11.7252254486084,111,0,,,7,65003,7
5,31023,145,70,75,32,1,1,1,"1",4,4,21.3199996948242,74,136,22.2999992370605,68,139,65003,"„˜ƒ‡",11,5,1,36,145,35,69.5999984741211,17.1000003814697,34,78.2600021362305,14.6999998092651,1,0,0,0,0,4,67.893310546875,22.2892093658447,139,74.20654296875,21.3294124603271,136,0,,,5,65003,5
5,31023,145,70,75,32,1,1,1,"1",4,4,21.3199996948242,74,136,22.2999992370605,68,139,65003,"„˜ƒ‡",11,5,2,37,145,33,83.3000030517578,3,33,79.6399993896484,12.1000003814697,1,0,0,0,0,4,67.893310546875,22.2892093658447,139,74.20654296875,21.3294124603271,136,0,,,5,65003,5
5,31023,145,70,75,32,1,1,1,"1",4,4,21.3199996948242,74,136,22.2999992370605,68,139,65003,"„˜ƒ‡",11,5,3,36,145,36,53.6699981689453,41.7000007629395,34,67.4700012207031,35.2999992370605,1,0,0,0,0,4,67.893310546875,22.2892093658447,139,74.20654296875,21.3294124603271,136,0,,,5,65003,5
5,31023,145,70,75,32,1,1,1,"1",4,4,21.3199996948242,74,136,22.2999992370605,68,139,65003,"„˜ƒ‡",11,5,4,36,145,35,66.2900009155273,25.7000007629395,35,71.6900024414062,22.8999996185303,1,0,0,0,0,4,67.893310546875,22.2892093658447,139,74.20654296875,21.3294124603271,136,0,,,5,65003,5
5,31025,71,37,34,20,1,1,1,"3",3,2,32.7299995422363,73,55,30.9099998474121,66,55,65003,"„˜ƒ‡",11,17,1,27,59,28,68.2099990844727,32.0999984741211,28,73.5,32.0999984741211,1,0,0,0,0,2,65.8683624267578,30.8727264404297,55,72.4347305297852,32.6890907287598,55,0,,,17,65003,17
5,31025,71,37,34,20,1,1,1,"3",3,2,32.7299995422363,73,55,30.9099998474121,66,55,65003,"„˜ƒ‡",11,17,2,32,59,27,63.439998626709,29.6000003814697,27,71.3300018310547,33.2999992370605,1,0,0,0,0,2,65.8683624267578,30.8727264404297,55,72.4347305297852,32.6890907287598,55,0,,,17,65003,17
5,31026,48,30,18,13,1,1,1,"6",2,1,30,67,30,26.6700000762939,57,30,65003,"„˜ƒ‡",11,30,1,35,35,30,57.4700012207031,26.7000007629395,30,66.6999969482422,30,1,0,0,0,0,1,57.4700012207031,26.7000007629395,30,66.6999969482422,30,30,0,,,30,65003,30
