"date","drpoil","infl","drgdp"
2008-10-01,-93.131,0.19458,-2.1746
2009-01-01,15.424,0.24819,-1.3996
2009-04-01,37.469,-0.15605,-0.10566
2009-07-01,-0.30822,-0.0080091,0.31741
2009-10-01,6.4401,0.29591,0.95151
2010-01-01,8.6008,0.32887,0.39413
2010-04-01,-7.986,0.4596,0.9569
2010-07-01,-0.50764,0.45454,0.68499
2010-10-01,16.24,0.50743,0.69224
2011-01-01,14.109,0.39745,-0.32475
2011-04-01,-7.3306,0.65246,0.78446
2011-07-01,-12.363,0.60675,0.33846
2011-10-01,13.97,0.12631,1.188
2012-01-01,6.9523,0.49405,0.91056
2012-04-01,-25.788,0.43531,0.2993
2012-07-01,13.356,0.56546,0.68676
2012-10-01,-7.3548,0.27964,0.03632
2013-01-01,4.9618,0.33454,0.2848
2013-04-01,2.7514,0.1612,0.6124
