"date","pc1ff1_hf","sp500_hf","mp_pm","cbi_pm","mp_median","cbi_median"
1997-08-01,0.01199321,-0.42781,0.01199321,0,0.03208739,-0.02009418
1997-09-01,-0.00136457,-0.20644,0,-0.00136457,0.01190784,-0.01327241
1997-10-01,0,0,0,0,0,0
1997-11-01,-0.02972326,-0.55214,0,-0.02972326,0.01881165,-0.04853491
1997-12-01,-0.00843292,-0.12988,0,-0.00843292,0.00370451,-0.01213743
1998-01-01,0,0,0,0,0,0
1998-02-01,0.0140662,-0.3372,0.0140662,0,0.02759786,-0.01353166
1998-03-01,-0.00055819,-0.01808,0,-0.00055819,0.00082355,-0.00138174
1998-04-01,0,0,0,0,0,0
1998-05-01,-0.01777394,-0.11687,0,-0.01777394,-0.00175944,-0.0160145
1998-06-01,0,0,0,0,0,0
1998-07-01,0.00397003,0.08763,0,0.00397003,-0.00335926,0.00732929
1998-08-01,0.00228696,0.16447,0,0.00228696,-0.00888703,0.01117399
1998-09-01,0.03377291,-0.75181,0.03377291,0,0.06273697,-0.02896406
1998-10-01,-0.29896887,2.04262,-0.29896887,0,-0.27405738,-0.02491149
1998-11-01,-0.02075055,0.81194,-0.02075055,0,-0.05989293,0.03914238
1998-12-01,-0.0024633,-0.13276,0,-0.0024633,0.00686496,-0.00932826
1999-01-01,0,0,0,0,0,0
1999-02-01,0.00828085,0.14979,0,0.00828085,-0.00499479,0.01327564
1999-03-01,-0.02692747,-0.20642,0,-0.02692747,-0.00087483,-0.02605264
1999-04-01,0,0,0,0,0,0
1999-05-01,0.10957176,-1.43559,0.10957176,0,0.14233798,-0.03276622
1999-06-01,-0.09888661,1.60906,-0.09888661,0,-0.1475748,0.04868819
1999-07-01,0,0,0,0,0,0
1999-08-01,0.00330091,0.57282,0,0.00330091,-0.03328403,0.03658494
1999-09-01,0,0,0,0,0,0
1999-10-01,0.06793085,-0.82928,0.06793085,0,0.08454059,-0.01660974
1999-11-01,0.0800126,-0.41763,0.0800126,0,0.06547624,0.01453636
1999-12-01,0.03219699,0.47722,0,0.03219699,-0.01300565,0.04520264
2000-01-01,0,0,0,0,0,0
2000-02-01,-0.0023121,-0.4101,0,-0.0023121,0.02385465,-0.02616675
2000-03-01,-0.0096811,0.06116,-0.0096811,0,-0.00857051,-0.00111059
2000-04-01,0,0,0,0,0,0
2000-05-01,0.06102568,-0.5454,0.06102568,0,0.06377506,-0.00274938
2000-06-01,-0.02814858,0.25302,-0.02814858,0,-0.02950518,0.0013566
2000-07-01,0,0,0,0,0,0
2000-08-01,0.015829,-0.12621,0.015829,0,0.01561165,0.00021735
2000-09-01,0,0,0,0,0,0
2000-10-01,0.04282896,-0.30266,0.04282896,0,0.03987276,0.0029562
2000-11-01,0.00446814,-0.66752,0.00446814,0,0.04294401,-0.03847587
2000-12-01,0.01861816,-0.69114,0.01861816,0,0.05145953,-0.03284137
2001-01-01,-0.19469804,3.45211,-0.18783367,-0.00686437,-0.30788231,0.11318427
2001-02-01,0,0,0,0,0,0
2001-03-01,-0.06486863,-0.67958,0,-0.06486863,0.00901112,-0.07387975
2001-04-01,-0.40171195,2.22956,-0.40171195,0,-0.3368298,-0.06488215
2001-05-01,-0.15470293,0.40882,-0.15470293,0,-0.10228411,-0.05241882
2001-06-01,0.08527312,-0.40319,0.08527312,0,0.06722585,0.01804727
2001-07-01,0,0,0,0,0,0
2001-08-01,-0.03562537,-0.71223,0,-0.03562537,0.02562397,-0.06124934
2001-09-01,0,0,0,0,0,0
2001-10-01,-0.05961662,-0.30724,0,-0.05961662,-0.01107071,-0.04854591
2001-11-01,-0.18446143,0.94037,-0.18446143,0,-0.14958091,-0.03488052
2001-12-01,-0.07495578,0.22721,-0.07495578,0,-0.05133471,-0.02362107
2002-01-01,0.02715936,-0.12751,0.02715936,0,0.02135611,0.00580325
