"date","mu_bus","mu_bus_ws","mu_bus_ws_oh","mu_nfb","mu_nfcb","lmu_cd","lmu_cd_ws","lmu_cd_ws1","lmu_cd_ws_oh","lmu_cd_nfb","lmu_cd_nfcb","lmu_ces_yl","lmu_ces_yl_zsvar","lmu_ces_yk","lmu_ces_yk_ums","lmu_ces_yk_ujf","lmu_ces_oh_yl","lmu_ces_oh_yl_zsvar","lmu_ces_oh_yk","lmu_ces_oh_yk_ums","lmu_ces_oh_yk_ujf","lmu_cd_marg"
1947-01-01,1.53006148237402,1.94709943207362,,1.52026166146479,1.52493268570825,0.425307919155151,0.66634079446132,,,0.418882465743335,0.421950268565975,2.98920113942162,0.425307821245354,0.082755901242521,0.0845247319275026,0.0904331035052688,,,,,,
1947-04-01,1.51391936987043,1.93842982813195,,1.5414740572938,1.56211453744493,0.414701897236735,0.661878278418679,,,0.432739138681723,0.446040376158705,2.98296183775585,0.414701883303333,0.0749220834549422,0.0757566252982845,0.0837553797414073,,,,,,
1947-07-01,1.51573981541356,1.93884764717905,,1.51707135396847,1.55614428111156,0.41590364677415,0.662093800290083,,,0.416781735495211,0.442211147107544,2.97408245112844,0.415903549456074,0.0811622969925268,0.0804280748676617,0.0846427466284072,,,,,,
1947-10-01,1.52226176743663,1.96223731585648,,1.53864291533496,1.56197067221604,0.420197233768424,0.6740853099226,,,0.430900804111114,0.445948275451239,2.99153603811843,0.420197146135401,0.0815963234328939,0.082064410534057,0.0902128811014218,,,,,,
1948-01-01,1.54804123998996,1.95747585977812,,1.53615286934173,1.59005376344086,0.436990415633059,0.671655816637238,,,0.429281154084286,0.463767829145295,3.03139079204434,0.436990386160553,0.0958042017486844,0.0971487491087183,0.102139865936223,,,,,,
1948-04-01,1.57404087486554,1.98942017413559,,1.53670051866363,1.61308281141267,0.453646118441728,0.687843226498869,,,0.429637597596913,0.478147137820672,3.06818113908608,0.453646045778584,0.10866453576505,0.111234918825823,0.114459239690284,,,,,,
1948-07-01,1.55381596887367,1.96648230465085,,1.53683564735354,1.59209460371754,0.440713820784542,0.676246314451506,,,0.429725528034493,0.465050510102319,3.05033566401302,0.440713900783653,0.0984576557231665,0.100197745444109,0.0992854565165235,,,,,,
1948-10-01,1.53419484274503,1.9631037585261,,1.54951817783618,1.60898758014617,0.428005711010247,0.674526771017199,,,0.437944029597428,0.475605148991125,3.04332327743254,0.428005694348435,0.0901524745992779,0.0904651484457946,0.088805076653464,,,,,,
1949-01-01,1.5449297188755,1.95662075867615,,1.54511236576995,1.604972945708,0.434978419914065,0.671218882550559,,,0.435096636358801,0.473106900183211,3.04720991513833,0.434978422142112,0.107416785923376,0.10441215899334,0.102118874584991,,,,,,
1949-04-01,1.5468783478363,1.95779240260052,,1.54222208908726,1.59721569548872,0.436238931030389,0.671817513257685,,,0.433224291415731,0.468261923036132,3.05253967785363,0.43514236950402,0.113746293221384,0.108915109190826,0.101759400707067,,,,,,
