"birthpl","nin","recp","ch71","en71","wsppc","dens71","moldyed","birthlat","birthlong","schools73new","schools74new","schools75new","schools76new","schools77new","schools78new","pop71new","ch71new","totinnew","ninnew","nch71new","atsc71new","en71newish","en71new","ldpop","recpnew","lch71","len71new","lch71new","ldens71","lninnew","java","nin_lch71new","nen71new","nen71newish","poor"
1101,2.72953605651855,1,66678,0.16055965423584,0.523521542549133,26.3566455841064,7.06310272216797,3.07483756204641,97.4651658372687,18,18,25,25,48,48,234785,66678,182,2.72953605651855,192861,37697,0.16055965423584,0.195462018251419,-0.221033255780382,1,11.1076303424137,-1.63238919847542,11.1076303424137,3.27172044751962,1.00413165208778,0,2.34215354919434,0.804538011550903,0.83944034576416,0
1102,2.67372369766235,0,36653,0.179932907223701,,12.3435173034668,7.93250942230225,3.71081401207393,97.5107332563111,5,10,10,10,35,35,122818,36653,105,2.8647038936615,97002,22099,0.179932907223701,0.227820038795471,1.12163708157314,1,10.5092505593536,-1.47919926522037,10.5092505593536,2.51313101055899,1.05246499182768,0,2.67334175109863,0.772179961204529,0.82006710767746,0
1103,2.36704897880554,1,89563,0.182041704654694,0.345216661691666,1168.51928710938,7.28537178039551,4.52998926907761,97.7286073387266,17,17,21,21,68,68,303815,89563,212,2.36704897880554,251584,55307,0.182041704654694,0.219835117459297,0.233930603888707,1,11.4026975672486,-1.514877479714,11.4026975672486,7.06349265971293,0.861644022673294,0,2.17884135246277,0.780164897441864,0.817958295345306,0
1104,2.06213450431824,0,29581,0.230734080076218,1.33949911594391,18.1987171173096,7.39182329177856,4.59335834880383,96.9184797898742,3,5,6,6,17,17,105043,29581,54,1.82549607753754,85559,24237,0.230734080076218,0.283278197050095,1.12163708157314,0,10.2948875423195,-1.26132583574938,10.2948875423195,2.90135110353844,0.601851773405432,0,2.7919864654541,0.716721773147583,0.76926589012146,0
1105,2.45508670806885,1,60283,0.190492689609528,0.578567922115326,18.6288471221924,6.55059003829956,4.21228113857122,96.0988972392353,19,19,26,26,29,29,225111,60283,148,2.45508694648743,187504,42882,0.190492689609528,0.228699117898941,0.24791454738149,1,11.0068054192526,-1.4753480349834,11.0068054192526,2.92471129983192,0.898162176703841,0,2.39795756340027,0.771300911903381,0.809507310390472,0
1106,2.38628506660461,0,47773,0.191902130842209,0.649754405021667,67.6846618652344,7.84276056289673,5.38069059255762,95.5167536670463,14,14,17,17,26,26,181801,47773,114,2.38628530502319,153021,34888,0.191902130842209,0.227994844317436,0.262026853268436,0,10.7742159053332,-1.47843226292619,10.7742159053332,4.21485959391329,0.869737891138815,0,2.52669024467468,0.772005140781403,0.808097839355469,0
1107,2.64525008201599,1,73339,0.159722149372101,0.542998075485229,70.5281219482422,8.25756645202637,5.07619175785369,96.0706167618104,23,23,26,26,48,48,293397,73339,194,2.64525008201599,246813,46862,0.159722149372101,0.189868450164795,0.167429361608034,1,11.2028478064083,-1.66142381417247,11.2028478064083,4.25601152316448,0.972765609807139,0,2.28945302963257,0.810131549835205,0.840277850627899,0
1108,2.40076565742493,1,129542,0.180325150489807,0.406770676374435,92.9257965087891,7.32118368148804,5.05907704865561,96.9395640169622,32,25,46,46,81,81,470855,129542,311,2.40076565742493,394081,84907,0.180325150489807,0.215455710887909,0.345860378896304,1,11.7717604318643,-1.53499990848157,11.7717604318643,4.53180128766973,0.87578771040364,0,1.97457420825958,0.784544289112091,0.819674849510193,0
1171,4.26784420013428,0,13590,0.339774161577225,0.638518273830414,879.803283691406,10.7282361984253,5.54684199326709,95.3405321014104,2,2,10,10,17,17,53668,13590,58,4.26784372329712,44927,18235,0.339774161577225,0.405880659818649,0.0605775615431915,0,9.51708950714519,-0.901696103923002,9.51708950714519,6.77969834122341,1.45110871685936,0,3.22247815132141,0.594119310379028,0.660225868225098,0
1172,5.00113677978516,0,4399,0.182184398174286,2.08329081535339,148.109237670898,10.2449293136597,5.83951426345316,95.2883425625143,2,2,3,3,6,6,17625,4399,22,5.00113677978516,14864,3211,0.182184398174286,0.216025292873383,0.301273101439443,0,8.38913252134872,-1.53235978151722,8.38913252134872,4.99795009387883,1.60966524254968,0,3.84677410125732,0.783974707126617,0.817815601825714,0
1201,2.87983727455139,1,106256,0.119661837816238,0.473892778158188,70.0419311523438,5.94161367416382,0.772920720904898,97.7870464806556,13,13,42,42,98,98,372483,106256,306,2.87983727455139,312951,44572,0.119661837816238,0.14242485165596,0.250775311869775,1,11.5736065557805,-1.94894077517522,11.5736065557805,4.24909407917267,1.05773379065968,0,2.08424735069275,0.857575178146362,0.880338191986084,0
1202,2.15659379959106,1,191042,0.229782864451408,0.386068016290665,33.1762199401855,7.94448709487915,1.19317996073708,99.5285952824441,17,17,80,80,110,110,626931,191042,414,2.16706275939941,522629,144058,0.229782864451408,0.275641024112701,0.172908617976414,1,12.1602485781433,-1.28865589710059,12.1602485781433,3.5018333524189,0.773372683555897,0,1.7595556974411,0.724358975887299,0.77021712064743,0
1203,6.31376934051514,1,39596,0.157062202692032,0.585277140140533,62.0918655395508,7.55602216720581,1.83092762736289,98.6656027656053,4,4,18,18,41,41,135857,39596,126,3.18213963508606,110606,21338,0.157062202692032,0.192919015884399,0.207323829458523,1,10.5864833820397,-1.64548478495341,10.5864833820397,4.12861499065826,1.15755381175795,0,2.63059544563293,0.807080984115601,0.842937827110291,0
1204,1.643479347229,0,192275,0.248759478330612,0.471462488174438,58.7958526611328,10.0199060440063,2.22420544053201,98.930636978179,27,27,79,79,113,113,623530,192275,438,2.277987241745,505524,155109,0.248759478330612,0.306828171014786,0.0902382449590007,1,12.1666819179253,-1.18146739162233,12.1666819179253,4.07407131944308,0.823292264370586,0,1.75599503517151,0.693171858787537,0.751240491867065,0
