"year","activity","sex","age_group","hours"
1907,"home_production","all","55-64",23.4959057617564
1907,"home_production","all","65+",22.3363244913388
1907,"home_production","female","14+",41.7065779495066
1907,"home_production","female","14-17",20.0135
1907,"home_production","female","18-24",34.6028186115357
1907,"home_production","female","25-54",49.2672399181303
1907,"home_production","female","55-64",44.6768149811465
1907,"home_production","female","65+",37.8534612359173
1907,"home_production","male","14+",3.86961830029228
1907,"home_production","male","14-17",3.83215
1907,"home_production","male","18-24",4.05820275878114
1907,"home_production","male","25-54",3.48574481985261
1907,"home_production","male","55-64",4.12856749116851
1907,"home_production","male","65+",6.63814531547023
1908,"home_production","all","14+",22.4031749249955
1908,"home_production","all","14-17",11.8055868307274
1908,"home_production","all","18-24",19.6665279432445
1908,"home_production","all","25-54",25.4574163706474
1908,"home_production","all","55-64",23.6805457783058
1908,"home_production","all","65+",22.5685733559877
1908,"home_production","female","14+",41.9182140827348
1908,"home_production","female","14-17",19.874
1908,"home_production","female","18-24",35.0867354799054
1908,"home_production","female","25-54",49.4492588065936
1908,"home_production","female","55-64",44.7703038545269
1908,"home_production","female","65+",37.9118968742036
1908,"home_production","male","14+",4.19175526757246
1908,"home_production","male","14-17",3.8366
1908,"home_production","male","18-24",4.39653924956668
1908,"home_production","male","25-54",3.85851495218806
1908,"home_production","male","55-64",4.49534060915891
1908,"home_production","male","65+",6.97910004997378
1909,"home_production","all","14+",22.2273882868353
1909,"home_production","all","14-17",11.7388116471393
1909,"home_production","all","18-24",19.3908717239459
1909,"home_production","all","25-54",25.2422012374133
1909,"home_production","all","55-64",23.4967589423238
1909,"home_production","all","65+",22.5884439002516
1909,"home_production","female","14+",41.7062669058361
1909,"home_production","female","14-17",19.7345
1909,"home_production","female","18-24",34.7578635019446
1909,"home_production","female","25-54",49.1820878104528
1909,"home_production","female","55-64",44.6432069440868
1909,"home_production","female","65+",37.8966985067148
1909,"home_production","male","14+",4.05713808346434
1909,"home_production","male","14-17",3.84105
1909,"home_production","male","18-24",4.23516380450642
1909,"home_production","male","25-54",3.69373090581771
1909,"home_production","male","55-64",4.3584449342515
1909,"home_production","male","65+",6.96702105153992
1910,"home_production","all","14+",22.2077233569374
1910,"home_production","all","14-17",11.6720308579699
1910,"home_production","all","18-24",19.3298342326064
1910,"home_production","all","25-54",25.1973378391324
1910,"home_production","all","55-64",23.4334127508046
1910,"home_production","all","65+",22.6768089960217
1910,"home_production","female","14+",41.6423775399803
1910,"home_production","female","14-17",19.595
1910,"home_production","female","18-24",34.6954224780165
1910,"home_production","female","25-54",49.0626982989496
1910,"home_production","female","55-64",44.5881499113548
1910,"home_production","female","65+",37.9055588996854
1910,"home_production","male","14+",4.07148548222029
1910,"home_production","male","14-17",3.8455
1910,"home_production","male","18-24",4.23680204547835
1910,"home_production","male","25-54",3.70418938079556
1910,"home_production","male","55-64",4.3855114336843
1910,"home_production","male","65+",7.06868309968466
1911,"home_production","all","14+",22.2764494292617
1911,"home_production","all","14-17",11.6113619008429
1911,"home_production","all","18-24",19.4499761318897
1911,"home_production","all","25-54",25.2507465425388
1911,"home_production","all","55-64",23.4500567667137
1911,"home_production","all","65+",22.6874892601314
1911,"home_production","female","14+",41.6332521296735
1911,"home_production","female","14-17",19.4555
1911,"home_production","female","18-24",34.7185224027502
1911,"home_production","female","25-54",48.9843886003993
1911,"home_production","female","55-64",44.5555354180434
1911,"home_production","female","65+",37.9263848398777
1911,"home_production","male","14+",4.16596466470124
1911,"home_production","male","14-17",3.84995
1911,"home_production","male","18-24",4.36404713390818
1911,"home_production","male","25-54",3.80603458804681
1911,"home_production","male","55-64",4.48245404774459
1911,"home_production","male","65+",7.12637140678651
1912,"home_production","all","14+",22.1769932203998
1912,"home_production","all","14-17",11.5505990261778
1912,"home_production","all","18-24",19.3205715212945
1912,"home_production","all","25-54",25.1158035844249
1912,"home_production","all","55-64",23.3279569842879
1912,"home_production","all","65+",22.6219698139666
1912,"home_production","female","14+",41.4603917347872
1912,"home_production","female","14-17",19.316
1912,"home_production","female","18-24",34.4298272389012
1912,"home_production","female","25-54",48.7338765931954
1912,"home_production","female","55-64",44.4387251829452
1912,"home_production","female","65+",37.9202714062535
1912,"home_production","male","14+",4.0892243815928
1912,"home_production","male","14-17",3.8544
1912,"home_production","male","18-24",4.3042212618108
1912,"home_production","male","25-54",3.70629436033725
1912,"home_production","male","55-64",4.39160966373928
1912,"home_production","male","65+",7.05750055852596
1913,"home_production","all","14+",22.1543372464915
1913,"home_production","all","14-17",11.4897416913386
1913,"home_production","all","18-24",19.3022334892927
1913,"home_production","all","25-54",25.0643228592542
1913,"home_production","all","55-64",23.2679824746684
1913,"home_production","all","65+",22.5907133492941
1913,"home_production","female","14+",41.3660166303438
1913,"home_production","female","14-17",19.1765
1913,"home_production","female","18-24",34.2806718013077
1913,"home_production","female","25-54",48.5604824337198
1913,"home_production","female","55-64",44.3594778161095
1913,"home_production","female","65+",37.9263938267763
1913,"home_production","male","14+",4.08908767464584
1913,"home_production","male","14-17",3.85885
1913,"home_production","male","18-24",4.32834029010542
1913,"home_production","male","25-54",3.6969226955957
1913,"home_production","male","55-64",4.38495354386197
1913,"home_production","male","65+",7.04534799053741
1914,"home_production","all","14+",22.3423924596208
1914,"home_production","all","14-17",11.4287893495007
1914,"home_production","all","18-24",19.5957241509896
1914,"home_production","all","25-54",25.2475767727924
1914,"home_production","all","55-64",23.3810800058442
1914,"home_production","all","65+",22.6541474723819
1914,"home_production","female","14+",41.4821131678834
1914,"home_production","female","14-17",19.037
1914,"home_production","female","18-24",34.5272877636647
1914,"home_production","female","25-54",48.6068749855533
1914,"home_production","female","55-64",44.3873097519532
1914,"home_production","female","65+",37.9653861701648
1914,"home_production","male","14+",4.30083474602201
1914,"home_production","male","14-17",3.8633
1914,"home_production","male","18-24",4.58089703577844
1914,"home_production","male","25-54",3.93683270957174
1914,"home_production","male","55-64",4.61032787816186
1914,"home_production","male","65+",7.19028563120266
1915,"home_production","all","14+",22.3682920128055
1915,"home_production","all","14-17",11.3677414496106
1915,"home_production","all","18-24",19.6509352422892
1915,"home_production","all","25-54",25.2511104150606
1915,"home_production","all","55-64",23.3620282721536
1915,"home_production","all","65+",22.6452240623485
1915,"home_production","female","14+",41.4376126858242
1915,"home_production","female","14-17",18.8975
1915,"home_production","female","18-24",34.4743042768752
1915,"home_production","female","25-54",48.4873794025925
1915,"home_production","female","55-64",44.3340971521684
1915,"home_production","female","65+",37.9790962042144
1915,"home_production","male","14+",4.35004377793588
1915,"home_production","male","14-17",3.86775
1915,"home_production","male","18-24",4.65723458912646
1915,"home_production","male","25-54",3.98562094847279
1915,"home_production","male","55-64",4.65773676315175
1915,"home_production","male","65+",7.21500218445291
1916,"home_production","all","14+",22.1655005782025
1916,"home_production","all","14-17",11.3065974363453
1916,"home_production","all","18-24",19.3645393837016
1916,"home_production","all","25-54",24.9971282901789
1916,"home_production","all","55-64",23.1544445693096
1916,"home_production","all","65+",22.5336911374684
1916,"home_production","female","14+",41.1668332469601
1916,"home_production","female","14-17",18.758
1916,"home_production","female","18-24",33.9861286323372
1916,"home_production","female","25-54",48.1256633125313
1916,"home_production","female","55-64",44.162747674529
1916,"home_production","female","65+",37.9578325196591
1916,"home_production","male","14+",4.16967435644721
1916,"home_production","male","14-17",3.8722
1916,"home_production","male","18-24",4.48794836553688
1916,"home_production","male","25-54",3.76434169400743
1916,"home_production","male","55-64",4.45388872346684
1916,"home_production","male","65+",7.06915280287896
1917,"home_production","all","14+",22.0484398309967
1917,"home_production","all","14-17",11.2453567500702
1917,"home_production","all","18-24",19.2054547164134
1917,"home_production","all","25-54",24.8394886166947
1917,"home_production","all","55-64",23.0226177350887
1917,"home_production","all","65+",22.4637362254034
1917,"home_production","female","14+",40.9853100790124
1917,"home_production","female","14-17",18.6185
1917,"home_production","female","18-24",33.6702605153771
1917,"home_production","female","25-54",47.8595227444414
1917,"home_production","female","55-64",44.0379219773467
1917,"home_production","female","65+",37.9511592858183
1917,"home_production","male","14+",4.08251772846403
1917,"home_production","male","14-17",3.87665
1917,"home_production","male","18-24",4.4193917320303
1917,"home_production","male","25-54",3.65251695469908
1917,"home_production","male","55-64",4.35194827884393
1917,"home_production","male","65+",6.99219199936801
1918,"home_production","all","14+",21.5633055885023
1918,"home_production","all","14-17",11.1840188267976
1918,"home_production","all","18-24",18.3222183155854
1918,"home_production","all","25-54",24.2934823851317
1918,"home_production","all","55-64",22.7291932513852
1918,"home_production","all","65+",22.3064359089539
1918,"home_production","female","14+",40.6191168017075
1918,"home_production","female","14-17",18.479
1918,"home_production","female","18-24",32.9744906744524
1918,"home_production","female","25-54",47.3808848698534
1918,"home_production","female","55-64",43.809552807737
1918,"home_production","female","65+",37.915563947316
1918,"home_production","male","14+",3.80066144935346
1918,"home_production","male","14-17",3.8811
1918,"home_production","male","18-24",4.14547137401053
1918,"home_production","male","25-54",3.31153713953592
1918,"home_production","male","55-64",4.03701180723142
1918,"home_production","male","65+",6.76988631796867
1919,"home_production","all","14+",21.7265704859601
1919,"home_production","all","14-17",11.1225830981442
1919,"home_production","all","18-24",18.7192170805982
1919,"home_production","all","25-54",24.427056375282
1919,"home_production","all","55-64",22.7428521121821
1919,"home_production","all","65+",22.3158818904435
1919,"home_production","female","14+",40.5982016444593
1919,"home_production","female","14-17",18.3395
1919,"home_production","female","18-24",32.9948244228174
1919,"home_production","female","25-54",47.3020751402802
1919,"home_production","female","55-64",43.7758103803378
1919,"home_production","female","65+",37.9361360723732
1919,"home_production","male","14+",3.88960698958441
1919,"home_production","male","14-17",3.88555
1919,"home_production","male","18-24",4.26638922057755
1919,"home_production","male","25-54",3.40812228277797
1919,"home_production","male","55-64",4.12896051865331
1919,"home_production","male","65+",6.82456513079692
1920,"home_production","all","14+",21.9878961767651
1920,"home_production","all","14-17",11.0610489912882
1920,"home_production","all","18-24",19.1863997369626
1920,"home_production","all","25-54",24.7121635895673
1920,"home_production","all","55-64",22.8624674527775
1920,"home_production","all","65+",22.3824699623295
1920,"home_production","female","14+",40.7004028855039
1920,"home_production","female","14-17",18.2
1920,"home_production","female","18-24",33.2674287158135
1920,"home_production","female","25-54",47.3649401085421
1920,"home_production","female","55-64",43.8108978263021
1920,"home_production","female","65+",37.9753681195549
1920,"home_production","male","14+",4.10310756325687
1920,"home_production","male","14-17",3.89
1920,"home_production","male","18-24",4.51969879055057
1920,"home_production","male","25-54",3.65396139309401
1920,"home_production","male","55-64",4.3595497130792
1920,"home_production","male","65+",6.97418716907117
1921,"home_production","all","14+",22.4157830170695
1921,"home_production","all","14-17",11.0029813222639
1921,"home_production","all","18-24",19.8259182492931
1921,"home_production","all","25-54",25.203093132125
1921,"home_production","all","55-64",23.2556688630053
1921,"home_production","all","65+",22.6012353272278
1921,"home_production","female","14+",41.0361348092744
1921,"home_production","female","14-17",18.107
1921,"home_production","female","18-24",34.0227250770286
1921,"home_production","female","25-54",47.6961532177611
1921,"home_production","female","55-64",43.9906120773594
1921,"home_production","female","65+",38.0392130137492
1921,"home_production","male","14+",4.56661422771351
1921,"home_production","male","14-17",3.8811
1921,"home_production","male","18-24",5.02645343808691
1921,"home_production","male","25-54",4.19384902165895
1921,"home_production","male","55-64",4.85961584395338
1921,"home_production","male","65+",7.33422581675017
1922,"home_production","all","14+",22.1685915423215
1922,"home_production","all","14-17",10.9450148671813
1922,"home_production","all","18-24",19.464880647046
1922,"home_production","all","25-54",24.9397760009737
1922,"home_production","all","55-64",23.099491589401
1922,"home_production","all","65+",22.5243450108742
1922,"home_production","female","14+",40.6776233522551
1922,"home_production","female","14-17",18.014
1922,"home_production","female","18-24",33.4799550613603
1922,"home_production","female","25-54",47.299141677147
1922,"home_production","female","55-64",43.8149687977492
1922,"home_production","female","65+",38.0054048252456
1922,"home_production","male","14+",4.37382748981015
1922,"home_production","male","14-17",3.8722
1922,"home_production","male","18-24",4.84280891579624
1922,"home_production","male","25-54",3.9581095367275
1922,"home_production","male","55-64",4.63885513731316
1922,"home_production","male","65+",7.20283035142397
1923,"home_production","all","14+",21.815453448992
1923,"home_production","all","14-17",10.8871492313721
1923,"home_production","all","18-24",18.939837022327
1923,"home_production","all","25-54",24.5531182038539
1923,"home_production","all","55-64",22.8521685988986
1923,"home_production","all","65+",22.3998548048845
1923,"home_production","female","14+",40.2112351978744
