"date","GPR","GPRT","GPRA","GPRH","GPRHT","GPRHA","SHARE_GPR","N10","SHARE_GPRH","N3H","SHAREH_CAT_1","SHAREH_CAT_2","SHAREH_CAT_3","SHAREH_CAT_4","SHAREH_CAT_5","SHAREH_CAT_6","SHAREH_CAT_7","SHAREH_CAT_8","GPRC_ARG","GPRC_AUS","GPRC_BEL","GPRC_BRA","GPRC_CAN","GPRC_CHE","GPRC_CHL","GPRC_CHN","GPRC_COL","GPRC_DEU","GPRC_DNK","GPRC_EGY","GPRC_ESP","GPRC_FIN","GPRC_FRA","GPRC_GBR","GPRC_HKG","GPRC_HUN","GPRC_IDN","GPRC_IND","GPRC_ISR","GPRC_ITA","GPRC_JPN","GPRC_KOR","GPRC_MEX","GPRC_MYS","GPRC_NLD","GPRC_NOR","GPRC_PER","GPRC_PHL","GPRC_POL","GPRC_PRT","GPRC_RUS","GPRC_SAU","GPRC_SWE","GPRC_THA","GPRC_TUN","GPRC_TUR","GPRC_TWN","GPRC_UKR","GPRC_USA","GPRC_VEN","GPRC_VNM","GPRC_ZAF"
1900-01-01,,,,87.927848815918,64.7174911499023,110.453521728516,,,3.17193174362183,7724,0.517866373062134,0.0129466596990824,0.699119627475739,0,0,1.32055926322937,0.945106148719788,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-02-01,,,,86.5664901733398,71.9368438720703,96.25048828125,,,3.12282180786133,7173,0.473999708890915,0.125470519065857,0.766764283180237,0,0.0139411678537726,1.12923467159271,0.836470067501068,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-03-01,,,,72.1407012939453,57.4758529663086,84.4994277954102,,,2.60242199897766,7762,0.450914710760117,0.0772996619343758,0.566864192485809,0,0.0386498309671879,1.26256120204926,0.463797986507416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-04-01,,,,54.4194488525391,37.326602935791,65.8582077026367,,,1.96314108371735,7488,0.387286335229874,0,0.32051283121109,0,0,0.64102566242218,0.734508574008942,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-05-01,,,,64.4051971435547,48.200008392334,74.3739547729492,,,2.32336950302124,7360,0.51630437374115,0.0407608710229397,0.35326087474823,0,0,0.692934811115265,0.883152186870575,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-06-01,,,,83.6102523803711,70.0065765380859,93.9776916503906,,,3.01617765426636,7294,0.466136544942856,0.0548395924270153,0.795174121856689,0,0.0274197962135077,1.2476007938385,0.740334510803223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-07-01,,,,108.57112121582,87.0623779296875,125.709083557129,,,3.91662240028381,7532,0.756771087646484,0.0796601176261902,0.809877872467041,0,0.0398300588130951,1.40732872486115,1.31439197063446,0.0132766859605908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-08-01,,,,108.502815246582,63.8416442871094,149.760986328125,,,3.9141583442688,7409,0.512889742851257,0.0944796875119209,0.580375194549561,0,0.0269941966980696,1.43069243431091,1.67364013195038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-09-01,,,,62.8133010864258,54.698413848877,67.5817794799805,,,2.26594305038452,7370,0.434192687273026,0.0542740859091282,0.556309342384338,0,0,0.705563068389893,0.678426027297974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-10-01,,,,43.3669319152832,31.7176265716553,51.4328498840332,,,1.56442975997925,7287,0.247015237808228,0.0411692038178444,0.315630584955215,0,0,0.425415128469467,0.576368868350983,0.0548922754824162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
