"date","g_us","g_ca","g_ea","z_us","z_ca","z_ea","rstar_us","rstar_ca","rstar_ea","gap_us","gap_ca","gap_ea"
1961-01-01,4.91767093739228,3.16502623514883,,0.00465015482126361,-0.0411264980919919,,5.47734664193975,3.54663183867736,,-3.82412402799525,-2.39189478083796,
1961-04-01,5.10939796126601,4.94568576045203,,0.0109594848975078,-0.0106951197691247,,5.69702197868822,5.59555392835886,,-3.52803409632384,-2.36221279540126,
1961-07-01,5.03178435061942,5.34203995006207,,0.0134724671936205,-0.00476884485446028,,5.61316160665749,6.05077286072287,,-2.77401254673248,-1.6721725657066,
1961-10-01,5.00994685556637,4.90239111712734,,0.0104208598239349,-0.0131125013080716,,5.58580784813012,5.54405931775919,,-2.07731096602845,-1.03396800873384,
1962-01-01,4.84779610206352,5.40569131432789,,0.0126696629627809,-0.00330537206724527,,5.40760499633387,6.12438919918157,,-1.24996822070727,-0.465693909366905,
1962-04-01,4.37424325539598,4.81411746178738,,0.00588654928585253,-0.00664915685009703,,4.87382220467591,5.45045886516364,,-0.635462320053193,0.145624944101996,
1962-07-01,4.2752293647193,4.7943831691566,,0.00236604754004776,-0.00658246620837715,,4.76011275808591,5.42815548123217,,-0.304769629860175,0.257556631086629,
1962-10-01,3.87722251764492,5.03163444024432,,-0.0126692734266475,-0.0035529350440217,,4.30215014459319,5.70012440263008,,-0.15321605136478,0.43529928387585,
1963-01-01,3.85809956888673,4.72814966571721,,-0.00734235777484119,-0.00939481992313531,,4.28619582857565,5.3502632430289,,0.0443400937078877,0.589762575189297,
1963-04-01,3.82456588726983,4.81453264406655,,-0.00400672574828082,-0.015062970643853,,4.25221305033821,5.44251568686314,,0.309047364955063,0.569720230759913,
1963-07-01,4.11320055242357,4.54448557498324,,0.00385873522155987,-0.00142708159122727,,4.58128949475077,5.15003606487698,,0.70588802285215,1.03530611546012,
1963-10-01,3.86556431702102,5.07627255893347,,0.00814627822729426,-0.00470682799220444,,4.30999171030688,5.74957065342989,,1.13208211216875,1.21209170933031,
1964-01-01,4.1386288591544,5.21733439300248,,0.00996011463038037,-0.00292688001761354,,4.61568910856586,5.91125315309921,,1.36582657788904,1.93460102468924,
1964-04-01,4.07558548568823,4.87142798314032,,-0.00538055117180572,-0.00538432206484406,,4.53018977356907,5.51668881729456,,1.55279116601719,2.25576849757107,
1964-07-01,4.17092886978739,4.84608273658162,,-0.0123477242895615,-0.009183329848306,,4.62932677250195,5.48415936215221,,1.71537387230319,2.17580287370737,
1964-10-01,3.9533919045064,4.67331265051522,,-0.0273145437477158,-0.00948481184755842,,4.37227100466389,5.28801201014236,,1.69605047737491,2.15178961405559,
1965-01-01,4.28331863474738,5.08624142182846,,-0.0119377427448571,-0.00518021501007344,,4.75481122115014,5.76039760590444,,1.94986443600487,2.4301253079671,
1965-04-01,4.2649902987388,4.89654522229174,,-0.0205404143039362,7.36991146925827e-05,,4.72581161344671,5.55061882494972,,2.16435299200225,2.91006915783606,
1965-07-01,4.49428914668118,4.92135282702402,,-0.0194695414507789,-0.00377624587333964,,4.98206080457507,5.57488987614968,,2.42060352807243,2.94149185238462,
1965-10-01,4.68958292387645,5.1027367694486,,-0.0165732422117854,0.0036751959465674,,5.20229242006834,5.78795154146882,,2.82591547252446,3.35120028038898,
1966-01-01,4.879779522653,5.12752003684494,,0.00410594241765667,0.0163849910549618,,5.43463445714116,5.82875474484858,,3.39657594407868,3.9568988726258,
1966-04-01,4.61486880849502,5.22378466730109,,0.0386458459458692,0.0163122278282416,,5.17436489634575,5.93780405669964,,3.7216724889837,4.35327004031245,
1966-07-01,4.59131501520227,4.9630724476996,,0.0485823497885419,-0.000221926345845641,,5.15808924336609,5.62573603649145,,3.54750533330321,4.17219920760482,
1966-10-01,4.56304483430954,4.99564573045602,,0.0571775055839446,-0.000796993319545232,,5.13522354673124,5.66208485516125,,3.36660891574638,3.99939233159193,
1967-01-01,4.57572820379797,4.75751222194804,,0.00638750895775337,-0.0057798294865548,,5.09854840905512,5.38716255658929,,2.85201757241589,3.69077298518454,
1967-04-01,4.38130781938926,4.92615785109362,,-0.00466942799895428,0.00826961862017061,,4.87112812279673,5.59238254072739,,2.52381967059421,3.78244421881453,
1967-07-01,4.37659949047611,4.7447197974436,,0.0218800359963772,0.0114117823647695,,4.89243785940256,5.38985314246061,,2.49228131859115,3.81629899460376,
1967-10-01,4.29573863695101,4.65142316180391,,0.0402013686534661,0.00290947768621597,,4.82077209966039,5.27559317340898,,2.55327062491426,3.50462177033796,
1968-01-01,4.46361829880886,4.61064248977008,,0.077669920108543,0.0123536536937411,,5.0450677990489,5.23880986654651,,2.94158962965957,3.45554711951485,
1968-04-01,4.50968595858825,4.87553055946468,,0.0896014295386024,-0.0181564062991276,,5.1082663255393,5.50856726399317,,3.33449811827268,3.3883684306719,
1968-07-01,4.40335503005868,4.83558359479762,,0.0725495517284889,0.00697919862246502,,4.97288263853653,5.48842044631705,,3.36002396775086,3.89957909996571,
1968-10-01,4.2710832259703,4.85330305027774,,0.0653741918929336,0.0138023181299973,,4.81850681596257,5.51532969446888,,3.17749356683339,4.00653847673016,
1969-01-01,4.40234480457067,4.88648449671335,,0.0471892983947189,-0.00818126748232168,,4.94639814213123,5.53095938667189,,3.05050281143258,3.85804503184386,
1969-04-01,4.23134012291075,4.73483903874474,,0.044384110338068,0.0304008401214684,,4.75328808566927,5.39764173242915,,2.95788795839246,4.07321880365879,
1969-07-01,4.2066280266839,4.7784363555378,,0.0269062909751824,-0.00267036798184218,,4.70830907642771,5.41399085299421,,2.60218211740687,3.58325237638701,
1969-10-01,3.97044949930946,4.8181951685311,,0.0107940069630692,-0.00229330454336558,,4.42936233001452,5.45943705715344,,1.9957026490888,3.57567698899049,
1970-01-01,3.86911694257292,4.73642699100552,,-0.019270775437088,0.00556541275588888,,4.2865282439454,5.37460634984637,,1.1797688093186,3.47737583677167,
1970-04-01,3.80615589811844,4.62852007382357,,-0.0239246113552807,-0.0343745328412829,,4.21180735978464,5.21234705744088,,0.602640514461768,2.69469713431749,
1970-07-01,3.86735366474401,4.67041556488441,,-0.0290084423488095,-0.0473164719389694,,4.27482828949901,5.24689631941359,,0.29601879758718,2.27032866512064,
1970-10-01,3.46073378053567,4.56292091226915,,0.0142880032493558,-0.0703565716215339,,3.86561230792783,5.10200420100348,,0.0895766491383938,1.73533194685194,
1971-01-01,3.87347929030744,4.36679240427684,,0.0253127662819055,-0.0584125577669935,,4.3359664832288,4.89162408944854,,0.210712355193436,1.22675523855145,
1971-04-01,3.68353386256902,4.6616270835572,,-0.0117388353521625,-0.0276593954774193,,4.08753154823174,5.25659109388881,,0.463761483367648,1.52498733549987,
1971-07-01,3.61163251697071,4.81552393196908,,-0.0752297558348784,-0.0068102028570443,,3.94402424469196,5.45189214247185,,0.471890046313661,2.33062073606408,
1971-10-01,3.4594251546363,4.72918865709251,,-0.201963886946711,0.000170482045917564,,3.64790409573429,5.36100630773722,,0.0641219731968476,2.72824556049534,
1972-01-01,3.6066969847896,4.49045520580421,3.4169903105456,-0.140503793526021,0.0120941147369122,0.00996142366473613,3.87325763338752,5.10231040476265,3.30437304200764,0.58393790816433,2.59816887941855,-1.95995427150046
1972-04-01,3.80047606836023,4.75297811571687,2.53058775464793,-0.197419114744473,-0.0140312028889023,-0.00993439633405253,4.03199198117607,5.37377148568617,2.42987284409598,0.950875635618104,2.68367637238703,-1.33774202516088
1972-07-01,3.68759260671142,4.53273859087595,2.62119680176452,-0.202339733039488,0.0164926156766111,0.00590353452110793,3.90144747875293,5.15463980928009,2.53306937723533,1.39836381855366,3.1632225883082,-0.654657232777936
1972-10-01,3.79849196754795,4.69204308426588,2.7795192739914,-0.232388276045951,0.00635040230783474,0.0187695931975352,3.99481478650195,5.3250793610472,2.6985783598145,1.58839683869087,3.41601140776623,-0.0515747057431781
1973-01-01,4.0416499359361,4.7957341478666,3.38779216344464,-0.221550253572573,0.0400856854680266,0.0329922783703821,4.27625443652513,5.47635505311476,3.29925318327795,2.09754156291035,4.35423163739955,0.134026875389509
1973-04-01,3.95192108353226,4.67388279376898,3.06449030375817,-0.0576140607482607,0.0578589855515122,0.0388375008895072,4.34033466468742,5.3560021011453,2.99339444822486,2.99846828151738,4.86566557201377,1.15094973995565
1973-07-01,3.6735563214619,4.53495273244277,3.16201778856895,-0.0427268925862875,0.0888799837836899,0.0465352825596394,4.0454398496881,5.22953704753514,3.0951210827357,2.68704820006496,5.07640497527251,1.54511309364398
1973-10-01,3.79761080906056,4.62755668201211,3.03982926348366,0.00926321868458788,0.0890872715957805,0.0721450484924234,4.2354856721149,5.33471679604772,3.00292562825951,2.33600354914734,5.25481124867537,2.1891526606089
