"year","school_id","student_id","treated","pair","m_ahim","boy","ole5","educav","educem","zakaibag","lagscore","semrel","semarab","att18","att20","att22","att24","awr18","awr20","awr22","awr24","achv_math","achv_eng","achv_hib"
2000,37,220,1,16,1,0,0,14,12,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,36,226,1,8,1,1,0,15,11,0,59.7999992370605,0,0,1,1,1,1,1,1,1,1,0,1,1
2000,31,228,0,4,2,0,0,12,12,0,76.25,0,0,0,0,0,0,0,0,0,0,0,1,1
2000,32,234,0,13,2,1,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000,31,255,0,4,2,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,23,393,0,11,1,1,0,12,14,0,57,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,9,406,0,16,8,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,34,418,1,20,5,1,0,8,7,1,65.8571395874023,0,1,1,1,1,0,1,1,1,0,1,1,1
2000,25,429,1,4,2,1,0,10,8,1,79.125,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,39,482,1,12,1,0,0,8,8,0,76.4000015258789,1,0,1,1,1,1,1,1,1,1,0,1,1
2000,28,633,0,5,2,1,0,8,14,0,88.5,0,0,0,0,0,0,0,0,0,0,0,1,1
2000,9,638,0,16,2,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,645,0,18,5,1,0,7,7,1,82,0,1,1,1,1,0,1,1,1,0,1,1,1
2000,16,655,0,9,1,0,0,14,10,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,657,0,13,5,0,0,10,8,0,72,0,0,1,1,0,0,0,0,0,0,0,1,1
2000,17,668,1,2,3,1,0,11,12,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,39,677,1,12,5,0,0,11,9,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,17,690,1,2,2,1,0,10,8,0,75.1999969482422,0,0,1,1,1,1,1,1,1,1,0,1,1
2000,17,693,1,2,3,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,871,1,11,2,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,34,932,1,20,7,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,10,934,1,15,2,0,0,16,14,1,73.25,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,6,939,0,18,4,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,37,949,1,16,1,1,0,12,11,0,69,0,0,0,0,0,0,1,0,0,0,0,1,0
2000,31,950,0,4,1,0,0,8,8,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
