"byr","race","interval","year","vmn1","vsd1","vnu1","vnms1","vfin1","ltax","xltax","ctr1"
1944,1,1,1964,1691.03002929688,1480.59997558594,182,0,0.170000001788139,0.0599999986588955,0.0489999987185001,1
1944,1,2,1964,1535.43005371094,1359.02001953125,187,0,0.187000006437302,0.0430000014603138,0.0160000007599592,1
1944,1,3,1964,1818.01000976562,1604.42004394531,210,0,0.171000003814697,0.0900000035762787,0.0520000010728836,1
1944,1,4,1964,1636.38000488281,1626.27001953125,208,0,0.231000006198883,0.0769999995827675,0.034000001847744,1
1944,1,5,1964,1889.80004882812,1639.60998535156,207,0,0.184000000357628,0.068000003695488,0.0430000014603138,1
1944,1,6,1964,1842.9599609375,1470.97998046875,182,0,0.14300000667572,0.0659999996423721,0.0439999997615814,1
1944,1,7,1964,1689.4599609375,1599.03002929688,193,0,0.211999997496605,0.0979999974370003,0.0729999989271164,1
1944,1,8,1964,1667.5,1568.40002441406,148,0,0.195999994874001,0.0740000009536743,0.0410000011324883,1
1944,1,9,1964,1610.64001464844,1511.56994628906,201,1.5,0.199000000953674,0.0399999991059303,0.0199999995529652,1
1944,1,10,1964,1716.56994628906,1536.18005371094,229,0,0.148000001907349,0.0700000002980232,0.0130000002682209,1
1944,1,11,1964,1773.23999023438,1696.22998046875,180,0,0.216999992728233,0.111000001430511,0.0719999969005585,1
1944,1,12,1964,1498.90002441406,1423.42004394531,168,0,0.202000007033348,0.0299999993294477,0.0299999993294477,1
1944,1,13,1964,1768.13000488281,1513.15002441406,192,1.5,0.177000001072884,0.0419999994337559,0.0209999997168779,1
1944,1,14,1964,1738.03002929688,1635.42004394531,190,0,0.188999995589256,0.0579999983310699,0.0320000015199184,1
1944,1,15,1964,1780.96997070312,1607.66003417969,166,0,0.187000006437302,0.0780000016093254,0.0540000014007092,1
1944,1,16,1964,1876.48999023438,1513.53002929688,141,0,0.177000001072884,0.0710000023245811,0.0640000030398369,1
1944,1,17,1964,1875.68005371094,1636.25,195,0,0.164000004529953,0.0970000028610229,0.0359999984502792,1
1944,1,18,1964,1875.36999511719,1619.38000488281,195,0,0.158999994397163,0.0920000001788139,0.0359999984502792,1
1944,1,19,1964,1625.77001953125,1524.73999023438,198,0,0.202000007033348,0.0659999996423721,0.0299999993294477,1
1944,1,20,1964,1868.4599609375,1532.63000488281,179,0,0.123000003397465,0.0839999988675117,0.0560000017285347,1
1944,1,21,1964,1735.77001953125,1599.7900390625,220,1.5,0.181999996304512,0.0769999995827675,0.0450000017881393,1
1944,1,22,1964,1770.01000976562,1671.09997558594,205,0,0.194999992847443,0.0879999995231628,0.0390000008046627,1
1944,1,23,1964,1817.39001464844,1552.35998535156,194,1.5,0.174999997019768,0.046000000089407,0.0410000011324883,1
1944,1,24,1964,1652.44995117188,1491.83996582031,185,0,0.178000003099442,0.0759999975562096,0.0430000014603138,1
1944,1,25,1964,1535.32995605469,1469.46997070312,162,0,0.24099999666214,0.0560000017285347,0.0370000004768372,1
1944,1,26,1964,1712.03002929688,1560.46997070312,187,1.5,0.214000001549721,0.0750000029802322,0.0370000004768372,1
1944,1,27,1964,1669.33996582031,1610.61999511719,152,1.5,0.178000003099442,0.0920000001788139,0.0529999993741512,1
1944,1,28,1964,1808.15002441406,1531.33996582031,191,0,0.172999992966652,0.0729999989271164,0.0579999983310699,1
1944,1,29,1964,1756.55004882812,1588.2099609375,204,0,0.175999999046326,0.0740000009536743,0.0640000030398369,1
1944,1,30,1964,1681.35998535156,1547.58996582031,174,0,0.178000003099442,0.0689999982714653,0.0399999991059303,1
1944,1,31,1964,1672.96997070312,1509.60998535156,188,0,0.212999999523163,0.0430000014603138,0.0209999997168779,1
1944,1,32,1964,1681,1495.71997070312,211,0,0.174999997019768,0.0759999975562096,0.0520000010728836,1
1944,1,33,1964,1640.18005371094,1549.53002929688,164,0,0.207000002264977,0.0610000006854534,0.0549999997019768,1
1944,1,34,1964,1809.84997558594,1580.7099609375,216,0,0.199000000953674,0.0829999968409538,0.0419999994337559,1
1944,1,35,1964,1651.68005371094,1499.72998046875,192,1.5,0.145999997854233,0.0520000010728836,0.0260000005364418,1
1944,1,36,1964,1784.82995605469,1557.82995605469,175,0,0.149000003933907,0.0689999982714653,0.0509999990463257,1
1944,1,37,1964,1657.27001953125,1439.43994140625,172,0,0.180000007152557,0.0469999983906746,0.0350000001490116,1
1944,1,38,1964,1966.13000488281,1554.03002929688,172,1.5,0.104999996721745,0.0640000030398369,0.0469999983906746,1
1944,1,39,1964,1815.81005859375,1494.03002929688,166,0,0.150999993085861,0.0359999984502792,0.0120000001043081,1
1944,1,40,1964,1667.91003417969,1601.78002929688,175,0,0.194000005722046,0.0860000029206276,0.046000000089407,1
1944,1,41,1964,1633.66003417969,1456.75,194,0,0.159999996423721,0.0410000011324883,0.0309999994933605,1
1944,1,42,1964,1826.18005371094,1566.77001953125,192,0,0.166999995708466,0.0780000016093254,0.0520000010728836,1
1944,1,43,1964,1671.19995117188,1512.30004882812,182,0,0.209000006318092,0.0659999996423721,0.0329999998211861,1
1944,1,44,1964,1653.06005859375,1567.67004394531,174,0,0.217999994754791,0.0520000010728836,0.0230000000447035,1
1944,1,45,1964,1792.93005371094,1522.2099609375,216,0,0.171000003814697,0.0560000017285347,0.0280000008642673,1
1944,1,46,1964,1827.2099609375,1702.30004882812,191,0,0.194000005722046,0.0939999967813492,0.0469999983906746,1
1944,1,47,1964,1449.63000488281,1351.03002929688,177,0,0.202999994158745,0.0509999990463257,0.0399999991059303,1
1944,1,48,1964,1578.0400390625,1584.81005859375,195,0,0.189999997615814,0.0869999974966049,0.046000000089407,1
1944,1,49,1964,1753.53002929688,1626.64001464844,166,0,0.157000005245209,0.0839999988675117,0.0419999994337559,1
1944,1,50,1964,1683.05004882812,1496.19995117188,176,0,0.204999998211861,0.0509999990463257,0.0230000000447035,1
1944,1,51,1964,1607.88000488281,1599.69995117188,173,1.5,0.185000002384186,0.0750000029802322,0.0350000001490116,1
1944,1,52,1964,1864.77001953125,1634.17004394531,177,0,0.152999997138977,0.061999998986721,0.034000001847744,1
