"date","supply_shock","activity_shock","consumption_demand_shock","inventory_demand_shock"
1975-02-01,-2.64688622115469,-0.195066393742439,0.0804780890301826,0.175021453441178
1975-03-01,-0.313890525066989,-0.115821780293928,0.62230860156342,0.384537384641461
1975-04-01,0.495953370926822,0.200433322129778,-0.0201238351565585,-0.103063310307146
1975-05-01,0.977602385983576,-0.509554488486488,1.88290920696136,0.183090420528501
1975-06-01,2.06425942060442,0.749206160341752,5.09578227547258,0.0233084657174632
1975-07-01,3.62057011863482,-0.18619471540603,5.19893855744042,-1.71663561073076
1975-08-01,2.23711664716557,0.717402743330287,5.97434734801777,-1.08397378708973
1975-09-01,4.04056783845882,0.55551336960795,2.64988602918236,-0.272283036759668
1975-10-01,-9.68326340310281,0.689114981734793,-7.88230547452645,-0.555157462072204
1975-11-01,2.15733622410757,-0.11351259637967,1.74446194271298,0.136314043141152
1975-12-01,2.19552730204454,-0.148981930016078,1.28560153691206,-0.768384587706142
1976-01-01,-0.824654377042448,0.770211599707166,-9.39319024759466,2.00471826547873
1976-02-01,1.7616686796101,1.36656526425266,5.43995559481764,-0.983304648139966
1976-03-01,2.15295216926199,-0.513187812841542,-0.644227978665718,0.528000310268994
1976-04-01,-0.642559815749706,0.597987902782604,-2.32088136931044,-0.0184830412887052
1976-05-01,-0.374847495836513,0.469279582238008,-1.61496587543086,-0.374221161294741
1976-06-01,2.46758295860189,-0.470241009579025,3.71273907703458,-0.368126909589295
1976-07-01,2.03561779991724,0.0716260029254381,0.581724929266827,0.211038158075846
1976-08-01,-0.371692423385377,-0.190991004294275,2.04146251373853,-0.525217199778709
1976-09-01,1.02269128730087,0.564489244030676,-1.49600623712422,0.922600236436393
1976-10-01,3.59475127666947,-0.145498454619119,3.61373356151565,1.0751952377759
1976-11-01,1.29930673253093,0.798630584082075,1.65075072414676,0.29030856906053
1976-12-01,2.50083841983981,-0.229123248410606,6.62863195487444,-1.65414417494093
1977-01-01,-8.39670869804891,0.063326293329564,-8.29709866542263,-0.215790340453549
1977-02-01,4.45471513048343,-0.457389792566828,4.7124154746797,0.620277992287504
1977-03-01,1.36668524103643,0.0187053510467565,-0.440287421512561,0.333184919839692
1977-04-01,-1.77455835219561,-0.0760367310211959,-4.16191232204285,1.84741314832727
1977-05-01,-2.90992004820584,0.449365636842084,-4.81904044458092,1.75422912088662
1977-06-01,0.769373623257987,-0.847722688925657,-1.88054043383841,0.450596559899385
1977-07-01,-1.17900402085502,-0.64129836913646,-0.98208798891186,0.20363205583986
1977-08-01,0.844708357658215,0.642742241501293,-0.652543637570638,0.731057820413113
1977-09-01,2.28719467864153,0.235558109417634,2.30204480310516,-0.428867914307175
1977-10-01,0.441341633161392,-0.159457379640666,-1.12338809045484,0.543037067001023
1977-11-01,1.93890967204409,-0.189614416375236,0.70918944526343,1.10915908079701
1977-12-01,2.04250248741515,0.263561588060037,2.80122940982077,-0.142913717907698
1978-01-01,-8.09057434589319,-0.170820854673172,-7.23322346334941,-0.932551321869977
1978-02-01,1.23620830754546,-0.420366377293972,1.19926540101469,-0.0553589183050957
1978-03-01,0.87116189798127,0.17756105975353,-2.3576479753866,1.01037612509915
1978-04-01,1.2200464470209,2.18412010895906,0.395681125109872,-0.359795729340393
1978-05-01,-2.18984706652265,-0.549780143381723,0.842039334775363,-1.09020317407085
1978-06-01,2.20278997263041,-0.238868630795328,-2.65870650975122,1.35097856868414
1978-07-01,0.188713020986381,-0.463731228065707,-0.540667890436845,0.0688717065909875
1978-08-01,-0.0799027624414592,0.681111150915558,2.97245167911139,-1.81740440197027
1978-09-01,3.5770327631915,0.707886991728956,0.734095683821629,1.41831848402532
1978-10-01,1.56675047215907,-0.0142509741209482,0.584808806558514,0.494292661351804
1978-11-01,0.323484244979158,0.182262752866222,-0.0162123965548338,0.443708682944274
1978-12-01,-2.09967280171549,0.782968191235751,-0.912707237483602,-1.40320858453452
1979-01-01,-3.18976026892195,-2.14140587157252,1.38582084301563,-0.359134704252648
1979-02-01,0.877717696415702,0.545184371150485,-2.42254997833791,0.890002119865286
1979-03-01,0.986312824709018,0.0240533192590447,-1.54979413409338,1.6773097982356
1979-04-01,0.633393036716494,0.429218802903149,3.98134457962703,0.934432658042983
1979-05-01,0.400115746737966,0.278285757661671,0.308735127388135,0.812946753744937
1979-06-01,-0.678023057684131,-0.226698004456153,0.0944307674814124,1.80034194849736
1979-07-01,0.446701811454316,-0.310853648902046,5.89174438012986,-1.10237811142924
1979-08-01,0.00958137665587369,-0.13005491225635,-1.20991513689955,1.01549778924007
1979-09-01,-0.774052420531476,-0.207131914608701,1.80568417921071,-0.0235824935850799
1979-10-01,0.938284794259308,0.158971415803658,-3.68497368773598,2.42797646993827
1979-11-01,0.234462231708697,0.236722840545965,4.16654490791399,0.0608456393633022
1979-12-01,-1.05564409562949,0.129456493615577,1.72471299177529,-0.23345556125236
1980-01-01,-2.04735179370626,-0.0332665385143997,-3.92157124386973,2.20849950845069
1980-02-01,-0.0374242059747695,0.00263451985487251,-0.513700541227498,0.989724677983869
1980-03-01,-1.9342309048285,-0.231570658603961,-0.735477630118001,-0.704822323219485
1980-04-01,-1.95542744173353,-1.33935308150345,-3.91121613412126,1.2673374095145
1980-05-01,-0.970002699510457,-1.2630729904857,-0.174470182052184,0.383731965863197
1980-06-01,0.894473446155905,-0.308486582158217,0.382778894794888,-0.386697252800114
1980-07-01,-1.09302082049461,0.0101452966162746,0.762465585556179,-0.248078473146851
1980-08-01,-0.342107065514106,0.329543974598261,-2.4871431910629,1.10224226448257
1980-09-01,-1.52713507883187,-0.164130105067176,0.486060019591172,-1.38617910219284
1980-10-01,-4.36086312532373,0.463114358415087,-6.31300544913065,0.0200121703668399
1980-11-01,0.0904739201884149,0.824729418117818,0.0331772444389285,-0.0369466296328726
1980-12-01,1.41907324706945,-0.160861006642997,3.31440642332422,-0.815352730127649
1981-01-01,-0.953634041027422,-0.339159382042788,-1.57334866947286,2.37019637791601
1981-02-01,1.00613202718091,0.121082382156355,-1.96224742795692,0.311282098396975
1981-03-01,0.970630798765335,-0.607304837824665,-2.14150858646166,1.89544107844717
1981-04-01,-0.371429163312333,-0.0430750039715473,-2.0574336456871,1.29887603152561
1981-05-01,-0.0381063309554576,-0.0786620801749784,-3.64759192451875,1.22536787919184
1981-06-01,0.0928606958634775,0.242407083382841,-2.38235372462702,0.320968876828362
1981-07-01,-1.51089997361772,0.478032306926942,-5.27019911722149,1.20894023587312
1981-08-01,-1.65542511969459,-0.802054677600225,0.195571494822812,-1.85692900419891
1981-09-01,0.43439233028339,0.0126356292030567,-5.13726418741439,1.97958595134644
1981-10-01,0.615248536618445,-0.11982187454541,-3.66278001330922,2.57414176789392
