"GPA_year1","GPA_year2","age","chooseUTM","compsurv","control","credits_earned1","credits_earned2","dad1","dad2","dad_edn","english","female","finish4","goodstanding_year1","goodstanding_year2","gpa0","graddeg","grade_20059_fall","hcom","hsgroup","lastmin","lm_never","lm_rarely","mathsci","mom1","mom2","mom_edn","mtongue","noshow","numcourses_nov1","prob_year1","prob_year2","sex","sfp","sfp_p","sfpany","sfpany_p","sfsp","sfsp_p","signup","ssp","ssp_p","totcredits_year1","used_adv","used_fsg","used_ssp","work1"
1.5900000333786,0.660000026226044,19,0,1,1,3.5,2,1,0,2,1,0,1,1,0,73,1,68.5,1,1,1,0,0,1.5,1,0,4,"English",0,6,0,1,"M",0,0,0,0,0,0,0,0,0,5,0,0,0,0
0.889999985694885,1.54999995231628,18,0,1,1,2,2.5,1,1,6,0,1,1,0,0,73.5,1,59,1,1,2,0,0,3,1,0,4,"Other",0,6,1,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.72000002861023,2.77999997138977,17,0,1,0,3.5,3.5,0,0,9,1,0,1,1,1,84.5,1,75,0,3,3,0,0,1,0,0,9,"English",0,5,0,0,"M",1,1,1,1,0,0,1,0,0,5,0,0,0,0
3.14000010490417,3.32999992370605,18,0,1,1,2.5,3,1,1,7,0,0,1,1,1,80,1,70.5,1,2,2,0,0,1,1,1,6,"Other",0,6,0,0,"M",0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.71000003814697,2.66000008583069,18,0,1,1,3.5,5,1,0,4,1,0,1,1,1,78.1999969482422,0,75,0,2,3,0,0,3,1,0,4,"English",0,5,0,0,"M",0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.90000009536743,2.80999994277954,18,1,1,0,3,2.5,1,1,6,0,0,1,1,1,76.5,0,83,1,2,2,0,0,1,1,1,6,"Other",0,4,0,0,"M",1,1,1,1,0,0,1,0,0,4,0,0,0,0
0.910000026226044,1.76999998092651,18,1,1,0,2.5,1.5,0,0,1,1,0,1,0,0,72.3000030517578,0,52,1,1,2,0,0,0,1,1,7,"English",0,5,0,1,"M",1,1,1,1,0,0,1,0,0,4,0,0,0,0
1.74000000953674,0.259999990463257,19,0,1,0,1.5,1,1,0,2,1,0,1,0,0,80.1999969482422,1,51,1,2,3,0,0,1.5,1,0,2,"English",0,5,0,1,"M",1,1,1,1,0,0,1,0,0,3,0,0,0,0
3.05999994277954,3.16000008583069,19,0,1,0,3.25,3.5,1,0,2,1,1,1,1,1,84.8000030517578,0,76,0,3,3,0,0,1,1,0,2,"English",0,6,0,0,"F",1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
0,1.85000002384186,18,0,1,0,0,1,1,1,7,0,0,1,0,0,80,1,,1,2,4,0,1,3.5,1,0,3,"Other",0,4,0,1,"M",1,0,1,0,0,0,0,0,0,4,0,0,0,0
0.230000004172325,2.02999997138977,18,0,1,0,1,3,1,1,7,0,1,1,0,0,79.3000030517578,1,49.5,1,2,3,0,0,2.5,1,1,8,"Other",0,5,1,1,"F",0,0,0,0,0,0,0,1,0,4.5,0,0,0,0
2.58999991416931,3.10999989509583,18,0,1,1,3,3.5,1,0,4,1,1,1,1,1,86,0,73,0,3,3,0,0,0,1,0,4,"English",0,5,0,0,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,0
