"date","SENT","SENT_ORTH","pdnd","ripo","nipo","cefd","s","indpro","consdur","consnon","consserv","recess","employ","cpi"
1958-01-01,,,,,,,,20.1650009155273,,,,1,52076,28.6399993896484
1958-02-01,,,,,,,,19.734899520874,,,,1,51576,28.7000007629395
1958-03-01,,,,,,,,19.4929008483887,,,,1,51299,28.8700008392334
1958-04-01,,,,,,,,19.1702003479004,,,,1,51027,28.9400005340576
1958-05-01,,,,,,,,19.3584003448486,,,,0,50914,28.9400005340576
1958-06-01,,,,,,,,19.8693008422852,,,,0,50914,28.9099998474121
1958-07-01,,,,,,,,20.1650009155273,,,,0,51039,28.8899993896484
1958-08-01,,,,,,,,20.5683002471924,,,,0,51233,28.9400005340576
1958-09-01,,,,,,,,20.7565994262695,,,,0,51506,28.9099998474121
1958-10-01,,,,,,,,20.9985008239746,,,,0,51485,28.9099998474121
1958-11-01,,,,,,,,21.6168994903564,,,,0,51944,28.9500007629395
1958-12-01,,,,,,,0.159999996423721,21.6438007354736,,,,0,52085,28.9699993133545
1959-01-01,,,,,,,0.170000001788139,21.9664993286133,42.2999992370605,125.099998474121,138.699996948242,0,52478,29.0100002288818
1959-02-01,,,,,,,0.170000001788139,22.3966007232666,44.2000007629395,125.400001525879,140,0,52688,29
1959-03-01,,,,,,,0.200000002980232,22.7192993164062,44.4000015258789,127.699996948242,140.5,0,53014,28.9699993133545
1959-04-01,,,,,,,0.219999998807907,23.2031993865967,45.0999984741211,125.599998474121,141.5,0,53321,28.9799995422363
1959-05-01,,,,,,,0.230000004172325,23.5527992248535,45.4000015258789,128,142.800003051758,0,53550,29.0400009155273
1959-06-01,,,,,,,0.25,23.5797004699707,46,127.900001525879,144.300003051758,0,53681,29.1100006103516
1959-07-01,,,,,,,0.25,23.0149993896484,45.4000015258789,127.300003051758,145.100006103516,0,53804,29.1499996185303
1959-08-01,,,,,,,0.25,22.2353000640869,46.2000007629395,127.900001525879,146.100006103516,0,53336,29.1800003051758
1959-09-01,,,,,,,0.259999990463257,22.2084007263184,47.4000015258789,129.399993896484,147.399993896484,0,53428,29.25
1959-10-01,,,,,,,0.270000010728836,22.0471000671387,44.7999992370605,129.800003051758,148.300003051758,0,53358,29.3500003814697
1959-11-01,,,,,,,0.270000010728836,22.1816005706787,44.7000007629395,129,149.199996948242,0,53634,29.3500003814697
1959-12-01,,,,,,,0.259999990463257,23.5527992248535,42.7999992370605,129.699996948242,150.399993896484,0,54174,29.4099998474121
1960-01-01,,,,13.8,16,,0.270000010728836,24.171199798584,43.2000007629395,129.600006103516,150.800003051758,0,54274,29.3700008392334
1960-02-01,,,,8,16,,0.259999990463257,23.9561004638672,45.7000007629395,128.399993896484,151.199996948242,0,54513,29.4099998474121
1960-03-01,,,,19.4,21,,0.25,23.7409992218018,47.4000015258789,130.800003051758,151.899993896484,0,54454,29.4099998474121
1960-04-01,,,3.57047700881958,15.9,16,,0.25,23.5527992248535,49.0999984741211,134.100006103516,153.300003051758,1,54813,29.5400009155273
1960-05-01,,,11.4085702896118,25.3,19,,0.25,23.525899887085,45.7000007629395,130.300003051758,154,1,54475,29.5699996948242
1960-06-01,,,19.2033138275146,30.6,40,,0.239999994635582,23.2301006317139,44.5,131.5,154.100006103516,1,54348,29.6100006103516
1960-07-01,,,19.7803916931152,10.4,17,,0.239999994635582,23.1494998931885,44.9000015258789,132.199996948242,154.300003051758,1,54306,29.5499992370605
1960-08-01,,,34.5879974365234,27.5,23,,0.239999994635582,23.1226005554199,45.7999992370605,131.399993896484,154.399993896484,1,54272,29.6100006103516
1960-09-01,,,36.1026802062988,18.1,20,,0.239999994635582,22.8805999755859,47.0999984741211,131.100006103516,155.100006103516,1,54227,29.6100006103516
1960-10-01,,,50.4039268493652,12.6,27,,0.219999998807907,22.8537006378174,46.7000007629395,132.600006103516,156.100006103516,1,54142,29.75
1960-11-01,,,53.1644744873047,7.4,38,,0.209999993443489,22.531099319458,45.0999984741211,133.100006103516,157.199996948242,1,53961,29.7800006866455
1960-12-01,,,56.2515029907227,25,16,,0.200000002980232,22.1009006500244,42.2999992370605,131.5,157.399993896484,1,53742,29.8099994659424
1961-01-01,,,55.508918762207,29.9,11,,0.209999993443489,22.127799987793,41.5999984741211,132.300003051758,158.300003051758,1,53683,29.8400001525879
1961-02-01,,,45.8846435546875,74.9,27,,0.200000002980232,22.1009006500244,41.9000015258789,133.300003051758,158.5,1,53557,29.8400001525879
1961-03-01,,,42.6334228515625,70.7,25,,0.200000002980232,22.2353000640869,43.2000007629395,134.600006103516,159.899993896484,0,53659,29.8400001525879
1961-04-01,,,53.0604858398438,71.1,27,,0.259999990463257,22.6923999786377,42.7000007629395,133.899993896484,161,0,53627,29.8099994659424
1961-05-01,,,51.1076202392578,44.7,42,,0.25,23.0419006347656,43.5,134.300003051758,162.100006103516,0,53786,29.8400001525879
1961-06-01,,,50.9462738037109,22.8,29,,0.239999994635582,23.3645992279053,43.7999992370605,134.5,162.5,0,53977,29.8400001525879
1961-07-01,,,51.3237838745117,16.7,29,,0.25,23.6333999633789,44.0999984741211,133.899993896484,162.5,0,54123,29.9200000762939
1961-08-01,,,53.7290954589844,23.8,50,,0.25,23.8484992980957,44.5999984741211,134.600006103516,162.899993896484,0,54298,29.9400005340576
1961-09-01,,,54.3883323669434,5.6,37,,0.259999990463257,23.8216991424561,45,135.300003051758,164.100006103516,0,54388,29.9799995422363
1961-10-01,,,55.809642791748,14.5,53,,0.270000010728836,24.2786998748779,45.5999984741211,135.300003051758,165.600006103516,0,54522,29.9799995422363
1961-11-01,,,54.7336769104004,20.5,53,,0.270000010728836,24.6550998687744,46.7000007629395,136.300003051758,166.899993896484,0,54742,29.9799995422363
1961-12-01,,,54.7525939941406,13.9,52,,0.280000001192093,24.8701992034912,47.7000007629395,136.899993896484,167.800003051758,0,54872,30.0100002288818
1962-01-01,,,-36.769588470459,16.2,40,,0.280000001192093,24.6550998687744,47.5,137.199996948242,168.5,0,54891,30.0400009155273
1962-02-01,,,-29.1292724609375,4.1,31,,0.280000001192093,25.0583992004395,47.4000015258789,137.399993896484,169.199996948242,0,55188,30.1100006103516
1962-03-01,,,-29.1257457733154,2.4,50,,0.280000001192093,25.1928997039795,48.2000007629395,138.899993896484,170.199996948242,0,55275,30.1700000762939
1962-04-01,,,-10.1515741348267,-3.1,74,,0.239999994635582,25.2465991973877,48.4000015258789,139,171.600006103516,0,55602,30.2099990844727
1962-05-01,,,-1.10975992679596,-13.4,40,,0.230000004172325,25.2196998596191,49.5999984741211,139.5,173,0,55628,30.2399997711182
1962-06-01,,,-4.49576139450073,1.2,5,,0.230000004172325,25.1660003662109,49.0999984741211,137.800003051758,173.399993896484,0,55644,30.2099990844727
1962-07-01,,,23.6380577087402,2.7,6,,0.219999998807907,25.4078998565674,49.2000007629395,138.199996948242,174,0,55746,30.2199993133545
1962-08-01,,,16.4828491210938,3.6,7,,0.209999993443489,25.4347991943359,49,139.199996948242,174.699996948242,0,55838,30.2800006866455
1962-09-01,,,17.2011985778809,-0.4,17,,0.209999993443489,25.5962009429932,50.5,142.5,175.699996948242,0,55978,30.4200000762939
1962-10-01,,,18.9526653289795,-13.4,7,,0.189999997615814,25.6231002807617,49,141,176.5,0,56041,30.3799991607666
1962-11-01,,,19.0138378143311,-7.8,11,,0.180000007152557,25.7306003570557,52.0999984741211,141.699996948242,177.899993896484,0,56056,30.3799991607666
1962-12-01,,,17.1799068450928,-11.4,10,,0.159999996423721,25.7306003570557,53.5,141.800003051758,178.300003051758,0,56028,30.3799991607666
1963-01-01,,,12.1292686462402,14.7,2,,0.159999996423721,25.9188003540039,53.0999984741211,142.800003051758,178.600006103516,0,56115,30.4400005340576
1963-02-01,,,10.6059694290161,-8.3,5,,0.159999996423721,26.214599609375,52.4000015258789,141.899993896484,179.100006103516,0,56230,30.4799995422363
1963-03-01,,,8.12693977355957,6.3,7,,0.140000000596046,26.3759002685547,52.2999992370605,142.699996948242,180,0,56320,30.5100002288818
1963-04-01,,,20.4355278015137,0.4,8,,0.129999995231628,26.6179008483887,53.2000007629395,142.100006103516,181,0,56580,30.4799995422363
1963-05-01,,,18.5536155700684,9.2,8,,0.119999997317791,26.9405002593994,53.5,142.399993896484,181.399993896484,0,56616,30.5100002288818
1963-06-01,,,17.3970031738281,-0.9,10,,0.109999999403954,27.0212001800537,55,143.899993896484,182.800003051758,0,56659,30.6100006103516
