"date","price","d12","e12","ret","retx","AAA","BAA","lty","ltr","corpr","tbl","Rfree","dp","dy","ep","de","bm","tms","dfy","dfr","infl","eqis","ntis","svar","cay","ik","csp","pce","vp","impvar","vrp","govik","lzrt","skew","crdstd","ogap","wtexas","accrul","cfacc","sntm","ndrbl","skvw","tail","fbm","dtoy","dtoat","ygap","rdsp","rsvix","gpce","gip","tchi","house","avgcor","shtint","disag"
1871-01-01,4.44,0.26,0.4,,,,,,,,,,0.0585585585585586,,0.0900900900900901,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-02-01,4.5,0.26,0.4,,,,,,,,,0.00496742145162011,0.0577777777777778,0.0585585585585586,0.0888888888888889,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-03-01,4.61,0.26,0.4,,,,,,,,,0.004524663161801,0.0563991323210412,0.0577777777777778,0.0867678958785249,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-04-01,4.74,0.26,0.4,,,,,,,,,0.00425162888307922,0.0548523206751055,0.0563991323210412,0.0843881856540084,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-05-01,4.86,0.26,0.4,,,,,,,,,0.0046427320390861,0.0534979423868313,0.0548523206751055,0.0823045267489712,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-06-01,4.82,0.26,0.4,,,,,,,,,0.00369818102080534,0.0539419087136929,0.0534979423868313,0.0829875518672199,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-07-01,4.73,0.26,0.4,,,,,,,,,0.00337349160827133,0.0549682875264271,0.0539419087136929,0.0845665961945032,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-08-01,4.79,0.26,0.4,,,,,,,,,0.00325542273098624,0.0542797494780793,0.0549682875264271,0.0835073068893528,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-09-01,4.84,0.26,0.4,,,,,,,,,0.00371293963046598,0.0537190082644628,0.0542797494780793,0.0826446280991736,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-10-01,4.59,0.26,0.4,,,,,,,,,0.00455418038112228,0.0566448801742919,0.0537190082644628,0.0871459694989107,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-11-01,4.64,0.26,0.4,,,,,,,,,0.00704100610893958,0.0560344827586207,0.0566448801742919,0.0862068965517241,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871-12-01,4.74,0.26,0.4,,,,,,,,,0.0064875582466657,0.0548523206751055,0.0560344827586207,0.0843881856540084,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-01-01,4.86,0.2633,0.4025,,,,,,,,,0.00697459236546672,0.0541769547325103,0.055548523206751,0.0828189300411523,0.65416149068323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-02-01,4.88,0.2667,0.405,,,,,,,,,0.0057643863732945,0.0546516393442623,0.0548765432098765,0.0829918032786885,0.658518518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-03-01,5.04,0.27,0.4075,,,,,,,,,0.00521831781585093,0.0535714285714286,0.055327868852459,0.0808531746031746,0.662576687116564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-04-01,5.18,0.2733,0.41,,,,,,,,,0.00600052412786469,0.0527606177606178,0.0542261904761905,0.0791505791505791,0.666585365853659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-05-01,5.18,0.2767,0.4125,,,,,,,,,0.00603004134718596,0.0534169884169884,0.0534169884169884,0.0796332046332046,0.670787878787879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-06-01,5.13,0.28,0.415,,,,,,,,,0.00495266284195947,0.0545808966861598,0.0540540540540541,0.0808966861598441,0.674698795180723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-07-01,5.1,0.2833,0.4175,,,,,,,,,0.00406714626232126,0.0555490196078431,0.055224171539961,0.0818627450980392,0.678562874251497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-08-01,5.04,0.2867,0.42,,,,,,,,,0.00439921497968559,0.0568849206349206,0.0562156862745098,0.0833333333333333,0.682619047619048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-09-01,4.95,0.29,0.4225,,,,,,,,,0.00521831781585093,0.0585858585858586,0.0575396825396825,0.0853535353535353,0.686390532544379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-10-01,4.97,0.2933,0.425,,,,,,,,,0.00701886819444863,0.0590140845070423,0.0592525252525253,0.085513078470825,0.690117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
