"date","oil_supply_surprise","oil_supply_news_shock"
1975-01-01,0,-0.410498170501586
1975-02-01,0,0.896109680141932
1975-03-01,0,-0.397231241247406
1975-04-01,0,-0.371891871604246
1975-05-01,0,-0.0333060075108807
1975-06-01,0,0.193619285621775
1975-07-01,0,-0.0924668324528746
1975-08-01,0,-0.572165328892156
1975-09-01,0,-0.166673404223885
1975-10-01,0,-1.01271042185668
1975-11-01,0,0.0153951526408657
1975-12-01,0,-0.252676783137761
1976-01-01,0,-0.107324750952752
1976-02-01,0,-0.132604931772562
1976-03-01,0,-0.612498827580922
1976-04-01,0,-0.551423056630909
1976-05-01,0,-0.87196943393399
1976-06-01,0,0.303113411863182
1976-07-01,0,-0.238211116701746
1976-08-01,0,0.298505977869065
1976-09-01,0,0.585340320771354
1976-10-01,0,0.331488237274504
1976-11-01,0,-0.532354703355853
1976-12-01,0,0.240328384204076
1977-01-01,0,-0.129852979576962
1977-02-01,0,0.144663127103054
1977-03-01,0,-0.598314846968969
1977-04-01,0,0.25540129388887
1977-05-01,0,0.127612475205668
1977-06-01,0,-0.178725890120602
1977-07-01,0,0.521672097691554
1977-08-01,0,0.476387451988585
1977-09-01,0,-0.167554273210395
1977-10-01,0,-0.805359938730844
1977-11-01,0,0.685459579685826
1977-12-01,0,-0.351578117476621
1978-01-01,0,0.0791343078939776
1978-02-01,0,-0.79642706109801
1978-03-01,0,-0.163354438148659
1978-04-01,0,-0.55994117026525
1978-05-01,0,-0.193473137217963
1978-06-01,0,0.013568991998548
1978-07-01,0,0.501282246457567
1978-08-01,0,-0.68829607623362
1978-09-01,0,0.459606433304955
1978-10-01,0,-0.128026862727378
1978-11-01,0,-0.407214361715593
1978-12-01,0,-0.448320388221031
1979-01-01,0,0.189867548010239
1979-02-01,0,0.352371147466245
1979-03-01,0,-0.0838167535683368
1979-04-01,0,0.311748857234189
1979-05-01,0,0.112193794945264
1979-06-01,0,0.960513278564284
1979-07-01,0,0.816552287651399
1979-08-01,0,1.12542471574087
1979-09-01,0,0.294042984174409
1979-10-01,0,0.371389335759561
1979-11-01,0,0.523790864307156
1979-12-01,0,0.494300358765775
1980-01-01,0,0.0726889022159962
1980-02-01,0,1.01255401849241
1980-03-01,0,0.233970697568463
1980-04-01,0,0.597884984805903
1980-05-01,0,0.219234441726313
1980-06-01,0,-0.144695972814731
1980-07-01,0,-0.85275516360636
1980-08-01,0,-0.377889239167268
1980-09-01,0,-0.641873044734174
1980-10-01,0,-0.210622518723896
1980-11-01,0,-0.104425638353669
1980-12-01,0,-0.0387906982428222
1981-01-01,0,0.287665711471108
1981-02-01,0,0.0763378865291534
1981-03-01,0,0.129222784952207
1981-04-01,0,0.403570304024392
1981-05-01,0,0.369740179452708
1981-06-01,0,0.222103718091749
1981-07-01,0,0.376133076312057
1981-08-01,0,-0.0954199824125884
1981-09-01,0,0.21218193756889
1981-10-01,0,-0.474182449950912
1981-11-01,0,-0.149901833078093
1981-12-01,0,0.179756479315873
1982-01-01,0,0.178961824773449
1982-02-01,0,-1.04320105121304
1982-03-01,0,-0.687875750284088
1982-04-01,0,0.897689423097682
1982-05-01,0,0.639347578190383
1982-06-01,0,0.626081011538166
1982-07-01,0,0.0719039038472244
1982-08-01,0,0.646918355666423
1982-09-01,0,-0.0588042996636116
1982-10-01,0,0.811014696748944
1982-11-01,0,0.535244113589308
1982-12-01,0,-0.130254734766237
1983-01-01,0,-0.498902762338528
1983-02-01,0,-0.232199044297918
1983-03-01,0,-0.242918885794256
1983-04-01,0,0.413477023190244
1983-05-01,0,0.146235143899071
1983-06-01,0,-0.0281087278257152
1983-07-01,0.200942616280942,0.512677351026895
1983-08-01,0,-0.117181121017083
1983-09-01,0,0.376710747569656
1983-10-01,0,0.486017855170265
1983-11-01,0,-0.0257619404064119
1983-12-01,-0.188801907111314,-0.181928128116991
1984-01-01,0,0.0507638420833709
1984-02-01,0,-0.100967967526918
1984-03-01,0,-0.0329465989546494
1984-04-01,0,0.311975499331486
1984-05-01,0,-0.376976408607261
1984-06-01,0,0.257054159754657
1984-07-01,0.116546153230038,-0.03638776899843
1984-08-01,0,-0.145686303791558
1984-09-01,0,-0.0156640813742999
1984-10-01,1.04145754810151,0.12829360623678
1984-11-01,0,-0.347732948788268
1984-12-01,-1.32898230806126,-0.522645339988886
1985-01-01,0.521274151297544,-0.0203832416124716
1985-02-01,0,0.174198018366182
1985-03-01,0,0.628517340971649
1985-04-01,0,0.0609242887639556
1985-05-01,0,-0.361512773982452
1985-06-01,0,-0.0969446654354213
1985-07-01,-0.25417794153368,0.00325399314563292
1985-08-01,0,-0.117347264878073
1985-09-01,0,0.202287274203838
1985-10-01,-1.37861199889875,0.5967862657107
1985-11-01,0,0.618709910327094
1985-12-01,-3.89038889140704,-0.479016832914407
1986-01-01,0,-0.704710532731542
1986-02-01,0,-2.11415314387888
1986-03-01,0,-0.947941535852364
1986-04-01,0.511615094032855,-0.732910889271737
1986-05-01,0,1.07029763188344
1986-06-01,0,-1.04214518289745
1986-07-01,0,-0.723729156847387
1986-08-01,9.36417107449032,2.04714696607141
1986-09-01,0,-0.757800525016413
1986-10-01,-1.10859733751938,-0.180109235838943
1986-11-01,0,0.269958757605904
1986-12-01,3.00631133520717,0.152162625974982
1987-01-01,0,1.65116280400935
1987-02-01,0,-1.05533190963118
1987-03-01,0,0.298180755744273
1987-04-01,0,-0.0102679160852134
1987-05-01,0,0.299596914569519
1987-06-01,1.21495738710038,0.498368109478247
1987-07-01,0,0.595182252294959
1987-08-01,0,-0.0350115683275228
1987-09-01,0,0.167961354129327
1987-10-01,0,0.145204885034847
1987-11-01,0,-0.490424137883884
1987-12-01,-4.27081072693331,-0.524643624295882
1988-01-01,0,0.578354151268271
1988-02-01,0,-0.333386611717844
1988-03-01,0,-0.725978275761831
1988-04-01,0,0.909504139155193
1988-05-01,0,-0.486150480504968
1988-06-01,2.32921522766576,-0.741150845914611
1988-07-01,0,-0.488225543035155
1988-08-01,0,0.107077578056017
1988-09-01,0,-0.436400329338696
1988-10-01,0,-0.335891296830297
1988-11-01,5.92950956839088,-0.320450610513469
1988-12-01,0,0.869971762670151
1989-01-01,0,-0.0458566236255055
1989-02-01,0,-0.39057667588199
1989-03-01,0,0.306875989380842
1989-04-01,0,0.823352018097652
1989-05-01,0,-0.206689950157254
1989-06-01,-3.15882055002443,-0.353309220945647
1989-07-01,0,0.622356861538776
1989-08-01,0,-0.866408151233882
1989-09-01,0.952045809527033,0.860581785990283
1989-10-01,0,0.345127853045114
1989-11-01,-1.82100214382312,0.0547552405564497
1989-12-01,0,0.422233113681927
1990-01-01,0,0.864339476898805
1990-02-01,0,-0.814993110753718
1990-03-01,0,-0.136913776060322
1990-04-01,0,-0.0287355155509974
1990-05-01,0,-0.769073924327821
1990-06-01,0,0.0747326529320798
1990-07-01,0.45974167493349,0.55881820531537
1990-08-01,0,1.5830017114824
1990-09-01,0,0.701936115518265
1990-10-01,0,0.315731891032564
1990-11-01,0,-0.772271872524165
1990-12-01,2.77552705832462,-0.280349015784517
1991-01-01,0,-0.157650559365334
1991-02-01,0,-1.12498820054193
1991-03-01,3.11477665042214,0.486901636601367
1991-04-01,0,-0.200076853934451
1991-05-01,0,-0.490901899193182
1991-06-01,-0.601656224758682,-0.453098619002182
1991-07-01,0,0.0311742744293413
1991-08-01,0,-0.12992176507795
1991-09-01,0.0859746086779109,0.288896052421351
1991-10-01,0,0.534866673837987
1991-11-01,1.62662644012735,0.0624634372285688
1991-12-01,0,-0.55000108641291
1992-01-01,0,-0.0616374277007404
1992-02-01,-5.54622149206003,0.116326282578978
1992-03-01,0,-0.26128416992023
1992-04-01,0,0.351413645863119
1992-05-01,4.10443462576873,0.397111527275767
1992-06-01,0,0.444245489507618
1992-07-01,0,-0.731973023551486
1992-08-01,0,0.665265125791287
1992-09-01,-0.605176667928971,0.118239617919902
1992-10-01,0,-0.0119082564343744
1992-11-01,-1.49452623926436,0.124098935225129
1992-12-01,0,0.33055308090216
1993-01-01,0,0.148022947824747
1993-02-01,-0.156610044100843,0.0787571195511596
1993-03-01,0,-0.153324226080504
1993-04-01,0,0.0712165562053202
1993-05-01,0,0.221572011379277
1993-06-01,-1.31527687159842,-0.559934705205226
1993-07-01,0,-0.160761104303096
1993-08-01,0,0.173986642221739
1993-09-01,0.237733266688114,-0.437873471395139
1993-10-01,0,0.445860884056072
