"date","infl","un","ff"
1960-01-01,0.908471887217566,5.13333333333333,3.93333333333333
1960-04-01,1.81077719831073,5.23333333333333,3.69666666666667
1960-07-01,1.62272027824582,5.53333333333333,2.93666666666667
1960-10-01,1.7953351503845,6.26666666666667,2.29666666666667
1961-01-01,0.537032973932838,6.8,2.00333333333333
1961-04-01,0.714924229638214,7,1.73333333333333
1961-07-01,0.891862130907661,6.76666666666667,1.68333333333333
1961-10-01,1.06761629215111,6.2,2.4
1962-01-01,2.30343936653643,5.63333333333333,2.45666666666667
1962-04-01,1.23484111299401,5.53333333333333,2.60666666666667
1962-07-01,1.05540958327239,5.56666666666667,2.84666666666667
1962-10-01,1.22780188486455,5.53333333333333,2.92333333333333
1963-01-01,1.57308483280136,5.76666666666667,2.96666666666667
1963-04-01,0.348735854696436,5.73333333333333,2.96333333333333
1963-07-01,0.522534365622285,5.5,3.33
1963-10-01,2.42950855342681,5.56666666666667,3.45333333333333
1964-01-01,1.38169394723509,5.46666666666667,3.46333333333333
1964-04-01,1.20507945677435,5.2,3.49
1964-07-01,2.05744131275498,5,3.45666666666667
1964-10-01,1.70648722989348,4.96666666666667,3.57666666666667
1965-01-01,1.86876534429725,4.9,3.97333333333333
1965-04-01,1.86007521829978,4.66666666666667,4.07666666666667
1965-07-01,1.68350416858285,4.36666666666667,4.07333333333333
1965-10-01,2.67895517900865,4.1,4.16666666666667
1966-01-01,2.32945749871476,3.86666666666667,4.55666666666667
1966-04-01,3.63338584094066,3.83333333333333,4.91333333333333
1966-07-01,3.92641189506264,3.76666666666667,5.41
1966-10-01,3.56566380560448,3.7,5.56333333333333
1967-01-01,1.77098296942511,3.83333333333333,4.82333333333333
1967-04-01,2.56205839890402,3.83333333333333,3.99
1967-07-01,3.65444448558065,3.8,3.89333333333333
1967-10-01,4.40429144848871,3.9,4.17333333333333
1968-01-01,4.51103361624643,3.73333333333333,4.78666666666667
1968-04-01,4.46072686688819,3.56666666666667,5.98
1968-07-01,3.65438400172025,3.53333333333333,5.94333333333333
1968-10-01,5.56923389791812,3.4,5.91666666666667
1969-01-01,3.86763890880992,3.4,6.56666666666667
1969-04-01,5.44026029717362,3.43333333333333,8.32666666666667
1969-07-01,5.79930419177028,3.56666666666667,8.98333333333333
1969-10-01,5.14844433251476,3.56666666666667,8.94
1970-01-01,5.50370298519649,4.16666666666667,8.57333333333333
1970-04-01,5.56724366185897,4.76666666666667,7.88
1970-07-01,3.16642507051679,5.16666666666667,6.70333333333333
1970-10-01,5.17718398899092,5.83333333333333,5.56666666666667
1971-01-01,6.04545512401931,5.93333333333333,3.85666666666667
1971-04-01,5.2980907000082,5.9,4.56333333333333
1971-07-01,4.05829041622194,6.03333333333333,5.47333333333333
1971-10-01,3.24308570751821,5.93333333333333,4.75
1972-01-01,5.89943364237957,5.76666666666667,3.54
1972-04-01,2.41155736002039,5.7,4.3
1972-07-01,3.90369854163275,5.56666666666667,4.74
1972-10-01,4.73378305880114,5.36666666666667,5.14333333333333
1973-01-01,5.28994331379131,4.93333333333333,6.53666666666667
1973-04-01,6.54560060691853,4.93333333333333,7.81666666666667
1973-07-01,7.50356974240756,4.8,10.56
1973-10-01,6.78577256363511,4.76666666666667,9.99666666666667
1974-01-01,8.03931740556791,5.13333333333333,9.32333333333333
