"czone","statefip","city","yr","t2","timepwt48","reg_midatl","reg_encen","reg_wncen","reg_satl","reg_escen","reg_wscen","reg_mount","reg_pacif","l_popcount","l_shind_manuf_cbp","l_sh_popedu_c","l_sh_popfborn","l_sh_empl_f","l_sh_routine33","l_task_outsource","d_sh_empl","d_sh_empl_mfg","d_sh_empl_nmfg","d_sh_unempl","d_sh_nilf","d_avg_lnwkwage","d_avg_lnwkwage_mfg","d_avg_lnwkwage_nmfg","d_tradeusch_pw","d_tradeotch_pw_lag"
100,47,"undefined",1990,0,0.00211352226324379,0,0,0,0,1,0,0,0,520876.572582603,39.7874755859375,33.8840026855469,1.06547617912292,57.6590347290039,31.3227424621582,-0.174807235598564,0.15873908996582,-3.80597853660583,3.96471619606018,-1.0439727306366,0.885236263275146,11.3145351409912,12.4594211578369,12.3270988464355,5.29378633866603,2.2788275965015
100,47,"undefined",2000,1,0.00206688861362636,0,0,0,0,1,0,0,0,577874.535342336,29.7034320831299,42.1183242797852,1.78944206237793,60.5140686035156,31.7964324951172,-0.668904900550842,-1.84520649909973,-4.62167167663574,2.77646946907043,1.58979368209839,0.255405902862549,1.88037323951721,8.44880485534668,2.08275651931763,6.61986099692699,8.96840013893459
200,47,"undefined",1990,0,0.000731699808966368,0,0,0,0,1,0,0,0,180327.066532135,42.2330017089844,31.591215133667,0.965239584445953,57.3897285461426,29.6157569885254,-0.132126152515411,2.53535509109497,-0.681447982788086,3.21680307388306,-1.1363867521286,-1.398965716362,6.33525848388672,9.83986854553223,5.15627861022949,3.03047916643889,2.79773471223084
200,47,"undefined",2000,1,0.000815414357930422,0,0,0,0,1,0,0,0,227979,30.8156185150146,34.1658630371094,3.48515653610229,59.9777145385742,31.8697071075439,-0.38259682059288,0.103516235947609,-6.97361135482788,7.07713222503662,0.276776283979416,-0.380298912525177,0.935486435890198,5.03478717803955,2.01170778274536,10.2607459103788,4.48170081478377
301,47,"undefined",1990,0,0.000260799919487908,0,0,0,0,1,0,0,0,64274.0167000145,33.0256576538086,26.1375370025635,0.752831220626831,46.7205467224121,28.8123092651367,-0.427936583757401,-3.12408208847046,-2.16580033302307,-0.958281755447388,-2.42873811721802,5.55281925201416,4.45218086242676,-0.522136688232422,6.31623268127441,2.06259635167653,0.7209086374351
301,47,"undefined",2000,1,0.00024038898118306,0,0,0,0,1,0,0,0,67209.560045898,29.4428558349609,26.3196620941162,0.947363793849945,46.0889053344727,28.5539569854736,-0.870132803916931,0.509211003780365,-3.77817797660828,4.28738355636597,0.745527982711792,-1.25473308563232,2.27151608467102,10.5084009170532,-0.236443102359772,6.19785764486543,4.07175174442892
302,47,"undefined",1990,0,0.00256947218440473,0,0,0,0,1,0,0,0,633245.210448027,21.3046951293945,42.2844619750977,1.90975308418274,60.6166534423828,30.025016784668,0.110030621290207,0.41651725769043,-2.82908749580383,3.24560403823853,-1.22150552272797,0.804987549781799,16.3395881652832,12.4226093292236,17.9697036743164,1.07830849762657,1.4521378654168
302,47,"undefined",2000,1,0.00260446034371853,0,0,0,0,1,0,0,0,728172.460058689,17.0615711212158,49.9344482421875,2.82873201370239,62.2419242858887,31.8861179351807,-0.221714377403259,0.101881369948387,-3.95230102539062,4.05418014526367,0.900670349597931,-1.00255012512207,4.41660213470459,14.8118572235107,3.12634897232056,3.11154622737557,2.90649870012464
401,37,"undefined",1990,0,0.00171448907349259,0,0,0,1,0,0,0,0,422535,32.2829704284668,45.1083106994629,2.15760350227356,68.6706237792969,32.3579788208008,0.0690532475709915,-1.6340434551239,-5.03768014907837,3.403639793396,-0.503984451293945,2.13802766799927,12.0811939239502,12.9270076751709,12.5779628753662,1.0160847787978,1.33383259999764
401,37,"undefined",2000,1,0.00175543921068311,0,0,0,1,0,0,0,0,490797.442517519,20.5756969451904,49.9820785522461,7.24686288833618,67.7510223388672,32.7914199829102,-0.0945477187633514,-2.95644998550415,-4.95805263519287,2.00160908699036,1.59234666824341,1.3640969991684,-3.52300930023193,2.97519135475159,-4.21374177932739,2.98923875997982,2.53379939503051
