"date","mps","mps_orth","nfp_surp","nfp_12m","sp500_3m","slope_3m","bcom_3m","tr_skew"
1988-02-01,0.0120220340441542,-0.0182900932416224,0.151,0.0300857692041578,0.00166666705246943,-0.82,0.0171169239580946,0.235250695652174
1988-03-01,0.0130882464510701,-0.038624190019089,0.331,0.0321282624148509,0.0314026975037933,-0.17,0.0277051776112982,0.724962739130435
1988-04-01,0.0614918174545964,0.00946699967120643,0.062,0.0323388403657088,0.0568199217168814,-0.27,0.0277230146293146,0.706457434782609
1988-05-01,0.183193337314013,0.158667724529,-0.08,0.031355760111067,0.0206799733691003,0.22,0.0319052871649284,0.42070452173913
1988-06-01,0.0287877438029321,-0.00621125362423235,-0.0135,0.0312957951638921,0.0135848329139483,-0.14,0.128346071110024,0.173554173913043
1988-07-01,0.0729772186139105,0.0299341551638927,-0.0135,0.0330683620133563,0.0503507963133769,-0.65,0.0961315207138451,0.162149347826087
1988-08-01,0.192553063338295,0.154718716193021,0.035,0.0317933196551419,0.0423309601768267,-0.48,0.0322419820464788,0.364226434782609
1988-09-01,-0.00467743497198021,-0.00449353604933552,-0.01,0.031276877397568,-0.00351585269923316,-0.74,-0.11829163045603,0.136939
1988-10-01,0,0,,,,,,
1988-11-01,0.0968486330059114,0.0765656564593948,-0.0275,0.0299715864353427,0.0248529852286348,-0.78,-0.0537045269915,0.280793652173913
1988-12-01,0.0500856201404825,0.0217515792437856,0.213,0.030908841322157,0.0290398856507332,-0.71,-0.00897553967562459,0.22155552173913
1989-01-01,0.039146391461609,-0.00319606232436509,0.029,0.0307491491444214,0.0313052640994176,-0.61,0.0895973496764606,0.255541130434783
1989-02-01,0.148100971338898,0.0991108758622449,0.153,0.0323193021176973,0.0777488953595418,-0.98,0.03455524383922,0.284972652173913
1989-03-01,-0.013211303324694,-0.0475222424306167,0.0465,0.0303650698280364,0.0499602987654644,-0.68,0.0290329539125835,0.226005826086956
1989-04-01,0,0,,,,,,
1989-05-01,-0.00670081847580454,-0.0328909728305846,-0.103,0.0287894607213275,0.0766388398133309,-0.06,0.0353310813209342,0.240084695652174
1989-06-01,-0.0436395241780204,-0.0715575949270278,-0.099,0.0277269670421507,0.104936214583981,-0.55,-0.0208682591155291,0.247064260869565
1989-07-01,-0.0530321069683222,-0.0619371503752725,-0.0175,0.0253208936373923,0.0851274005371092,0.02,-0.0456061810244499,0.186650130434783
1989-08-01,-0.0146896605427663,-0.0174984665797843,0.009,0.0235851377161591,0.060250999544202,-0.07,-0.0190581579012434,0.0106504782608696
1989-09-01,0,0,,,,,,
1989-10-01,0.0545138901245343,0.0447338656455711,0.042,0.0219803421446549,0.109312066500621,0.32,0.00956686302108345,0.0762188260869565
1989-11-01,0.0252082027128624,0.0330606228904997,0.078,0.0204894666046336,-0.0334384397356562,0.05,0.0461002576229461,-0.139483956521739
1989-12-01,-0.0203196272698211,-0.0268436416735143,0.045,0.019827086915603,-0.0123915165279689,-0.32,0.0346404515180998,0.0466265217391304
1990-01-01,0,0,,,,,,
1990-02-01,0.0198964165560723,0.0243957228882249,0.1025,0.018747949163096,-0.0115287929587833,0.51,0.0251382778324771,0.128189739130435
1990-03-01,-0.0159275438251185,-0.0052993152121925,0.1495,0.0184918046591758,-0.00955885345598784,0.42,0.000297149169526278,0.0379485652173913
1990-04-01,0,0,,,,,,
1990-05-01,-0.00830841329343477,-0.0052151710666298,-0.306,0.017290807945475,0.0600849402154724,0.23,0.0188446138282359,0.0351220869565217
1990-06-01,0,0,,,,,,
1990-07-01,-0.0086377117576579,-0.0112808411792805,-0.0685,0.0167983241799412,0.0577792457092166,-0.1,-0.0269669228829166,0.151024434782609
1990-08-01,0.0128588093216053,0.0233482625071497,-0.219,0.0160909612934219,-0.0969865220464499,0.35,0.101905251974708,0.028328
1990-09-01,0,0,,,,,,
1990-10-01,0.0128759863099431,0.0111320455627846,-0.042,0.0105651107338929,-0.127349767393252,0.84,0.154118425169449,0.382334130434783
1990-11-01,0.0391292550171228,0.0357663847021317,-0.046,0.00824425142292817,-0.0645149114528776,0.12,0.0265509080479074,0.49182047826087
1990-12-01,-0.084566586183027,-0.0766658309812132,-0.192,0.00429413611972507,0.0143239984657972,-0.26,-0.102013232945322,0.467826652173913
1991-01-01,-0.10114795176908,-0.0842863217540806,0.075,0.00304581802777903,0.0128902301694742,0.04,-0.168392496282915,0.559585434782609
1991-02-01,-0.0680620773148229,-0.0486351735124114,-0.23,-0.00126466292515381,0.130408560878069,0.37,-0.175504010482122,0.483336956521739
1991-03-01,-0.0715083786851868,-0.0582284505292187,-0.077,-0.00642640972605868,0.148297642888681,0.84,-0.0676312102155796,0.37090747826087
1991-04-01,-0.144013256993404,-0.135290470999983,-0.06,-0.00978899322985605,0.109872693357218,0.68,0.0050103288513661,0.296845217391304
1991-05-01,0.0179314565779245,0.0417899627596576,0.011,-0.0120997884837593,0.0335749828901566,0.72,-0.0156345918176628,0.273168869565217
1991-06-01,0,0,,,,,,
1991-07-01,0.018212005389551,0.0551394477490069,-0.1,-0.0139235504024473,-0.0163918498259426,0.45,-0.0531425649970965,0.223976391304348
1991-08-01,-0.0857594979652999,-0.0665654291939638,-0.101,-0.0140480596636223,0.011860427962934,-0.0500000000000003,-0.0173244942541588,0.230293347826087
