"date","gz_spread","ebp","est_prob"
1973-01-01,1.13077140534291,-0.046854494,0.184969120884747
1973-02-01,1.07549327612544,-0.057080565,0.181574636840908
1973-03-01,1.02996784168364,-0.1490742,0.152810691368643
1973-04-01,0.982745810360477,-0.209660234,0.135614131616332
1973-05-01,1.04649351175184,-0.083057876,0.173128347045118
1973-06-01,1.18592577596418,0.036388482,0.214045483890631
1973-07-01,0.981054973957719,-0.347911383,0.10147831758187
1973-08-01,0.977760505084072,-0.214222233,0.134375187936058
1973-09-01,0.818823678116965,-0.353277526,0.100292715688681
1973-10-01,1.2732502541717,0.118911034992847,0.245336947
1973-11-01,1.35374495582243,0.052347039,0.219909023302972
1973-12-01,1.29596941684796,-0.007461433,0.198410250597546
1974-01-01,1.17842102325423,-0.037605212,0.188073091361963
1974-02-01,1.3067144792396,0.164428230779356,0.263595059364511
1974-03-01,1.220038714401,-0.100170344,0.167703407295678
1974-04-01,1.25396985761138,0.093221472,0.23534040484335
1974-05-01,1.30123859776171,0.100500130413154,0.238149698921906
1974-06-01,1.90178772058352,0.757835466978346,0.543785839189543
1974-07-01,2.56869691554714,1.26187915197932,0.77049283853322
1974-08-01,2.12642437220765,0.944914151795466,0.634572283
1974-09-01,2.3819024911508,0.99718630188054,0.658867270838399
1974-10-01,2.55247951034978,1.10801066806492,0.708154360501402
1974-11-01,2.35685381155615,1.090203367,0.700460782569625
1974-12-01,2.66121247797988,1.21982766792695,0.754232613527027
1975-01-01,1.73377133338065,0.389191021777804,0.362737394433275
1975-02-01,1.64952636835829,0.413641354130112,0.374269234450067
1975-03-01,1.89612504160291,0.601840021931278,0.466069312180156
1975-04-01,1.55671233082184,0.234277560338318,0.292901353577053
1975-05-01,1.60692125445359,0.361022528091623,0.349605190576494
1975-06-01,1.46192220747054,0.25581401337153,0.30223293460339
1975-07-01,1.48848245801779,0.386809473831865,0.361620584949651
1975-08-01,1.30084792881323,0.128087902402285,0.248962481982169
1975-09-01,1.41866853113428,0.304557051830606,0.323829146036282
1975-10-01,1.3607284327062,0.112058744530191,0.242648409201966
1975-11-01,1.32982315403985,0.183892803579068,0.271609181868863
1975-12-01,1.25417863356351,-0.040613875,0.187059902721242
1976-01-01,0.99799088781319,-0.16433289,0.148349216
1976-02-01,1.06173398915985,-0.082967037,0.173157439600558
1976-03-01,1.0111205812711,-0.124098529,0.160303435088776
1976-04-01,1.05210765185058,-0.066338803,0.178535276067351
1976-05-01,1.02373514200873,-0.126947028,0.159436949706332
1976-06-01,1.01977888323028,-0.05104563,0.183573156774821
1976-07-01,0.983709991289718,-0.089370767,0.171114179581183
1976-08-01,0.912064855164886,-0.169860206,0.146754804458224
1976-09-01,0.855053264003293,-0.20648211,0.136481854545655
1976-10-01,0.92191189416999,-0.144363589,0.154205815045139
1976-11-01,0.855586724999326,-0.374387137,0.095726828
1976-12-01,1.10833371273702,-0.046175538,0.185195883563378
1977-01-01,0.987719859464867,-0.340722709,0.103082543706641
1977-02-01,0.937901626161683,-0.208552448,0.13591616
1977-03-01,0.923195767870169,-0.175896298,0.145026810314361
1977-04-01,0.86336162146229,-0.245367478,0.126124538267195
1977-05-01,0.809984973927647,-0.24724882,0.125637718469363
1977-06-01,0.851287190563721,-0.260433453,0.122262819406233
1977-07-01,0.876782219111748,-0.177067999,0.144692973032658
1977-08-01,0.925136135088826,-0.187165264,0.141837549502943
1977-09-01,0.944981160550596,-0.135143815,0.156960706424852
1977-10-01,0.931009584198633,-0.150406837,0.152417533174691
1977-11-01,0.933980170974139,-0.133794654,0.15736653810445
1977-12-01,0.785304947087584,-0.336935578,0.103935051967408
1978-01-01,0.75870303752515,-0.333686624,0.10467047802954
1978-02-01,0.71413172717664,-0.338066111,0.103680027799262
1978-03-01,0.719863738601585,-0.336031382,0.10413934646733
1978-04-01,0.7353117681645,-0.283920176,0.116409589
1978-05-01,0.777671426905293,-0.244718844,0.126292684667193
1978-06-01,0.622200718280737,-0.457354145,0.079259198
1978-07-01,0.618708569017085,-0.370108195,0.096639759
1978-08-01,0.598137377749066,-0.393902485,0.091643524453272
1978-09-01,0.638101509906519,-0.316729293,0.108570112510149
1978-10-01,0.564149798735933,-0.491814999,0.073087134
1978-11-01,0.675944897042394,-0.232285976,0.12954589584605
1978-12-01,0.653254110410558,-0.374785704,0.095642117
1979-01-01,0.702604369,-0.247505626,0.125571368776205
1979-02-01,0.667188711538674,-0.308965802,0.11038992360548
1979-03-01,0.658788911,-0.1655013,0.148011214124003
1979-04-01,0.668796687818722,-0.202185523,0.137660977302497
1979-05-01,0.721791394055855,-0.236033124,0.128559354952882
1979-06-01,0.766056184848749,-0.143755828,0.154386424909785
1979-07-01,0.671190713725795,-0.234271673,0.129022454432754
1979-08-01,0.60169686297277,-0.316260087,0.108679480881839
1979-09-01,0.758959270591718,-0.076660946,0.175184665954345
1979-10-01,0.809701621092025,-0.634044535,0.051435731
