"date","dY_prod","dY_inc","dY","dhours","dLP","dk","dLQ_BLS_interpolated","dLQ_Aaronson_Sullivan","dLQ","alpha","dtfp","dutil","dtfp_util","relativePrice","invShare","dtfp_I","dtfp_C","du_invest","du_consumption","dtfp_I_util","dtfp_C_util"
1947-01-01,,,,,,,,,,0.32563962884158,,,,,0.189803129732458,,,,,,
1947-04-01,1.25052206896434,1.75431302978417,1.50241754937426,-0.506174166943829,2.00859171631809,4.88812036955304,0.591086632723048,,0.591086632723048,0.325885611396273,-0.147791260789701,1.18034254738472,-1.32813380817442,-4.48372589890286,0.191658391261172,-3.77217346705279,0.711552431850072,0.445340068432344,1.3546121769152,-4.21751353548513,-0.643059745065124
1947-07-01,-0.958383707603794,0.744940460299937,-0.106721623651929,3.09233749103939,-3.19905911469132,3.9043911229481,0.571497406898658,,0.571497406898658,0.326165508175583,-3.84901766496518,-5.43442029581328,1.5854026308481,5.95696947541284,0.188075618031992,0.987591094761678,-4.96937838065116,-9.29125923790308,-4.54101521549636,10.2788503326648,-0.428363165154801
1947-10-01,8.25793160331507,5.44438310283226,6.85115735307367,3.02839034746096,3.8227670056127,3.18900069967547,0.551990803193547,,0.551990803193547,0.326479319179503,3.39855382559496,5.14217630492237,-1.74362247932741,5.19425445255532,0.192236598890943,7.59428246841691,2.40002801586159,13.1611350704354,3.23377421885062,-5.56685260201846,-0.833746202989031
1948-01-01,7.20886171151491,12.8361443608323,10.0225030361736,-1.97594990142207,11.9984529375957,3.694632241418,0.532563741472813,,0.532563741472813,0.326827044408022,9.78664582788999,-2.30845642118803,12.095102249078,4.59290776665462,0.193330328977017,13.4916052250562,8.89869745840156,-6.26949483366146,-1.3591349245673,19.7611000587176,10.2578323829689
1948-04-01,8.22314078095943,11.2288343973852,9.72598758917229,0.177831669090445,9.54815592008185,4.01248494923071,0.386277678806124,,0.386277678806124,0.326652323495508,8.03545833881471,-0.598800238067557,8.63425857688226,-4.14434731085345,0.187472623740692,4.66806269201963,8.81241000287308,-7.82619811031713,1.06876110388544,12.4942608023368,7.74364889898764
1948-07-01,1.64803058318963,-0.617242321265188,0.515394130962221,3.62823400085492,-3.1128398698927,4.36081834453076,0.240414522982491,,0.240414522982491,0.325955156441964,-3.51367968377531,-4.87854628963483,1.36486660585953,-8.89341828064392,0.190496575342466,-10.7129322388685,-1.81951395822456,-0.383107806957056,-5.93643636091543,-10.3298244319114,4.11692240269087
1948-10-01,-0.27420066686048,1.43360081228217,0.579700072710843,-2.55484117513447,3.13454124784531,4.66323889986012,0.0948140983631163,,0.0948140983631163,0.324735543247399,0.726549502865064,-2.12990344524174,2.85645294810681,-4.88178567098979,0.192735042735043,-3.21434499820319,1.6674406727866,0.583322925447727,-2.77768803665569,-3.79766792365092,4.44512870944229
1949-01-01,-6.87696021614919,-9.64998176820409,-8.26347099217664,-5.65750444332753,-2.6059665488491,4.77183963698893,-0.0506828122677661,,-0.0506828122677661,0.32299348391181,-5.94026413410658,-4.11433548025803,-1.82592865384855,-2.35018419343359,0.189723320158103,-7.84456357937886,-5.49437938594526,-8.43992524608475,-3.10151446191812,0.595361666705896,-2.39286492402715
1949-04-01,-2.03827188310921,-1.88351714528547,-1.96089451419734,-3.61309732013328,1.65220280593594,3.34886250556792,0.236969389726838,,0.236969389726838,0.323202442468421,-0.758299918274578,-6.97898454614222,6.22068462786764,-2.83684852657857,0.198838248436104,-3.03107445274972,-0.194225926171154,-12.6157218881058,-5.5800173865361,9.58464743535605,5.38579146036494
1949-07-01,4.81909547756079,2.68458893205672,3.75184220480875,-6.62051957944847,10.3723617842572,2.38875059442283,0.524110910215825,,0.524110910215825,0.325362418917249,7.08749893112035,3.43219217111738,3.65530676000297,0.198697470059451,0.19751442521083,7.24695078459016,7.04825331453071,11.4912008326491,1.4486419198001,-4.24425004805897,5.59961139473061
