year,month,pc1_mpd,STOXX50_mpd,MP_pm_mpd,CBI_pm_mpd,MP_median_mpd,CBI_median_mpd
2005,3,-0.00724673,0.169307953804854,-0.00724673,-0,-0.00897304,0.00172631
2005,4,-0.0136499,-0.313127566136373,-0,-0.0136499,0.00306904,-0.01671894
2005,5,0.0014925,0.255663487706315,0,0.0014925,-0.00733203,0.00882453
2005,6,0.0152359,-0.143928175912933,0.0152359,0,0.0121657,0.0030702
2005,7,0.01948674,0.933380773970072,0,0.01948674,-0.01974897,0.03923571
2005,8,0.0010603,-0.0524284318734303,0.0010603,0,0.00218675,-0.00112645
2005,9,-0.00476698,0.117994472816285,-0.00476698,-0,-0.0061118,0.00134482
2005,10,-0.00190147,0.196845205132767,-0.00190147,-0,-0.00717052,0.00526905
2005,11,-0.01053171,0.658218208543993,-0.01053171,-0,-0.02606379,0.01553208
2005,12,-0.02713102,0.468173717201736,-0.02713102,-0,-0.02835855,0.00122753
2006,1,-0.02255823,0.115551209822584,-0.02255823,-0,-0.01493022,-0.00762801
2006,2,-0.00854761,0.0344480510655387,-0.00854761,-0,-0.00536227,-0.00318534
2006,3,0.00851418,-0.543618066514107,0.00851418,0,0.02143397,-0.01291979
2006,4,-0.09111298,0.317085567836806,-0.09111298,-0,-0.05557555,-0.03553743
2006,5,-0.00211059,-0.0396690769093766,-0,-0.00211059,0.00019814,-0.00230873
2006,6,-0.04057938,0.590529580651022,-0.04057938,-0,-0.03894885,-0.00163053
2006,7,0.02021379,-0.12308403961736,0.02021379,0,0.01399602,0.00621777
2006,8,0.02847849,-0.0189868012729022,0.02847849,0,0.01483918,0.01363931
2006,9,0,0,0,0,0,0
2006,10,-0.00019456,0.0946219063218123,-0.00019456,-0,-0.00308708,0.00289252
2006,11,-0.00547435,-0.900673254099615,-0,-0.00547435,0.02572169,-0.03119604
2006,12,0.01983231,0.697180658989183,0,0.01983231,-0.01211289,0.0319452
2007,1,-0.04200314,0.644947006706076,-0.04200314,-0,-0.04138017,-0.00062297
2007,2,0.00772362,-0.254627685623987,0.00772362,0,0.01190736,-0.00418374
2007,3,0.01005512,0.0854472550656737,0,0.01005512,0.00232766,0.00772746
2007,4,-0.00351854,-0.3214999202239,-0,-0.00351854,0.00839927,-0.01191781
